Rating,Review,Brand,NoStopW Tokens,Lemmatized Tokens,TB Polarity Score,TB Sentiment
1,"i don’t understand how these brand name companies are still putting parabens in their products. so buy something else? well, as of the time that i am writing this review, the title of the face wash distinctly says paraben free. but the bottle clearly states methylparaben and propylparaben in the ingredient list. so i don’t like deceptive marketing.not paraben free",CeraVe,"['understand', 'companies', 'putting', 'parabens', 'products', 'writing', 'title', 'distinctly', 'paraben', 'methylparaben', 'propylparaben', 'list', 'deceptive', 'marketing not', 'paraben']",understand company putting parabens product writing title distinctly paraben methylparaben propylparaben list deceptive marketing not paraben,0.3,positive
1,bought this for my child to use as a face wash to help with small breakout in her t-zone area. it caused an allergic reaction all over her face. she had red irritated patches on her cheeks and jawline and clear lines of demarcation across her face. took her to the doctor to make sure it wasn’t a rash or infectious process of some sort to be extra cautious. after checking her over and then going over anything she was exposed to the doctor was pretty convinced it was the face wash as the culprit. she had to take some antihistamines and some anti inflammatory meds and put hydrocortisone cream on the patches for a few days and simply wash her face with warm water to let it rest and help it heal. i’m sure a lot of people use this product with no issue but i would strongly suggest a skin patch test for a couple of days before using on your entire face.caused reaction- proceed with caution.,CeraVe,"['child', 'breakout', 'tzone', 'caused', 'allergic', 'reaction', 'red', 'irritated', 'patches', 'cheeks', 'jawline', 'lines', 'demarcation', 'doctor', 'rash', 'infectious', 'process', 'sort', 'extra', 'cautious', 'checking', 'exposed', 'doctor', 'pretty', 'convinced', 'culprit', 'antihistamines', 'anti', 'inflammatory', 'meds', 'hydrocortisone', 'patches', 'days', 'simply', 'warm', 'water', 'rest', 'heal', 'patch', 'couple', 'days', 'entire', 'face caused', 'reaction', 'proceed', 'caution']",child breakout tzone caused allergic reaction red irritated patch cheek jawline line demarcation doctor rash infectious process sort extra cautious checking exposed doctor pretty convinced culprit antihistamine anti inflammatory med hydrocortisone patch day simply warm water rest heal patch couple day entire face caused reaction proceed caution,0.16999999999999998,positive
1,i’m highly against animal cruelty and if only this product was cruelty free then i’d probably like it but it’s not all that it’s hyped up to be tbh. not worth killing and torturing innocent animals that could most of f the time possibly be what we consider our pets. there constantly in pain for beauty and it’s not fair to themif only it was cruelty free,CeraVe,"['highly', 'animal', 'cruelty', 'cruelty', 'not', 'hyped', 'tbh', 'not', 'worth', 'killing', 'torturing', 'innocent', 'animals', 'pets', 'constantly', 'pain', 'beauty', 'not', 'fair', 'themif', 'cruelty']",highly animal cruelty cruelty not hyped tbh not worth killing torturing innocent animal pet constantly pain beauty not fair themif cruelty,0.03200000000000001,positive
1,"edit: lol i had a severe allergic reaction two years later, so who knows. i use cetaphil now and it’s been going well!i was recommended this by my sister who has fairly sensitive skin like me. i have eczema around my eyes that does not react well to certain products, so i did my research and read a lot of reviews. i found the most negatives tended to say that it didn't actually foam up, that it had a distinct, nasty smell, and that it dried their skin out.i am not positive which product those people may have received, because this cleanser was absolutely amazing! for those saying it didn't foam, my suggestion would be getting your hands wet, pumping one or two pumps, then rubbing your hands together before lathering it on your face. it foams up pretty fast, but not in an overpowering manner. i didn't notice any unusual scent, it just smelled like every other cleanser. i wouldn't say it dries out your skin, but it does leave it feeling very tight. i typically use pond's moisturizer after cleaning my face.overall, it is a wonderful product that gets the job done! very gentle for my sensitive skin!never going back!",CeraVe,"['edit', 'lol', 'severe', 'allergic', 'reaction', 'cetaphil', 'recommended', 'sister', 'eczema', 'eyes', 'not', 'react', 'products', 'read', 'reviews', 'negatives', 'tended', 'nt', 'distinct', 'nasty', 'dried', 'out i', 'not', 'positive', 'received', 'absolutely', 'amazing', 'nt', 'suggestion', 'hands', 'wet', 'pumping', 'pumps', 'rubbing', 'hands', 'lathering', 'foams', 'pretty', 'fast', 'not', 'overpowering', 'manner', 'nt', 'notice', 'unusual', 'smelled', 'nt', 'dries', 'tight', 'typically', 'pond', 'cleaning', 'face overall', 'wonderful', 'job', 'gentle']",edit lol severe allergic reaction cetaphil recommended sister eczema eye not react product read review negative tended nt distinct nasty dried out i not positive received absolutely amazing nt suggestion hand wet pumping pump rubbing hand lathering foam pretty fast not overpowering manner nt notice unusual smelled nt dry tight typically pond cleaning face overall wonderful job gentle,0.08379169849758085,positive
1,it doesn’t feel the same one i buy from targetdidn’t like it,CeraVe,['targetdidn'],targetdidn,0.0,neutral
1,i don't feel much cleaner or look so either. my skin feels just as clean as if i used warm water and wipes my face with my hands. it's probably doing something good but its really expensive considering other options.pricey,CeraVe,"['nt', 'cleaner', 'feels', 'clean', 'warm', 'water', 'wipes', 'hands', 'expensive', 'options pricey']",nt cleaner feel clean warm water wipe hand expensive options pricey,0.15555555555555556,positive
1,"i first purchased this product at ulta and it was amazing! i have a oily face and it helped so much when i first used it. decided to purchase from amazon and the one that was delivered had to have been different some how. first 1-2 weeks of using this one, and my face broke out like no tomorrow.. my face was soo oily within the next 2-3 hours, like more than normal. i had to have wipes and napkins on stand by… threw it away and went to get a new one from ulta, worked perfectly fine.oily! oily! oily!",CeraVe,"['ulta', 'amazing', 'helped', 'decided', 'purchase', 'amazon', 'delivered', 'weeks', 'broke', 'tomorrow', 'soo', 'hours', 'normal', 'wipes', 'napkins', 'stand', 'threw', 'ulta', 'perfectly', 'fine oily']",ulta amazing helped decided purchase amazon delivered week broke tomorrow soo hour normal wipe napkin stand threw ulta perfectly fine oily,0.3888888888888889,positive
1,no expire date mentioned. i feel something is not right with this bottle. it's different from what i used to buy at walmart.no expire date,CeraVe,"['expire', 'mentioned', 'not', 'walmart no', 'expire']",expire mentioned not walmart no expire,0.0,neutral
1,when it arrived it had leaked out. the whole bottle. a messdamaged,CeraVe,"['arrived', 'leaked', 'messdamaged']",arrived leaked messdamaged,0.0,neutral
1,not the best make my skin dryirritate my skin,CeraVe,"['not', 'dryirritate']",not dryirritate,0.0,neutral
