Rating,Review,Brand,NoStopW Tokens,Lemmatized Tokens,TB Polarity Score,TB Sentiment
4,i probably won’t repurchase this one because it does get extra foamy and i don’t like that. i’ll switch back the the hydrating version of the cereve cleanserextra foamy,CeraVe,"['repurchase', 'extra', 'foamy', 'switch', 'version', 'cereve', 'cleanserextra', 'foamy']",repurchase extra foamy switch version cereve cleanserextra foamy,0.0,neutral
4,it arrived on time but it was so dirty from the outside as you see in the picture. it also has no expiration date on it.. the,CeraVe,"['arrived', 'dirty', 'picture', 'expiration']",arrived dirty picture expiration,-0.6,negative
4,i typically use cetaphil dermacontrol but wanted to try something new. this is good for my sensitive skin and you get a ton in this large bottle. i just wish it pumped out as foam rather than cleanser you have to run into your hands to foamgood for sensitive skin,CeraVe,"['typically', 'cetaphil', 'dermacontrol', 'ton', 'pumped', 'hands', 'foamgood']",typically cetaphil dermacontrol ton pumped hand foamgood,-0.16666666666666666,negative
4,"he help my skin with complexion no regret , i recommend , i use after biore cleansing skin  help balance.but unhappy with packaging licking on my lip liner and mirror and more .next time i buy in walmart !i recommend buy it ! but unhappy with packaging",CeraVe,"['complexion', 'regret', 'recommend', 'biore', 'cleansing', 'balance but', 'unhappy', 'licking', 'lip', 'liner', 'mirror', 'walmart', 'recommend', 'unhappy']",complexion regret recommend biore cleansing balance but unhappy licking lip liner mirror walmart recommend unhappy,-0.6,negative
4,great productcerave,CeraVe,['productcerave'],productcerave,0.0,neutral
4,so my product says that’s it’s foaming cleanser but it comes out in a gel form and does not foam up. it seems to be cleaning and feels good but confused as to why it’s not foaming…is there a trick to make it foam?does not foam,CeraVe,"['form', 'not', 'cleaning', 'feels', 'confused', 'not', 'foamingis', 'trick', 'not']",form not cleaning feel confused not foamingis trick not,-0.4,negative
4,"i'm almost 20 years old and have ""combination skin"". i don't buy into a lot of the marketing bs surrounding the skin care industry but i have to admit this does the job from what i could tell. i use it everytime in the shower and it basically removes the oil off your face. it cleared up my acne decently and it works. if your an oilly faced teenager that wants a simple solution i can recommend wholeheartedly. knocked a star off for slight damage in shipping.i think it works",CeraVe,"['combination', 'nt', 'marketing', 'surrounding', 'industry', 'admit', 'job', 'everytime', 'shower', 'basically', 'removes', 'cleared', 'decently', 'oilly', 'faced', 'teenager', 'simple', 'solution', 'recommend', 'wholeheartedly', 'knocked', 'star', 'slight', 'damage', 'shipping i']",combination nt marketing surrounding industry admit job everytime shower basically remove cleared decently oilly faced teenager simple solution recommend wholeheartedly knocked star slight damage shipping i,0.0,neutral
4,one of the best cleanse on the marketmust,CeraVe,"['cleanse', 'marketmust']",cleanse marketmust,0.0,neutral
4,"my pump likes to stick in the down position, so i have to pull it up in order to get more product out, not a big deal for me. it didn't really foam for me either, but it did a good job in cleaning my face, and i didn't feel any tightness after use. i can feel some tightness with the salicylic acid cleanser, and even the hydratimg cream to foam i feel tightness across my cheeks. i had non of that with this cleanser. so this will be my go toonly used once so far.",CeraVe,"['likes', 'stick', 'position', 'pull', 'not', 'deal', 'nt', 'job', 'cleaning', 'nt', 'tightness', 'tightness', 'salicylic', 'acid', 'hydratimg', 'tightness', 'cheeks', 'toonly']",like stick position pull not deal nt job cleaning nt tightness tightness salicylic acid hydratimg tightness cheek toonly,0.0,neutral
4,i just started my face care journey so hopefully it helpsjust started fade care journey,CeraVe,"['journey', 'helpsjust', 'fade', 'journey']",journey helpsjust fade journey,0.0,neutral
4,best face wash i ever usedlove it!,CeraVe,['usedlove'],usedlove,0.0,neutral
4,this product is okay don't work will with my skin type.it leave my face tone really darkcerave,CeraVe,"['nt', 'type it', 'tone', 'darkcerave']",nt type it tone darkcerave,0.0,neutral
