Rating,Review,Brand,NoStopW Tokens,Lemmatized Tokens,VADER Polarity Score,VADER Sentiment
1,"i don’t understand how these brand name companies are still putting parabens in their products. so buy something else? well, as of the time that i am writing this review, the title of the face wash distinctly says paraben free. but the bottle clearly states methylparaben and propylparaben in the ingredient list. so i don’t like deceptive marketing.not paraben free",CeraVe,"['understand', 'companies', 'putting', 'parabens', 'products', 'writing', 'title', 'distinctly', 'paraben', 'methylparaben', 'propylparaben', 'list', 'deceptive', 'marketing not', 'paraben']",understand company putting parabens product writing title distinctly paraben methylparaben propylparaben list deceptive marketing not paraben,0.0,neutral
1,"so, you know that slime you make when you mix together borax and glue? well, that's what it feels like when you put this on your face. there's nothing ""foaming"" about it. it feels like slime and gunky and, frankly, like school glue- it's that sticky. i've been using it for the past two weeks, hoping things would change. i've tried it in the shower, at the sink, even in different states (cause maybe it was the water i was using that made it so odd). but nothing changed. i have to scrub this stuff off and it makes my skin feel like i just did a craft project with tweens and then rubbed it all over my face. maybe that's the whole point- to make my skin feel so dirty that i feel like i need to wash it with a different product, thus cleaning my face twice. i'm not sure if that was the plan for this product, but that is the only logical explanation i can think of as to why they would create this product. i've been using it for about a week and haven't noticed any differences in my skin (good or bad). sorry, this stuff just isn't worth it at all- i'd rather rub craft glue on myself and peel it off. at least that's entertaining!slimey",CeraVe,"['slime', 'mix', 'borax', 'glue', 'feels', 'feels', 'slime', 'gunky', 'frankly', 'school', 'glue', 'sticky', 'weeks', 'hoping', 'change', 'shower', 'sink', 'water', 'odd', 'changed', 'scrub', 'craft', 'project', 'tweens', 'rubbed', 'dirty', 'cleaning', 'not', 'plan', 'logical', 'explanation', 'create', 'nt', 'differences', 'bad', 'nt', 'worth', 'craft', 'glue', 'peel', 'entertaining', 'slimey']",slime mix borax glue feel feel slime gunky frankly school glue sticky week hoping change shower sink water odd changed scrub craft project tweens rubbed dirty cleaning not plan logical explanation create nt difference bad nt worth craft glue peel entertaining slimey,0.0,neutral
1,"i’m writing this review to hopefully save someone else from this!! while i don’t think cerave is a bad brand it did not work for me and actually caused horrible break outs. when i started using this product i also begin using a few other new products as well. my skin begin to breakout like never before (i usually only get a pimple every once in awhile) i changed my diet, cut out certain products, started taking probiotics, and did almost everything else not knowing what was wrong. finally 3 months and many many pimples and scars later i cut out the cerave cleanser and went back to my basic face wash. within 2 days my pimples were gone. please if you started using this product and are breaking out stop using this!  i wish i had known sooner and saved my skin the scars and trauma.if youre breaking out please read",CeraVe,"['writing', 'save', 'bad', 'not', 'caused', 'horrible', 'break', 'outs', 'products', 'breakout', 'pimple', 'awhile', 'changed', 'diet', 'cut', 'products', 'probiotics', 'not', 'knowing', 'wrong', 'months', 'pimples', 'scars', 'cut', 'basic', 'days', 'pimples', 'breaking', 'sooner', 'saved', 'scars', 'trauma if', 'breaking', 'read']",writing save bad not caused horrible break out product breakout pimple awhile changed diet cut product probiotic not knowing wrong month pimple scar cut basic day pimple breaking sooner saved scar trauma if breaking read,0.2273,positive
1,"edit: lol i had a severe allergic reaction two years later, so who knows. i use cetaphil now and it’s been going well!i was recommended this by my sister who has fairly sensitive skin like me. i have eczema around my eyes that does not react well to certain products, so i did my research and read a lot of reviews. i found the most negatives tended to say that it didn't actually foam up, that it had a distinct, nasty smell, and that it dried their skin out.i am not positive which product those people may have received, because this cleanser was absolutely amazing! for those saying it didn't foam, my suggestion would be getting your hands wet, pumping one or two pumps, then rubbing your hands together before lathering it on your face. it foams up pretty fast, but not in an overpowering manner. i didn't notice any unusual scent, it just smelled like every other cleanser. i wouldn't say it dries out your skin, but it does leave it feeling very tight. i typically use pond's moisturizer after cleaning my face.overall, it is a wonderful product that gets the job done! very gentle for my sensitive skin!never going back!",CeraVe,"['edit', 'lol', 'severe', 'allergic', 'reaction', 'cetaphil', 'recommended', 'sister', 'eczema', 'eyes', 'not', 'react', 'products', 'read', 'reviews', 'negatives', 'tended', 'nt', 'distinct', 'nasty', 'dried', 'out i', 'not', 'positive', 'received', 'absolutely', 'amazing', 'nt', 'suggestion', 'hands', 'wet', 'pumping', 'pumps', 'rubbing', 'hands', 'lathering', 'foams', 'pretty', 'fast', 'not', 'overpowering', 'manner', 'nt', 'notice', 'unusual', 'smelled', 'nt', 'dries', 'tight', 'typically', 'pond', 'cleaning', 'face overall', 'wonderful', 'job', 'gentle']",edit lol severe allergic reaction cetaphil recommended sister eczema eye not react product read review negative tended nt distinct nasty dried out i not positive received absolutely amazing nt suggestion hand wet pumping pump rubbing hand lathering foam pretty fast not overpowering manner nt notice unusual smelled nt dry tight typically pond cleaning face overall wonderful job gentle,0.8711,positive
1,it doesn’t feel the same one i buy from targetdidn’t like it,CeraVe,['targetdidn'],targetdidn,0.0,neutral
1,i don't feel much cleaner or look so either. my skin feels just as clean as if i used warm water and wipes my face with my hands. it's probably doing something good but its really expensive considering other options.pricey,CeraVe,"['nt', 'cleaner', 'feels', 'clean', 'warm', 'water', 'wipes', 'hands', 'expensive', 'options pricey']",nt cleaner feel clean warm water wipe hand expensive options pricey,0.8176,positive
1,"it's hard to believe the numerous rave reviews, especially given the bad ingredients this contains such as parabens, glycol, detergent, etc. i mean this is 2021 right? you can guess the result. super dry skin resulting in more oil and breakouts. i only gave this a try because so many seem to swear by it, but knew i made a mistake after a couple of days. i mean my skin doesn't dry too easily given the oily nature, but even with a moisturizer, my skin felt tighter than a snare drum. do yourself a favor and buy products that are paraben and detergent free. treat your face with cheap stuff and you'll get what you pay for. hard pass on this.don't understand the hype...",CeraVe,"['hard', 'numerous', 'rave', 'reviews', 'bad', 'ingredients', 'parabens', 'glycol', 'detergent', 'guess', 'result', 'super', 'breakouts', 'swear', 'mistake', 'couple', 'days', 'nt', 'easily', 'nature', 'tighter', 'snare', 'drum', 'favor', 'products', 'paraben', 'detergent', 'treat', 'cheap', 'pay', 'hard', 'pass', 'this do', 'nt', 'understand', 'hype']",hard numerous rave review bad ingredient parabens glycol detergent guess result super breakout swear mistake couple day nt easily nature tighter snare drum favor product paraben detergent treat cheap pay hard pas this do nt understand hype,0.5267,positive
1,"i’m obsessed with the cerave moisturizing lotion, that comes in the blue lid tub. from the second i put it on my body and face i was in love. and when i saw this i thought it would be just as amazing coming from the cerave brand as well.i was sadly mistaken. i have semi-dry skin that is tough as nails. by that i mean it takes a lot for me to have a more than my hormonal chin blemish here and there. i don’t get oily, dry patches or peely skin.after using this for 3 days i broke out on my forehead and cheek. i was covered (and still am) in tiny little bumps on my forehead, between my eyebrows and temples. i’m extremely oily in some places and dry (and flaking) in others. this stuff disrupted my not even close to sensitive skin. so disappointed that it didn’t deliver. 😕i love the cerave lotion tub, so i expected i’d love this...",CeraVe,"['obsessed', 'blue', 'lid', 'tub', 'love', 'amazing', 'coming', 'well i', 'sadly', 'mistaken', 'semidry', 'tough', 'nails', 'takes', 'chin', 'blemish', 'patches', 'peely', 'skin after', 'days', 'broke', 'forehead', 'cheek', 'covered', 'tiny', 'bumps', 'forehead', 'eyebrows', 'temples', 'extremely', 'flaking', 'disrupted', 'not', 'close', 'disappointed', 'deliver', 'love', 'tub', 'expected', 'love']",obsessed blue lid tub love amazing coming well i sadly mistaken semidry tough nail take chin blemish patch peely skin after day broke forehead cheek covered tiny bump forehead eyebrow temple extremely flaking disrupted not close disappointed deliver love tub expected love,0.9145,positive
1,"i first purchased this product at ulta and it was amazing! i have a oily face and it helped so much when i first used it. decided to purchase from amazon and the one that was delivered had to have been different some how. first 1-2 weeks of using this one, and my face broke out like no tomorrow.. my face was soo oily within the next 2-3 hours, like more than normal. i had to have wipes and napkins on stand by… threw it away and went to get a new one from ulta, worked perfectly fine.oily! oily! oily!",CeraVe,"['ulta', 'amazing', 'helped', 'decided', 'purchase', 'amazon', 'delivered', 'weeks', 'broke', 'tomorrow', 'soo', 'hours', 'normal', 'wipes', 'napkins', 'stand', 'threw', 'ulta', 'perfectly', 'fine oily']",ulta amazing helped decided purchase amazon delivered week broke tomorrow soo hour normal wipe napkin stand threw ulta perfectly fine oily,0.8271,positive
1,no expire date mentioned. i feel something is not right with this bottle. it's different from what i used to buy at walmart.no expire date,CeraVe,"['expire', 'mentioned', 'not', 'walmart no', 'expire']",expire mentioned not walmart no expire,0.2235,positive
