Rating,Review,Brand,NoStopW Tokens,Lemmatized Tokens,VADER Polarity Score,VADER Sentiment
3,"tldr: caused terrible irritation, using sparingly with better luck. not for sensitive skin. i wanted to love this, i bought it with the gel cleanser to deal with constant stress/skin touching/picking related acne. i used the combo as directed and within a few days my skin was too painful to touch and was worse then ever.i stopped it immediately, this is not a product that should cause purging.i have started it again with a gentle cleanser and sparing use of this moisturizer at night. it is a much better experience, no irritation.disappointed, caused irritation when used as directed",La Roche-Posay,"['tldr', 'caused', 'terrible', 'irritation', 'sparingly', 'luck', 'not', 'love', 'deal', 'constant', 'stressskin', 'touchingpicking', 'combo', 'directed', 'days', 'painful', 'touch', 'worse', 'ever i', 'stopped', 'not', 'purging i', 'gentle', 'sparing', 'experience', 'irritation disappointed', 'caused', 'irritation', 'directed']",tldr caused terrible irritation sparingly luck not love deal constant stressskin touchingpicking combo directed day painful touch worse ever i stopped not purging i gentle sparing experience irritation disappointed caused irritation directed,-0.9771,negative
3,"i am so sad that this product did not work for me.  i have used the foaming facial cleanser every night religiously for 2 months and for some reason i have been getting cystic acne that hurts to touch on my face and shoulders.  i bought this product after reading the positive reviews because i needed something to fight occasional adult acne on my shoulders & face.  i rated 5 stars for moisture, sensitive skin, and scent because this may work for some people.  i am an african american female w sensitive dry to oily skin.  my 1st cystic acne facial break out consisted of one large cyst pimple between my eyebrow and  eye lid ( it took 1 month to disappear) and two cyst pimples on my cheeks, i was so embarrassed.  i know now that it was the continued use of the cerave that caused this because i just had another cystic pimple breakout.  once i stopped using and went back to nuetrogena my pimples are shrinking and less sore.  i would say to try maybe a small bottle instead of following my footsetps by ordering the large bottle.cystic pimples that hurt",CeraVe,"['sad', 'not', 'religiously', 'months', 'reason', 'cystic', 'hurts', 'touch', 'shoulders', 'reading', 'positive', 'reviews', 'fight', 'occasional', 'adult', 'shoulders', 'rated', 'stars', 'african', 'american', 'female', 'cystic', 'break', 'consisted', 'cyst', 'pimple', 'eyebrow', 'lid', 'disappear', 'cyst', 'pimples', 'cheeks', 'embarrassed', 'continued', 'caused', 'cystic', 'pimple', 'breakout', 'stopped', 'nuetrogena', 'pimples', 'shrinking', 'sore', 'footsetps', 'bottle cystic', 'pimples', 'hurt']",sad not religiously month reason cystic hurt touch shoulder reading positive review fight occasional adult shoulder rated star african american female cystic break consisted cyst pimple eyebrow lid disappear cyst pimple cheek embarrassed continued caused cystic pimple breakout stopped nuetrogena pimple shrinking sore footsetps bottle cystic pimple hurt,-0.9403,negative
3,"i dont see any difference from using this cream compared to other cerave products i use. but the worst part is the smell- it's so chemical i honestly scared to apply it to my skin, so i stopped using it. i don't know  if it suppose to smell like that or i recived some fake product, but it smells like somebody put gasoline in there. not gonna buy again for sure.not liking it much",CeraVe,"['compared', 'products', 'worst', 'chemical', 'scared', 'stopped', 'nt', 'suppose', 'recived', 'fake', 'smells', 'gasoline', 'not', 'gon', 'sure not', 'liking']",compared product worst chemical scared stopped nt suppose recived fake smell gasoline not gon sure not liking,-0.9351,negative
3,"the product itself is top notch. i really like the formula and how it feels on my skin. however, the packaging sucks. i tried to twist the pump to unlock it for the first time and the dispenser completely snapped off. i didn’t put any pressure at all, but it just broke. i have another pump that will work for this bottle, but it’s a little unfortunate for the price of this product. this would’ve been 5 stars based on the product itself.broken pump",CeraVe,"['notch', 'formula', 'feels', 'sucks', 'twist', 'unlock', 'completely', 'snapped', 'pressure', 'broke', 'unfortunate', 'stars', 'based', 'itself broken']",notch formula feel suck twist unlock completely snapped pressure broke unfortunate star based itself broken,-0.9266,negative
3,"i like this cleanser but don't think i'll buy it again.  i would be a repeat customer based on the way it works, the lack of any off-putting scent, price, etc., but what bothers me is the safety rating given it by the environmental working group.  on their system a ""0"" means (as i understand it) that a product has no ingredients with any unhealthy aspects, whether it's allergens, carcinogens, etc., to a ""10"" which basically advises running in the opposite direction as quickly as possible.  this cerava cleanser earns a rating of ""4"" by the environmental working group, a number high enough to be a concern for me.  they show it as having no carcinogenic properties, but note other concerns.  their summary is:""other high concerns: endocrine disruption, contamination concerns, irritation (skin, eyes, or lungs), persistence and bioaccumulation; other moderate concerns: biochemical or cellular level changes, organ system toxicity (non-reproductive); other low concerns: enhanced skin absorption, data gaps, ecotoxicology.""some of that might appear scarier at first glance than it does upon looking further (although i'm certainly not an expert on this stuff), e.g., re. ""irritation,"" not many soaps don't cause eye irritation, right?  that said, and although consumers need to make evaluations based on their own views, i'm not one to ignore the ewg.  that's why i'm unlikely to buy this cleanser again.in other words, i'd love this stuff if it had a better hazard rating, but given the score of 4 i think much less highly of it.works well, no off-putting scent, but i'm not happy with the ingredients",CeraVe,"['nt', 'repeat', 'customer', 'based', 'lack', 'offputting', 'bothers', 'safety', 'rating', 'environmental', 'understand', 'ingredients', 'unhealthy', 'aspects', 'allergens', 'carcinogens', 'basically', 'advises', 'running', 'direction', 'cerava', 'earns', 'rating', 'environmental', 'concern', 'carcinogenic', 'properties', 'note', 'concerns', 'summary', 'concerns', 'endocrine', 'disruption', 'contamination', 'concerns', 'irritation', 'eyes', 'lungs', 'persistence', 'bioaccumulation', 'moderate', 'concerns', 'biochemical', 'cellular', 'level', 'organ', 'toxicity', 'nonreproductive', 'concerns', 'enhanced', 'absorption', 'data', 'gaps', 'ecotoxicology', 'scarier', 'glance', 'not', 'expert', 'e g', 'irritation', 'not', 'soaps', 'nt', 'irritation', 'consumers', 'evaluations', 'based', 'views', 'not', 'ignore', 'ewg', 'again in', 'love', 'hazard', 'rating', 'score', 'highly', 'it works', 'offputting', 'not', 'happy', 'ingredients']",nt repeat customer based lack offputting bother safety rating environmental understand ingredient unhealthy aspect allergen carcinogen basically advises running direction cerava earns rating environmental concern carcinogenic property note concern summary concern endocrine disruption contamination concern irritation eye lung persistence bioaccumulation moderate concern biochemical cellular level organ toxicity nonreproductive concern enhanced absorption data gap ecotoxicology scarier glance not expert e g irritation not soap nt irritation consumer evaluation based view not ignore ewg again in love hazard rating score highly it works offputting not happy ingredient,-0.9244,negative
3,the top of the pump was broken and the broken part was not in shipping bag so it was sent broken. luckily i had the pump from my last bottle to use.top on bottle was broken,CeraVe,"['broken', 'broken', 'not', 'shipping', 'broken', 'luckily', 'use top', 'broken']",broken broken not shipping broken luckily use top broken,-0.9232,negative
3,"so i am giving it 3 stars to be fair because i believe it to be a good product but it came without any seals on the box or the bottle. i read a response from the company from a few years ago that said that not all their products are sealed yet but even if that is true i am not comfortable using a product from amazon that is not sealed when counterfeits and third party resellers are rampant.  buying sold and shipped by amazon is meaningless now since they comingle inventory from the manufacturer and third party resellers and you never know what you're getting.  unfortunately, amazon puts it on the manufacturer to enforce reselling policies and does nothing to prevent third party resellers from selling bad products in an effort to maximize efficiency coupled with no way of knowing which seller is actually filling your order makes ordering expensive health and beauty products like this a gambit. if it were cheaper i'd take the risk but for $32/fl. oz. i can't justify the risk.i will be attempting to purchase this directly from the manufacturer now.product not sealed",La Roche-Posay,"['stars', 'fair', 'seals', 'read', 'response', 'company', 'not', 'products', 'sealed', 'true', 'not', 'comfortable', 'amazon', 'not', 'sealed', 'counterfeits', 'party', 'resellers', 'rampant', 'buying', 'sold', 'shipped', 'amazon', 'meaningless', 'comingle', 'inventory', 'manufacturer', 'party', 'resellers', 'amazon', 'manufacturer', 'enforce', 'reselling', 'policies', 'prevent', 'party', 'resellers', 'selling', 'bad', 'products', 'effort', 'maximize', 'efficiency', 'coupled', 'knowing', 'seller', 'filling', 'expensive', 'health', 'beauty', 'products', 'gambit', 'cheaper', 'risk', 'oz', 'nt', 'justify', 'risk i', 'attempting', 'purchase', 'manufacturer', 'now product', 'not', 'sealed']",star fair seal read response company not product sealed true not comfortable amazon not sealed counterfeit party resellers rampant buying sold shipped amazon meaningless comingle inventory manufacturer party resellers amazon manufacturer enforce reselling policy prevent party resellers selling bad product effort maximize efficiency coupled knowing seller filling expensive health beauty product gambit cheaper risk oz nt justify risk i attempting purchase manufacturer now product not sealed,-0.9226,negative
3,"product is good, didn't cause any irritation or breakouts and i have sensitive skin, dislike the lack of lather though. pump broke off with first use but it still worksgood product but the bottle came broken",La Roche-Posay,"['nt', 'irritation', 'breakouts', 'dislike', 'lack', 'lather', 'broke', 'worksgood', 'broken']",nt irritation breakout dislike lack lather broke worksgood broken,-0.9201,negative
3,i have hormonal acne as a 36 year old and i am struggling to find the right combination of skin care products. trying to dry these suckers out but keep my skin soft and hydrated is difficult. this is a good size for the cost and it is moisturizing. my skin is less peely on my problem areas - chin and cheeks. it does feel weird when i get it on my lips - like a film. i am not wowed by this but will continue to use and see.still deciding / overall like,CeraVe,"['struggling', 'combination', 'products', 'suckers', 'soft', 'hydrated', 'difficult', 'size', 'cost', 'peely', 'chin', 'cheeks', 'weird', 'lips', 'film', 'not', 'wowed', 'continue', 'see still', 'deciding']",struggling combination product sucker soft hydrated difficult size cost peely chin cheek weird lip film not wowed continue see still deciding,-0.9067,negative
3,"i wanted to be able to give this 5 stars, but my face was clearing up. so i got this for post acne marks & it started looking a little better, but my face started breaking out like crazy. bumps in places on my face that i haven’t had a bump on in months. so it got frustrating and almost defeated the purpose because it was causing more acne that’ll leave more scarring. i wished it didn’t cause acne on me because i think it would really have helped some. it may just be purging, but so hard to deal with when i’ve finally just got over the hump of horrible acne.i do have combination & acne-prone skin. may work great for someone who has a different skin type.it’s a no from me.",CeraVe,"['stars', 'clearing', 'post', 'marks', 'breaking', 'crazy', 'bumps', 'bump', 'months', 'frustrating', 'defeated', 'purpose', 'causing', 'scarring', 'wished', 'helped', 'purging', 'hard', 'deal', 'hump', 'horrible', 'acne i', 'combination', 'acneprone', 'type it']",star clearing post mark breaking crazy bump bump month frustrating defeated purpose causing scarring wished helped purging hard deal hump horrible acne i combination acneprone type it,-0.9062,negative
