Rating,Review,Brand,NoStopW Tokens,Lemmatized Tokens,VADER Polarity Score,VADER Sentiment
4,i probably won’t repurchase this one because it does get extra foamy and i don’t like that. i’ll switch back the the hydrating version of the cereve cleanserextra foamy,CeraVe,"['repurchase', 'extra', 'foamy', 'switch', 'version', 'cereve', 'cleanserextra', 'foamy']",repurchase extra foamy switch version cereve cleanserextra foamy,0.0,neutral
4,it works… leaves my skin soft but it doesn’t foamit doesn’t actually foam,CeraVe,"['leaves', 'soft', 'foamit']",leaf soft foamit,0.0,neutral
4,it arrived on time but it was so dirty from the outside as you see in the picture. it also has no expiration date on it.. the,CeraVe,"['arrived', 'dirty', 'picture', 'expiration']",arrived dirty picture expiration,-0.4404,negative
4,"he help my skin with complexion no regret , i recommend , i use after biore cleansing skin  help balance.but unhappy with packaging licking on my lip liner and mirror and more .next time i buy in walmart !i recommend buy it ! but unhappy with packaging",CeraVe,"['complexion', 'regret', 'recommend', 'biore', 'cleansing', 'balance but', 'unhappy', 'licking', 'lip', 'liner', 'mirror', 'walmart', 'recommend', 'unhappy']",complexion regret recommend biore cleansing balance but unhappy licking lip liner mirror walmart recommend unhappy,-0.6486,negative
4,great productcerave,CeraVe,['productcerave'],productcerave,0.0,neutral
4,kinda made a mistake and bought the wrong one . i have dry skin and this is for oily to normal skin.i also tried to change my order an hour after realizing that the larger one was the same price!so live and learn!not sure it’s worth doing a return .just be mindful of what you’re choosing unlike myself.love cerave,CeraVe,"['kinda', 'mistake', 'wrong', 'normal', 'skin i', 'change', 'hour', 'realizing', 'larger', 'live', 'learn', 'not', 'worth', 'return', 'mindful', 'choosing', 'myself love']",kinda mistake wrong normal skin i change hour realizing larger live learn not worth return mindful choosing myself love,-0.1014,negative
4,nice 👌poor packaging,CeraVe,"['nice', 'poor']",nice poor,-0.0772,negative
4,one of the best cleanse on the marketmust,CeraVe,"['cleanse', 'marketmust']",cleanse marketmust,0.0,neutral
4,i just started my face care journey so hopefully it helpsjust started fade care journey,CeraVe,"['journey', 'helpsjust', 'fade', 'journey']",journey helpsjust fade journey,0.0,neutral
4,best face wash i ever usedlove it!,CeraVe,['usedlove'],usedlove,0.0,neutral
