product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",31/12/2023,"2.0 out of 5 stars
There is no scent, but it also does not moisturize",2.0,"Was recommended this product due to its moisturizing capabilities, but even with a cold wash, my face is still dry after this. Im not even sure how much it cleans. In the future, I would have bought a smaller version of this to test before buying this larger bottle.",0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",23/11/2023,"2.0 out of 5 stars
Did not have protective plastic to prevent opening, seemed used",2.0,All other create products ive purchased similar to this one had protective plastic around the top to help prevent it from being used without paying. This one came without the plastic around the cap and seemed like someone had used it already. It also had some stains on the front.,0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",04/12/2023,"2.0 out of 5 stars
Contains PEG",2.0,"They put PEG in this. One of the many chemicals banned in the EU in products for a reason. Big chemical companies win here. Given CereVe’s reputation, I didn’t even think to check. I would have hoped this company would not add these chemicals. Lesson learned.",0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",29/11/2023,"2.0 out of 5 stars
Ordered the wrong one",2.0,I accidentally ordered the wrong one ....I normally use the foaming cleanser. This one doesn't remove makeup well and made my face really dry just after a few uses. Seriously feels like I'm washing my face with thick lotion! Won't use this one again.,0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",17/10/2023,"2.0 out of 5 stars
Not at all like the Cerave Cream to Foam Cleanser",2.0,"Love Cerave products, really unhappy with this.  I'd used the Cream-to-Foam Cleanser and loved it, and when it came time to reorder I went with this on a recommendation.  Mistake.  This was so drying, perhaps because of the hyaluronic acid?  I used it for about a week as part of my regular skin care routine, and my skin was flaky and irritated.  Too late to return so I'll be pitching it.  Too bad.",0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",08/12/2023,"2.0 out of 5 stars
Ehh",2.0,Probably cleans well but it doesn’t lather at all. I use it in the shower and it feels like I’m just spreading lotion on my face as opposed to soap.,0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",17/09/2023,"2.0 out of 5 stars
Used it for years, but as of 2022..",2.0,I had used both this product and the AM moisturizer for years.  At some point Cerave changed the formula for the moisturizer and I could no longer use it.  I think the formula for this may have changed as well because I have been experiencing eczema around my eyes on and off for a year.  I didn't use it for a few weeks as I dealt with healing my skin.  Used it two days on a row and I'm beginning to see redness again...Try before you buy.,3
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",03/11/2023,"2.0 out of 5 stars
Feels more like face lotion than a cleanser",2.0,"I am not crazy about the texture. Goes on heavy without sudsing and reminds me of a lotion not a cleanser.  I love this brands moisturizer, So I was just a bit disapointed. It is just notmy personal prefrence",0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",08/07/2023,"2.0 out of 5 stars
Is this thing watered down?!",2.0,"A typical example of how good and heavy advertising makes a product look what it's actually not! This thing  doesn't clean good (yes, I now it's a foamless cleanser) ! It cleanse not better than your favorite cleanser watered down by at least half, with your face not feeling thoroughly cleansed, even still greasy after using it. You truly need to use A PALM-FULL of this each time to have a well cleansed face, which actually makes this thing extremely expensive per use! Don't waste your money for this advertising marvel!",0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",13/07/2023,"2.0 out of 5 stars
ehhh",2.0,"out of all the cerave products this is my least favorite one. it doesn’t create any foam at all so you have to use a lot for the product to cover your entire face, even when washing ur face in circular motion it is only layering up the surface and not really doing much for your face. also, the texture is weird, try for yourself and you’ll see. TRY the “makeup removing” one, that one is 10/10",0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",14/01/2023,"2.0 out of 5 stars
I don't get the hype",2.0,"How this cleanser gets such high reviews is beyond me. It might have good ingredients and not be drying for sensitive skin, but it also does not rinse off well and does not leave the skin clean at all.  I do have dry skin and thought I would try it, but honestly, it feels like I am washing with a moisturizer and not a cleanser.  Even dry skin needs to be completely cleansed!  I do a double cleanse(cleansing oil followed by a regular cleanser) and with this, I had to go in with micellar water afterwards to remove the make-up residue left behind, and there was quite a bit. I have never had to do that with other cleansers I have used, so it is not my technique.  If you don't wear any make-up and don't want a deep cleanse, this might be great, but there are far better cleansers out there for dry skin than this one.",3
