product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",01/01/2024,"5.0 out of 5 stars
Good Fragrance Free Cleanser",5.0,"This is a basic facial cleanser. Fragrance-free, simple ingredients list, and works as expected. This does not foam up like the Cerave Foaming Facial Cleanser*.To take off makeup, I double cleanse with KOSE Oil** and Cerave Foaming Facial Cleanser. This is an effective combination but it is drying and I have to moisturize with Cerave Moisturizing  Cream afterwards.On days when I do not wear makeup, I use this cleanser.RECOMMENDATION: This is a luxury item, not a necessity. If you already have a cleanser, use that one up first and then consider buying this one. For makeup removal, I would not rely on this alone. I would double cleanse or at least wipe my face down with a make-up remover cloth or a face towel.* https://www.amazon.com/CeraVe-Foaming-Facial-Cleanser-Washing/dp/B01N1LL62W/ref=sr_1_2_pp?crid=HPP2NC6FE1LO&keywords=Cerave+foaming&qid=1704145567&rdc=1&sprefix=cerave+foamin%2Caps%2C93&sr=8-2** https://www.amazon.com/Beverly-Softymo-Speedy-Cleansing-7-77floz/dp/B0CGCM48SC/ref=sr_1_2?crid=7LZEC4FTKW97&keywords=KOSE+oil&qid=1704145753&sprefix=kose+oil%2Caps%2C92&sr=8-2",45
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",14/12/2023,"5.0 out of 5 stars
Great for dry, sensitive skin",5.0,"I had finally ran out of my 'usual' facial cleanser and decided I wanted to try something new. Among a few others, I chose this facial cleanser for some specific reasons. Number one: it's very gentle and doesn't leave my skin feeling tight or dry after use. Number two: fair price, especially when compared to the multiple other cleansers available at all price points. Number three: I have a family member who used to work in a plastic surgeon's office and she said that the doctor absolutely loves products from this company, and he always had samples available which she of course tried for herself and loved.This cleanser is very creamy and does not lather (which is just fine - lather is not necessary to indicate a product is actually working or not). There is no detectable scent/fragrance. I apply it all over my face with my fingertips, then I use a Makeup Eraser type of cloth to go over my entire face and neck in a circular motion. Afterwards, my skin feels clean and soft and prepared for the rest of my skincare routine. I also got my boyfriend to start using it due to having rosacea and he finally got rid of his bar soap (yaaaayyy!). I can't say enough good things about this stuff, and I highly recommend it, especially if you have very sensitive skin, dryness, are post-procedural and need a gentle, effective cleanser. I give it ☆☆☆☆☆ Hope my review helped someone make a more informed decision about buying it or not.",70
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",07/02/2024,"5.0 out of 5 stars
My dermatologist gave me samples. All you need to know.",5.0,"I bought the larger bottle once my dermatologist provided samples ran out. I have a skin issue that closely resembles the butterfly pattern one gets from having lupus. I have been tested, I do not have lupus, but I do get scaly, peely, cracked oatmeal pattern skin around my mustache line, nose, and t-zone area. I have to use an every other day shampoo that keeps my skin in check, on my head and face. This moisturizing face wash really helps keep my face from drying out as much. Especially under my eyes and on my nose. It does not have any smell really. Its light and airy and will not suds up. If you have a skin issue and need something that won't irritate your skin but will help retain some moisture, this product is it. My dermatologist agrees. Enough so that he gives it away in samples. Or I wouldn't even know about it.Just remember. Everyone is different. What works for one, or even most, may not work for everyone. Try to remeber that when giving a review. Something can be 5 stars for most but not work for you. Not working for you doesnt mean it's a bad product. It's only a bad product if it is not as advertised. Be fair and desriptive when reviewing so others don't miss out on what may work for them.I hope you all find what you need for your skin.Cheers 🍻",19
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",25/09/2023,"5.0 out of 5 stars
My favorite face wash! Great for sensitive skin!",5.0,"The media could not be loaded.
                



I’ve been using this face wash for the past year and it’s done my skin WONDERS !! 😫 My skin tends to be kinda dry but slightly oily in my t zone and around my nostrils. I’m also prone to breakouts, and anything scented tends to make things worse. I could never find a skincare routine that fully worked for me and made the breakouts stop. I was putting in SO MUCH WORK for little results, and then I started using this stuff and LET ME TELL YOU- MY SKIN HAS NEVER LOOKED/FELT SO GOOD !! At first, I noticed I was still dealing with some blemishes and almost stopped using this stuff cause I thought it was the face wash’s fault but it turns out it’s because I wasn’t using it properly (oops). Make sure to use a wash cloth when washing your face! I was uneducated and didn’t realize that by not using a wash cloth, I was leaving some of the face wash trapped on my skin and it was clogging my pores and causing the pimples. So make sure to AT LEAST use a clean wash cloth when rinsing it off, if not for the entire wash and rinse process. Also, this doesn’t just apply to this face wash, it’s apparently common skincare knowledge that I was just unaware of (like I said, it wasn’t the face wash’s fault y’all)! I now am happy to say that I haven’t had a breakout or uneven skin in many months. I make sure to use it twice a day, morning and night, and for me personally I apply Paula’s choice pore reducing toner with a cotton pad afterwards (use toner while your skin is still wet!) and then usually vitamin c serum, a couple drops of jojoba oil, and some spf on top during the day. I dab off any extra oiliness with a paper towel (don’t rub the paper towel on your face it’s not good for your poor sensitive skin 😭) At night I wash my face, use the toner, and then some jojoba oil, rosehip seed oil, or The Ordinary’s 1% retinol in squalane depending on what I feel my skin needs (also if you wanna start using a retinol serum, I highly recommend doing some research first so you know what you’re getting into/how often to use it!) overall, this stuff feels great on my face and isn’t too thick and it doesn’t leave any weird residue feeling like some face washes have in the past. It leaves my skin feeling moisturized and balanced, no more dry or oily spots! I also love that the bottle is easy to take with me places because I travel a lot. It has a cool little c shaped clip that goes under the pump to keep it from leaking in your bag which is an honest lifesaver. The bottle is durable too/it’s not about to get crushed in my bag under all my stuff. Overall, I HIGHLY RECOMMEND this face wash for anyone with sensitive skin!!",82
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",23/02/2024,"5.0 out of 5 stars
My holy grail product!",5.0,"The La Roche-Posay Toleriane Face Cleanser is IT for dry skin (especially at the price point). It doesn't really foam upon use, which is ideal for me-- it has a creamy texture that doesn't feel stripping but still feels ""clean"" when washed off. Excellent for dry and/or sensitive skin.",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",31/01/2024,"5.0 out of 5 stars
Wonderful product!",5.0,Extremely gentle and cleanses without leaving a greasy feel on my skin.,0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",20/01/2024,"5.0 out of 5 stars
Comparable to CeraVe",5.0,"I love this cleanser! I went down the rabbit hole that is La Roche-Posay, but it's a good thing! This is gentle,  and it leaves my skin soft & smooth. It's a gel/balm consistency & sans scent. I don't have sensitive skin, but I imagine that it would suit someone who does. It removes makeup really well, and it doesn't bother my eyes. 10+ 🌟",5
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",23/02/2024,"5.0 out of 5 stars
Very Gentle",5.0,Even the good stuff can cause skin issues for me so I have to be careful. I tried this because of the rating on skin deep was great and I really like this brand. I love how it makes my skin feel.,0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",12/02/2024,"5.0 out of 5 stars
Dermatologist Recommended",5.0,I had a dermatologist recommend this line of skin care products years ago and I’ve never looked back. It’s so gentle on your skin and doesn’t cause any breakouts or skin reactions. I have very sensitive skin and then hasn’t cause any issues for me. I can’t say enough great things about this brand.,0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",23/02/2024,"5.0 out of 5 stars
Love this product.",5.0,My skin feels soft and clean after using. This product is not harsh on my skin and I love the texture of my skin after using. Highly recommend.,0
