product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,22/2/2024,"1.0 out of 5 stars
Both bottles would not release the pump",1,"Called the 800 number for this product because the pumps would not release on both bottles I purchased.  They said to hit the top of pump with a hard object.  it finally worked, but pump is still not easy to use.Would not buey this again.  Can accept that one bottle could be defective, but two of them?",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,27/1/2024,"1.0 out of 5 stars
Now I won’t ever take advice from strangers.😭",1,"Took advice from tiktok, and decided to give the blue and (green version) combo a chance. It didn’t work and gave me horrible pimples, all over my face. I didn’t have that much pimples to begin with. I still used it for about 3 months straight, just in case it worked. BUT NOW MY FACE IS COVERED IN PIMPLES. (By the way, I threw it in the trash)",2
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,27/9/2023,"1.0 out of 5 stars
This product is great, but the package is terrible.",1,"I like the product, but when I first used the pump to get lotion out of the packaging, the pump broke! I had to screw off the cap with the broken pump, then I shook some lotion out of the container to apply. What a hassle (I bought the pump to make access easier).I wrote to the company telling them about the problem. They asked a bunch of questions (what is the exact product, when did I buy it, where did I buy it, how much did I pay for it), and after answering every question, their reply was basically “sorry, there’s nothing we can do.”!I became very disappointed with the company even though I liked their product. I just wish their customer service would have been as good as their product (minus the defective packaging).",7
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,28/1/2024,"1.0 out of 5 stars
Reaction",1,I thought it was working just fine. After a couple of days I now have little red dots/a rash on the top of my hands and on my nose from using it. Unfortunately something in the ingredients is causing a reaction to me. Bummed,2
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,7/2/2024,"1.0 out of 5 stars
Face full of rashes",1,"I have sensitive skin, so this definitely isn't for me! It has an exfoliant in it that ruins my skin.  Sorry, bu tthis one goes back to Amazon!.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,13/10/2023,"1.0 out of 5 stars
Bad or expired lotion",1,"I have used this product for years and love it. However I don’t know what is wrong with this particular batch, but I kept noticing a weird and terrible smell.  I sadly I realized it was the lotion 2 days after the return window had closed. There’s something wrong with the one Amazon sent. I since bought bottle at Walmart and it’s great-the same product I’ve used for years.",6
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,3/1/2024,"1.0 out of 5 stars
Definitely not for sensitive skin",1,I had very high hopes for this product. I started a new routine for skin care and this was the product that caused me to have a bad reaction. It burned on my skin and I stopped after a 3 day use.,4
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,17/11/2023,"1.0 out of 5 stars
Smells like fish",1,"Very unfortunate for some reason the most recent one I recieved very much smells fishy. I had to stop using it and now I have a full bottle that's unusable cause it leaves me smelling like fish. I do not know if this was one batch or what, but definitely gross and definitely a bummer. I usually love this stuff.",6
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,4/2/2024,"1.0 out of 5 stars
Very dissapointed",1,"Very dissaponted. The lid was opened and the solvent was leaked. I requested to replace a item. But, newly arrived one was same as well. I am very very angry.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,1/12/2023,"1.0 out of 5 stars
Bottle arrived opened",1,"When I opened the package (the lotion arrived in) all the lotion was emptied out into the bag. It covered all other items. Being that the lotion isn’t very cheap, it was a complete waste of money. Half of the bottle was gone!",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,30/12/2023,"1.0 out of 5 stars
Not worth it",1,"I used this for my face however this product seem to not work , just a small amount can be applied to the area cause it’s a lot but it’s not working for my face at all",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,24/6/2021,"1.0 out of 5 stars
This product is straight up bad",1,I am the kind of person who reads a lot of reviews and does her research before buying a product. However watching so many dermatologists vouching for this moisturizer I caved in. I just read some reviewa and most were positive. It didn't work for me.there were other products I was using along with it so I had to do a lot of permutations to weed out the bad ones. I also use two apps now that score products. I highly recommend yuca and skin bliss to you. I am not going to talk more about the apps. They however showed me how some of these endorsed products did not work for someone with my complex skin type and then further showed me how terrible they are to begin with.do what you must with this info. It has nothing to do with the seller btw. The product is just bad.lots of ingredients that are bad. You will be so shocked to find how many products we use daily are affecting us int he long run and am not just saying breakouts and what not but cancer causing.,18
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,7/8/2023,"1.0 out of 5 stars
Fish Smell",1,"I had always bought this ""VALUE SIZE"" Cerave and this week I opened to use it and it smelled like FISH. I went to send a message to seller and since it's passed my RETURN date, it didn't  let me and not even Amazon Customer Service helped me because of the expired return date.I am not going to buy this product again.",6
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,25/5/2023,"1.0 out of 5 stars
Broke",1,I was holding this item till I needed it. Like now. And the moment I try to use it. The cap breaks effortlessly. I barely used any force to turn it. And it breaks. To late to get a refund. And I'm I really expected to take out the entire tube to get a sample of the lotion every time o need to use it.I bet the lotion works fine. Head of the tube broke. Can't get refund. 1 star awarded.,5
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,18/9/2023,"1.0 out of 5 stars
Rancid smell",1,"This is the second bottle of Cera Ve that I have received that smells rancid, actually stinks when applied to my skin. The Cera Ve I purchase from CVS pharm has no odor. Smells clean and light if you wanted to describe the smell. Kinda creepy to think about what I was rubbing into my skin. Ugh.",3
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,30/1/2024,"1.0 out of 5 stars
Necesito producto o devolución",1,"Necesito una solución son 30 artículos que no recibí, es mi segundo pedido y el primero todo salio bien",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,13/2/2024,"1.0 out of 5 stars
Something is SUPER off with this. Just opened. This lotion is not good",1,I buy this all the time but definitely must have got a bad batch,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,1/7/2023,"1.0 out of 5 stars
Rotten lotion",1,"I’ve used this brand of lotion and have loved it for years! Against my better judgement, I ordered my most recent bottle on Amazon and it smells SO bad. I’ve been using it for a couple of weeks thinking that the smell was all in my head and now I have a rash and lump above one of my eyebrows… if you want to try this lotion buy it somewhere else!",6
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,17/8/2023,"1.0 out of 5 stars
Smells like fish",1,"I got this because I normally really like CeraVe products and I needed a lightweight lotion for my face at night. I cannot use this. Every time I pump it to put on my face before bed, all I smell is fish. Not something I want on my face. Unfortunately, I will be returning.",4
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,10/9/2023,"1.0 out of 5 stars
HORRIBLE SMELL!",1,"I love CeraVe and only use this moisturizer for my face and body. However, the bottle that I most recently received smells like fish! Not only am disappointed but horrified and cannot bring myself to use it. I’m hoping it was just a bad bottle and can receive a replacement.",3
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,7/2/2024,"1.0 out of 5 stars
Do not buy",1,"Disappointed - product must be expired or something, has an AWFUL odor",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,3/7/2023,"1.0 out of 5 stars
Lotion had a strange, unpleasant smell.",1,First time buying this lotion from Amazon.  When I opened it I noticed a strange earthy smell kind of like mushrooms.  The lotion is supposed to be fragrance free.  I have purchased this elsewhere in the past and not had that problem.  I was afraid there might be something wrong with it so I threw it away.,8
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,28/8/2023,"1.0 out of 5 stars
Bad batch",1,"Like some other reviewers, I must have gotten a bad bottle. I’ve been using this lotion for years and have never noticed an off-putting smell like this. I opened the bottle to look at it and the consistency is also off—weird, chunky, separated. I will only be buying in store from now on.",4
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,1/8/2023,"1.0 out of 5 stars
Container broken",1,"So Cerave is a good product but won't buy pump dispenser online again as it came broken. Will have to take off top to dispenser which defeats whole purpose for buying. DisappointingActually changed to ONE star rating after using. The ""lotion"" is very watery. Would not recommend lotion dispenser at all.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,29/1/2024,"1.0 out of 5 stars
bad",1,this came in with holes and was dried up.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,30/10/2023,"1.0 out of 5 stars
Gross smell",1,"I bought this product specifically to have unscented for my sensitive skin and I dont know if it’s not really the product inside or just expired, but the smell is gross. I’m too afraid to use it.",2
