product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,9/6/2023,"2.0 out of 5 stars
Cambió su formulación AGREGARON PARABENOS, NO TIENE QR autenticación, el olor ahora no es agradable",2,"Estoy muy decepcionada y triste a la vez ya que vengo siendo usuaria de Cerave hace unos años ya. La verdad soy de piel sensible y estos productos son los unicos que me han resultado dentro de tantos que habia probado sin exito. Compre esta locion ya que la anterior se me esta agotando y no me puede faltar y me encuentro con que el olor no tiene nada que ver con el de la que vengo usando y para mayor sorpresa aun cuando me fijo en los ingredientes le han agregado PARABENOS los cuales han sido cuestionados porque pueden tener impacto no positivos en la salud humana, ejemplo de lo que pueden provocar: Disrupción hormonal, Potencial carcinogénico, Sensibilización cutánea. Por mas que los porcentajes que utilicen se diga que son seguros considero que es mejor evitarlos. Es una pena que Cerave este haciendo esto, ojala y recapaciten y mas personas como yo se quejen a ver si vuelven a la formula anterior. Otra cosa que encontre es que no tiene codigo QR de autenticacion ni fecha de caducidad, lo cual si tiene todos los productos que tengo en casa. Esto hace siempre cuestionarse si son originales o son falsos. Ahi dejo fotos de ambas lociones la anterior y esta que compre aqui.",2
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,5/1/2024,"2.0 out of 5 stars
Lotion bottle arrived open and leaking",2,Lotion arrived open and all over other items in box.  Cardboard on other items was saturated and I don’t know if it has affected the rest of items in the box as of yet.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,26/11/2023,"2.0 out of 5 stars
Do not use unless you already have acne.",2,I began my face care journey and bought this Cerave moisturizer to start but I noticed that when I started to use it my face began to fill up with acne that I did not have before.  I do not recommend this product unless you already have acne you are trying to get rid of.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,3/12/2023,"2.0 out of 5 stars
Made my skin very oily",2,I used the product for about 2 weeks to give it some to see how it does and if it’s good but it wasn’t good for me. It made my skin very oily. Not sure if it depends on the person but I didn’t like this very much.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,11/1/2024,"2.0 out of 5 stars
Does not work for my dry skin",2,I have very dry skin and live in a dry environment. This Cerave lotion did nothing for moisturizing my skin.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,26/12/2023,"2.0 out of 5 stars
Effect on my skin",2,For some reason all other CeraVe skin products I've rated 5 stars but this product irritated my skin & I had to wash it off within an hour of application.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,18/11/2023,"2.0 out of 5 stars
Very ""oily""",2,"Its just okay. Seems very oily for something that supposedly has none. I wouldn't buy it again, although I usually like the CeraVe products",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,17/11/2023,"2.0 out of 5 stars
It’s damaged and not packaged properly but I like the product",2,It’s damaged and not packaged properly but I like the product,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,17/11/2023,"2.0 out of 5 stars
Sent anything out !!!",2,came out the box like this could’ve at least gave a better bottle .,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,16/10/2023,"2.0 out of 5 stars
Weird Scent",2,We've bought this in store and never had a problem with the scent. It has a scent its been sitting on a shelf for far too long.,3
