product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,07/02/2024,"2.0 out of 5 stars
this product pills on your skin",2.0,"I ordered this product to try with my skin care routine. It had high ratings for a hyaluronic acid serum.  first of all, this is not a serum it is a cream. This was ok but I was expecting a wet silky serum and did not get that.  I have tried it a couple of times now thinking it would get better but it has not. After I put this on my face, I will apply my moisturizer. As I rub in my moisturizer I notice it starts to roll up and pill on my face so in reality I am wiping it off and not benefitting from this product at all. I will not be purchasing this again but I do encourage others to at least try it. You may have a better experience than I have.",2
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,02/03/2024,"2.0 out of 5 stars
Makes My Skin Feel Tight",2.0,"For something that is supposed to be hydrating, this really makes my skin feel tight. I have tried it several times and always get the same results.  Going to need to look for something else. I like the way it dispenses, but that is about it.",0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,02/03/2024,"2.0 out of 5 stars
Not again",2.0,"This serum leaves a flat dough look to your skin. The men's line serum that I buy, although more money, makes my skin look healthy. I wouldn't buy CeraVe again.",0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,29/02/2024,"2.0 out of 5 stars
Dried my skin out - not moisturizing at all.",2.0,This dried my skin out and make it crinkly.  My Nivea 72 hour moisturizer works MUCH better.  I ended up throwing it away.,0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,27/02/2024,"2.0 out of 5 stars
Burning Skin",2.0,This serum made my skin burn and flake. I love all the other CeraVe products I've used. Not sure what's up with this product.,0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,21/02/2024,"2.0 out of 5 stars
not for me",2.0,"felt nice until i had an allergic reaction to it, not surprising though bc i'm allergic to most skincare products.",0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,10/12/2023,"2.0 out of 5 stars
Made me break out",2.0,"I was disappointed because everybody always has positive things to say about Cetaphil and I was excited to try this moisturizer. However, it made me break out. I don't know what the problem is because I have very dry skin that can flake throughout the day. If I don't put moisturizer on in the morning. Maybe it will work for someone else.",0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,06/02/2024,"2.0 out of 5 stars
Just ok",2.0,This doesn’t dramatically make your skin feel different or even very moisturized. It also leaves white balls of residue when you try and massage it in. Would not recommend nor would I purchase again.,0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,08/12/2023,"2.0 out of 5 stars
Back to my old brand",2.0,"I saw how high the reviews were for this, thought I’d try it for the price.It has more of a creamy texture, not serum. I feel like it dries my face out more than usual, and I need moisture. Was a bit irritating on the skin",0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,18/01/2024,"2.0 out of 5 stars
It came open and package wasn’t sealed properly",2.0,Opened to box and the top of the bottle was already popped off.,0
