product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",4/3/2024,"3.0 out of 5 stars
Silky & good under makeup",3,"I've been using this for a few months now. You can apply makeup on top of it and it doesn't pill. It feels a little sticky when first applied, but dries to a silky finish.As for the cons, it's a very sticky serum & ends up all over the outside of the bottle, so you have to keep wiping it off.I haven't noticed any changes in my skin, but I'll update this if I do.",0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",3/3/2024,"3.0 out of 5 stars
It may work nicely - but I think I'm sensitive to hyaluronic acid products",3,"I have tried several different products, by several different brands, containing hyaluronic acid and each time I break out. So I'm not the best person to review this product - but I can tell you most likely this product does indeed contain hyaluronic acid because I broke out.",0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",27/2/2024,"3.0 out of 5 stars
STRONGLY Perfumed",3,"I get it: some people like scented facial products. However, the description “lightly scented” couldn’t be more misleading. While this serum has a nice texture and applies smoothly, I can’t bear to use it because of its strong perfume. No facial benefits are worth the headache.",0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",26/2/2024,"3.0 out of 5 stars
Sticky",3,This is my first time using this product.So far it IS sticky. The bottle says to use it in the morning and afternoon. With it being sticky I’m not sure how that is suppose to work.,0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",24/1/2024,"3.0 out of 5 stars
They have change the product, it is now watered down",3,"I have loved this product and purchased it for year.  It was a rich, thick serum, it made my face so moist and literally glow.  The last 2 purchases, I have noticed they have watered down the product, it is not the same at all, I don't feel the moisture, it is runny and like any serum now.Very disappointed in what they have done.",4
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",9/12/2023,"3.0 out of 5 stars
Love the brand, hate the scent.",3,"I just received this and was so excited to try it out as I love the brand but what in the world were they thinking with this scent?! I find it overwhelming and not particularly pleasant, it's like a room deodorizer. One reviewer said that  the smell dissipates after a little while. I don't find that happening, it's been at least 30 minutes and it's still very strong.. For someone like me that is sensitive to fragrance in products it's not something I want so I'm very disappointed. I'm not sure if I can return this but I would if it's possible.",5
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",9/1/2024,"3.0 out of 5 stars
doesn't absorb well",3,I wanted to like this because of the price point and brand but it doesn't soak into my sink and just kind of sits there. It makes me feel oily and sticky.,0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",3/2/2024,"3.0 out of 5 stars
Used",3,Box was opened and appeared used. Don't know about anyone else but this has been happened to me frequently.,0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",4/2/2024,"3.0 out of 5 stars
Strong fragrance smell",3,Have sensitive skin and fragrance is irritating. also the package wasn’t sealed.,0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",22/1/2024,"3.0 out of 5 stars
It was not an original item",3,"Therw is ni QR code, no exp.date",2
