product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: CeraVe Foaming Facial Cleanser | Daily Face Wash for Oily Skin with Hyaluronic Acid, Ceramides, and Niacinamide| Fragrance Free Paraben Free | 19 Fluid Ounce",4/2/2024,"2.0 out of 5 stars
Did not take off oil off face",2,"Was looking for a product that would help me with oily face. Tried it for days and product did not wash of oil off face. Product ladders well but does clean fairly ok, but its not for oily skin like what it says. Switching over to other product.",0
"Amazon.com: Customer reviews: CeraVe Foaming Facial Cleanser | Daily Face Wash for Oily Skin with Hyaluronic Acid, Ceramides, and Niacinamide| Fragrance Free Paraben Free | 19 Fluid Ounce",6/11/2023,"2.0 out of 5 stars
Feels smooth and last for a long time, but didn’t clean my face well.",2,"For context, I have oily, acne prone skin. So the pros are even though it’s fragrance free, the smell is really nice. Other pro is the product lasts a long time so if you buy this bottle and use one pump 2 times a day, expect for it to last like 5 months tops. Other than that, I feel like this cleanser does not clean my skin very well. Maybe it’s the moisturizing benefits from the cleanser, but I don’t feel fully clean like how I would with la roche posay cleanser. I also sense that I get oily faster through the day with this cleanser so it doesn’t control my oils well. I really wanted to love this cleanser since so many people love it, but it’s not my favorite. Might buy in a few years but for now, I’ll stick with my la roche posay cleanser.",0
"Amazon.com: Customer reviews: CeraVe Foaming Facial Cleanser | Daily Face Wash for Oily Skin with Hyaluronic Acid, Ceramides, and Niacinamide| Fragrance Free Paraben Free | 19 Fluid Ounce",16/1/2024,"2.0 out of 5 stars
doesn’t deliver up to it’s description",2,"I purchased this because I have really oily skin, and I love foaming cleansers.  It doesn’t foam at all, and my it doesn’t help with oil control at all.",0
"Amazon.com: Customer reviews: CeraVe Foaming Facial Cleanser | Daily Face Wash for Oily Skin with Hyaluronic Acid, Ceramides, and Niacinamide| Fragrance Free Paraben Free | 19 Fluid Ounce",31/12/2023,"2.0 out of 5 stars
No me funciono",2,No me agrado me sacaba mas acne en mi piel y lo use por unos dos meses,0
"Amazon.com: Customer reviews: CeraVe Foaming Facial Cleanser | Daily Face Wash for Oily Skin with Hyaluronic Acid, Ceramides, and Niacinamide| Fragrance Free Paraben Free | 19 Fluid Ounce",13/1/2024,"2.0 out of 5 stars
Mehhh, Have combo acne prone skin",2,"Was kinda drying and does have comedogenic ingredients, used this for 2 weeks and noticed breakouts.",0
"Amazon.com: Customer reviews: CeraVe Foaming Facial Cleanser | Daily Face Wash for Oily Skin with Hyaluronic Acid, Ceramides, and Niacinamide| Fragrance Free Paraben Free | 19 Fluid Ounce",17/11/2022,"2.0 out of 5 stars
I shouldn’t have bought this.",2,"I’m female and 16 years old. I get a good amount of hormonal acne and pimples. I switched to this product from Proactiv products. I regret it. This face wash is gentle on the skin and has no bad odor and I’m sure is great for sensitive. I DO NOT recommend this if you have acne. I switched to this because it is cheap and I should have stuck with proactiv. I used this product the past two months. When using proactiv I only had some acne on my forehead and less texture and less scarring. Switching to this face product broke me out. I get pimples and acne on my cheeks and lower face which I have NEVER had before in the past. I now have scarring on my lower face. I get pimples almost daily/every other day since using this product. I’m unhappy with the product, my acne has already been my biggest insecurity and now its worse. People are different, it may work for some it may not for others but personally it just made my acne worse than it already is. Moral of the story, I would not get this if you are prone to acne, do not risk it. I understand it’s a good budget but in my opinion not good quality.",0
"Amazon.com: Customer reviews: CeraVe Foaming Facial Cleanser | Daily Face Wash for Oily Skin with Hyaluronic Acid, Ceramides, and Niacinamide| Fragrance Free Paraben Free | 19 Fluid Ounce",21/10/2023,"2.0 out of 5 stars
Left my face feeling dry",2,This foaming cleanser left my face feeling dry. The reason I tried it was because the moisturizing cleanser didn't remove my makeup well enough. I need an in between product that will remove makeup residue and moisturize my skin.,0
"Amazon.com: Customer reviews: CeraVe Foaming Facial Cleanser | Daily Face Wash for Oily Skin with Hyaluronic Acid, Ceramides, and Niacinamide| Fragrance Free Paraben Free | 19 Fluid Ounce",10/1/2024,"2.0 out of 5 stars
Damaged",2,Item was damaged.,0
"Amazon.com: Customer reviews: CeraVe Foaming Facial Cleanser | Daily Face Wash for Oily Skin with Hyaluronic Acid, Ceramides, and Niacinamide| Fragrance Free Paraben Free | 19 Fluid Ounce",20/8/2023,"2.0 out of 5 stars
Poor packaging no foam",2,"Very poorly packaged; it's very possible that I may have gotten a used product as the cap could be easily opened, and it had dirty stains. It also does not foam up at all, considering it is a foaming cleanser which I find weird. I don't even know if this product is safe to use to be honest, but I will have to wait and see if it is effective.",0
"Amazon.com: Customer reviews: CeraVe Foaming Facial Cleanser | Daily Face Wash for Oily Skin with Hyaluronic Acid, Ceramides, and Niacinamide| Fragrance Free Paraben Free | 19 Fluid Ounce",25/7/2016,"2.0 out of 5 stars
Tread with caution - Loaded with Propylene Glycol",2,"I am one of the biggest supporters and users of almost all Cerave products. I am currently using the Hydrating Cleanser, Renewing Lotion and Eczema Body wash. My 2 year old uses the Baby Wash and Baby lotion from Cerave.So far, this foaming facial cleanser is the only Cerave product that I have a serious concern with. The 7th ingredient is 'Propylene Glycol' and it may sound like not a lot but think it this way - all the good stuff like hyaluronic acid & all Ceramides are after Propylene Glycol. Whatever good is going to come from the 'good' stuff will be mitigated by PG. Propylene Glycol is a know skin sensitiser and you can ready plenty about it on Google or elsewhere. If you have sensitive skin or conditions like rosacea/eczema/psoriasis, this cleanser will sting your skin and /or cause a rash or acne in the very first week. If you have normal skin, it will eventually sensitive your skin and it will thereafter start reacting to PG. I just don't understand why a super awesome brand like Cerave can't use something better like Butylene Glycol instead. I have written to them but they have not reacted. I seriously hope they can replace this ingredient with a safer ingredient as I really need a foaming facial cleanser and it kills me to use other brands.",337
