product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",03/06/2023,"4.0 out of 5 stars
Cleanses very well",4.0,I first found this in a local store but when I ran out I could t find it anywhere so I decided to just get it online. Really loves the cleanser it works well with my sensitive acne prone skin as well.,3
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",13/07/2023,"4.0 out of 5 stars
Saved my skin",4.0,"My skin is super oily and this totally saved my skin. I used to wipe the oil off of my face during the day and now thanks to this cleanser, I don’t have to. I’m about to order my second bottle and I can tell you a little goes a long way. I typically rub the cleanser between my hands for about 15-20 seconds before I start washing my face to make more of a use for it. When I first got this a used a LOT!! I basically wasted about half of the bottle 😂. After washing your face you light feel tightness or dryness and that’s why I gave it 4 stars instead of 5. Putting that aside, when I wake up I feel like I just washed my face and I actually feel clean 🧼. I’m definitely going to buy again",10
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",29/10/2023,"4.0 out of 5 stars
Normal",4.0,"Ya habia comprado uno en Colombia y por eso lo busque por aca, no se si da los mismos resultados, pero parece igual al que tenia",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",11/09/2023,"4.0 out of 5 stars
Great Cleanser! HORRIBLE SMELL!",4.0,I really love this cleanser so far but the fragrance is awful! It’s like a mix of melted plastic & heavy perfume. I don’t understand why this even needs fragrance since it’s a product targeted for sensitive skin types. Really wish it was fragrance free. The scent is the only bad thing about this product. Other than that it’s a fantastic cleanser.,9
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",18/10/2023,"4.0 out of 5 stars
Would recommend.",4.0,He was recommended by a professional in the field. It works. Would recommend.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",25/09/2023,"4.0 out of 5 stars
Smells good!",4.0,"Unsure how pure the ingredients are, but did nog make me break put and smell really good! String snd perfumey so avoid this face wash if you dont like those kinds of scents",2
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",04/08/2023,"4.0 out of 5 stars
Per my wife",4.0,"According to my wife, this product was meant to work well with oilily skin, and it does not.",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",28/06/2023,"4.0 out of 5 stars
Bueno pero cuidado con la piel sensible",4.0,"Ayuda mucho en la piel grasa, pero si tienes la piel sensible puede que arda un poco o que la piel se torne roja",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",04/08/2023,"4.0 out of 5 stars
Facil",4.0,Buen producto,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",03/05/2023,"4.0 out of 5 stars
Foamy and clean",4.0,Love that it doesn’t take much to get a great foamy lather. I leave it on for 1-2 minutes and rinse with cool water and pat my face dry with a paper towel. Skin looks and feels so clean.,0
