product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,05/11/2023,"1.0 out of 5 stars
Ineffective",1.0,I did not find it effective in thebjob it was designed to do. I will not purchase again.,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,20/01/2023,"1.0 out of 5 stars
Irritates sensitive skin",1.0,"I bought this along with CeraVe Acne Foaming Cream Cleanser and CeraVe Retinol Serum for Post-Acne Marks and Skin Texture. I LOVE the retinol but the cleanser and acne treatment made my skin turn sensitive, red, and flaky after about a month of use. My acne seemed unchanged. I finally stopped using the acne gel and cleanser and just use raw honey and the CeraVe retinol. I still have acne but at least my face is not burning anymore. Do NOT recommend it for people who actually have really sensitive skin.",0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,03/10/2023,"1.0 out of 5 stars
Nope",1.0,It has made my face breakout even more than it did before,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,13/09/2023,"1.0 out of 5 stars
Not worth it",1.0,It literally came open and half product was wasted,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,23/09/2023,"1.0 out of 5 stars
It did not work.",1.0,Does not work. Disappointed,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,07/12/2022,"1.0 out of 5 stars
Pls read before buying!!!!!!!!",1.0,So this product didn’t work I used it like it should for about 3 weeks and caused so many like every pore was a tiny white head then they turned into pimples that hurt and caused redness but I know not all skin is the same but it didn’t work for me,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,14/05/2023,"1.0 out of 5 stars
Damaged tube",1.0,I would like the product. It has good ingredients and minimizes pores. The tube however came damaged so I had to throw it away. It was far too messy.,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,16/08/2022,"1.0 out of 5 stars
Caused my chin & mouth area to break out",1.0,"It was just ok at first, never saw a difference. Then as I kept using it every so often, I was getting painful, inflamed pimples on my chin and mouth area that were bright red. No more salicylic acid for me. Plus it smells horrible! I do love most Cerave products for the record.",3
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,15/05/2023,"1.0 out of 5 stars
Not worth it for me",1.0,This didn’t really work at all with my acne it made my skin very dry and didn’t seem to help at all with my acne spots,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,10/07/2023,"1.0 out of 5 stars
Burning",1.0,Burning,3
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,30/04/2023,"1.0 out of 5 stars
No",1.0,To dry on skin,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,19/02/2023,"1.0 out of 5 stars
Bad experience",1.0,"I was shocked when I opened my package, not sure how’s that happened, those cerave boxes has been opened……",0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,31/07/2022,"1.0 out of 5 stars
Still getting black heads",1.0,"I have oily skin texture and this product was recommended for blackheads, still getting blackheads and I applied it every day for over 1 month and no change, I don't recommend it.",2
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,03/09/2022,"1.0 out of 5 stars
Smells hideous!!!",1.0,Smells rancid. Double checked the expiration date and was shocked to see that it wasn’t expired. Not sure how something that isn’t expired could have such a disgusting smell.,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,24/09/2022,"1.0 out of 5 stars
That’s it, I’m done",1.0,"I know some say that it gets worse before it gets better, but this is ridiculous. I’m 31 years old and I currently have 12 zits on my face. Not for me…. It’s going in the garbage!",0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,08/06/2022,"1.0 out of 5 stars
Product arrived opened",1.0,"The package arrived looking like it had been stepped on and had clearly been opened. Security stickers were taken off, etc. CeraVe products are great. Will buy products from different store",0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,09/05/2022,"1.0 out of 5 stars
Made my acne worse",1.0,"I love CeraVe products, but for some reason CeraVe Salicylic Acid Acne Treatment made my acne worse, it is not for me !",0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,31/10/2022,"1.0 out of 5 stars
Waste of money",1.0,It’s not working for me I didn’t like it it’s a waste of money 👎,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,28/01/2022,"1.0 out of 5 stars
Don’t buy",1.0,This is the worst product especially for sensitive skin. It burned my skin as soon as I put it on and it didn’t even clear my acne at all.,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,19/07/2022,"1.0 out of 5 stars
Oily skin",1.0,This bs made my acne worse and I’ve been using it since March.,2
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,23/08/2021,"1.0 out of 5 stars
This made my acne so much worse.",1.0,I bought this product because Cerave is usually such a great product for me. not this line of acne treatment products. It has made my acne flare to a totally new level. It is ridiculous.,26
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,17/11/2022,"1.0 out of 5 stars
Useless",1.0,Useless. No improvement.,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,19/10/2022,"1.0 out of 5 stars
peeling, not work well with any of my sunscreens",1.0,"peeling, not work well with any of my sunscreens",0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,03/08/2022,"1.0 out of 5 stars
Nope",1.0,Does absolutely nothing for hormonal acne,3
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,12/10/2022,"1.0 out of 5 stars
Pésimo no deja la cara limpia",1.0,No lo recomiendo,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,13/01/2022,"1.0 out of 5 stars
Doesn’t work",1.0,I used this for about three weeks and didn’t get any results,2
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,24/09/2021,"1.0 out of 5 stars
Rancid just 1 month after purchase",1.0,Horrible smell and rancid after 1 month of use. I came back to get a refund and I'm 3 days late. I'm going to take this to Amazon,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,13/10/2021,"1.0 out of 5 stars
Too bad",1.0,"A month later, the smell was extremely bad and the skin was irritated",0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,11/08/2023,"1.0 out of 5 stars
Nope",1.0,I already have the same cerave color as this one I tried 3 different ones and I’m still breaking out I highly doubt this one will work,0
