product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,12/2/2024,"2.0 out of 5 stars
Not worth the effort",2,"Pros: The product did not irritate my skin at all. I like that there’s sunscreen in it.Cons: At least for me, it took forever to rub into my skin completely, and I felt like I had to use a decent bit of it in order to leave my skin feeling moisturized. It just wasn’t worth the effort for me when I think there are better products out there.",0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,25/1/2024,"2.0 out of 5 stars
Bad whitecast",2,"Idk how this has such high reviews, it takes forever to get this product to sink in and even then it leaves a whitecast. I prefer the neutrogena sunscreen instead and am willing to spend the extra money for it.",0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,29/10/2023,"2.0 out of 5 stars
Read The Ingredients! Make Sure You’re Not Allergic!",2,"I bought this because I was looking for a proper facial moisturizer, CeraVe is of course well known and this one specifically has spf30 so it seemed like a good option. Seemed okay at first but while i rubbed it in my skin it was.. clumping up? which i could tolerate as long as it did its job. later in the day after getting home I noticed my face was red which was strange but i ignored it. I put it on the next day and my face not only turned red but my face also burned, as well as a rash on my neck. Last time I checked I’m not allergic to anything, I’ve never had issues with trying new products before.",0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,17/2/2024,"2.0 out of 5 stars
Too sticky",2,"My face felt tight and dry. It also felt sticky. I'm gonna stick with my no.7 products. I was trying to find something less costly, but going back to my tried and true.",0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,30/12/2023,"2.0 out of 5 stars
Pills",2,I love most CeraVe products but unfortunately the AM Facial Moisturizing Lotion with  sunscreen does not absorb like it should.  It pills when makeup is applied.  I’ve let it dry for as long as 30+ minutes and it still pills.  I’ll continue buying other CeraVe products but not this one.,3
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,11/1/2024,"2.0 out of 5 stars
Pills :(",2,"I love CeraVe products and have always had a good experience. However, this moisturizer began pilling as soon as I used it. I thought it may have been the skincare I had underneath, but nope, even on clean skin it still pills up. It’s a nice enough moisturizer, so I’m disappointed.",0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,31/1/2024,"2.0 out of 5 stars
This product doesn’t absorb well",2,"Each time I use it, it piles on my skin. Especially around my mouth. I wish I had done more research before buying this.",0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,13/11/2023,"2.0 out of 5 stars
Greasy and Doesn't Absorb well",2,"I was ""influenced"" to buy this. I switched from IT Cosmetics Day cream. Not even in the same ballpark of effective. It goes on greasy and doesn't absorb very well leaving me with a white film virtually making it impossible to put on under make up without wiping off my face with a dry cloth. Don't like it at all.",2
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,19/10/2023,"2.0 out of 5 stars
Just not good",2,"I really wanted to like this product. I stuck to it and gave it a chance but unfortunately it's just not good. It leaves a horrible white cast, and if it gets around your eyebrows they will stay white. It is difficult to spread around your face, and gets flaky. Feels like it just stays on your face, and for those with oily skin will just make you look oily with a horrible white cast. Avoid if possible.",3
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,17/2/2024,"2.0 out of 5 stars
Cast on dark skin",2,This may work but for dark skin had a cast on skin,0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,24/1/2024,"2.0 out of 5 stars
Almost half way empty",2,Same pattern. I checked inside the bottle and it’s 1/4 to 1/2 way empty from manufacturer. Not fair to me. Big bottle is a lie. I hope it works fine.,0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,16/11/2023,"2.0 out of 5 stars
Disappointed",2,for some reason this moisturizer always peels. I’ve done about everything right to prevent it from peeling but it still does it. ( and no it’s not dry skin). Don’t buy unless you want white poop all over your face and then have people pointing it out 😀.,0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,21/1/2024,"2.0 out of 5 stars
Size Concern",2,"I am disappointed with the size, did not think it would be so small. Just started using it and my face is feeling and looking great.",0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,25/12/2023,"2.0 out of 5 stars
Less amount",2,"Compare to price, product quantity is too less and i dont see any difference in my skin. This will be my first and last purchase.",0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,12/5/2023,"2.0 out of 5 stars
Goes on super dry and white....",2,"UPDATE:  another star removed. I find that it leaves a peeling of white “stuff” on my face. Throwing it away.I had been using an Aveeno brand for years and they recently stopped making it...their new product has soy which I prefer not to use ever in or on my body.  I love the cerave night moisturizing cream so I thought this was going to be a win win but I really don't like it.  It goes on very white and very dry.  I would never call this a combined moisturizer/spf.  To me it does not moisturize at all.  I wore it last weekend and I did burn but to be honest I was out watching a softball game for about five hours so I expect it was just too long under my makeup to perform.  Overall, I will not buy this product again and I am back to purchase something different.",3
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,1/12/2023,"2.0 out of 5 stars
Causes breakouts",2,I want to like this product because I’m happy with other Cerave products but this moisturizer makes my face break out. I think it’s the SPF 30 sunscreen that’s causing the issue. This is why I gave it only 1 star.,0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,27/2/2022,"2.0 out of 5 stars
Not for Sensitive Skin",2,"Have sensitive skin?If you've experienced general sensitivity (or more) to skincare products in the past, please pay attention to the warnings from other reviewers. I overlooked them initially because my skin is normally only sensitive to more abrasive products. Plus, I'd had luck with other CeraVe products and thought this would be no different—I was very wrong.  Within 1 hour of applying this lotion, my whole face turned red and started to break out. I washed it off immediately, but my skin discomfort continued well until the next morning.Have no skin sensitivities?Ignoring my own skin issues, I also wanted to provide some details on the product itself:1. Even though this is advertised primarily a daily moisturizer, it is still a sunscreen at its core. This means it still has the distinct smell you'd expect from a standard sunscreen (and has a similar weight too).2. With its thick consistency, this likely wouldn't be the best option for someone who plans on wearing foundation over it everyday. Or, if you do, you may want to apply it sparingly knowing that your sun coverage may be lighter.Keeping all of this in mind, if you are not sensitive to the smell of sunscreen and do not regularly use makeup, then this product may be a great fit for you. I just recommend thinking through what you're looking for in daily moisturizer like this first before deciding if it's the right chioce.",3
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,23/9/2021,"2.0 out of 5 stars
Sensitive and acne prone skin people beware",2,"Prior to purchasing the CeraVe Am facial moisturizer with SPF30, I was using a Cetaphil Moisturizer with SPF 50. However, as I was nearing the end of my Cetaphil moisturizer, I began to get more oily and figured I try a different moisturizer.  I have also been dealing with Maskne as I’m not allowed to wear a clothe mask at the hospital I’m currently working at, even more reason why I wanted something with acne ridding ingredients.  Because of that I figured I’d give the CeraVe AM moisturizer a try especially because of the active ingredients it has (I.e. niacinamide  & hyaluronic acid ) as well as the positive reviews it has received on TikTok and here on Amazon. Unfortunately, within the first day my face began to feel itchy, scabby, tingly and I developed a rash all over my face. Prior to this I had been using the Paula’s Choice liquid exfoliate and my skin was smooth except for the areas with maskne. While I understand that everyone’s skin will respond differently, I’m still left with a rash and uncomfortable feeling all over my face. Also, I decided to give a 2 start rating as it began to peel when I tried to massage the moisturizer into my skin. Some positives are that this is more of a sunscreen than a moisturizer, which was what  I was looking for. Also, it has no scent which is typically preferred by people with sensitive skin. I will end with the cautionary note to make sure you patch test first!! It’s been 3 days and the rash hasn’t resided.",9
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,21/11/2023,"2.0 out of 5 stars
Clogs my pores and gives me zits",2,"Unfortunately this isn't for sensitive skin. I tried it several times and each time it gave me at least one painful zit the next day. I really wanted a good ""sensitive skin"" moisturizer but this is not it.",0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,17/1/2024,"2.0 out of 5 stars
Too Greasy",2,There are better spy daytime moisturizers out there. This one leaves a greasy feel.,0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,4/12/2023,"2.0 out of 5 stars
Sticky and hard to spread",2,This has a really weird consistency - it's hard to spread and leaves my face feeling sticky and stiff. I have very dry skin so it could just not jive with my skin type.,0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,23/4/2020,"2.0 out of 5 stars
Leaves a white cast",2,"Pros– Moisturizes really well.– Protects from UVB radiation.– Doesn't smell.– Comes with a pump.Cons– Leaves a white cast.– Pills.– Makes my face look sweaty when I'm hot.ReviewI'm finishing my second bottle of this moisturizer, and I really wanted to like it. I like the price and the fact that it's supposed to hydrate and protect your skin from sun damage all in one product, no separate sunscreen needed. And sure, it does hydrate really well: my skin felt silky smooth, and I even got complimented on how supple it was. The moisturizer also doesn't smell – all the more reasons to like it.But, unfortunately, I couldn't. First of all, it leaves a white cast that is noticeable even on my very pale skin. I also noticed that it tends to pill. The moisturizer absorbs quickly after I apply it, but if I rub it a touch too much to spread more evenly, the sunscreen would ball up and leave patches of white residue on my face. Before applying this moisturizer, I just wash my face with the CeraVe Hydrating Cleanser, yet it still manages to pill. I haven't tried, but I also can't imagine what would happen if I used more products before it.It also tends to make my face look excessively sweaty when I'm hot. It feels like sweat forms on my face and doesn't go away. It just stays in place, unless I wipe it. This doesn't happen if I don't wear this moisturizer and if I'm not really hot. To illustrate how bad it is, I ran to a friend's place in the winter and got a bit hot. When I came back from washing my hands, my friend asked me if I'd washed my face too. I didn't.I am also concerned about how well it protects from UVA spectrum radiation. It is supposed to offer broad-spectrum protection, yet the manufacturer doesn't specify the UVA-related ratings, such as PA or PPD, which is expected in the US, but doesn't inform me.",8
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,30/6/2023,"2.0 out of 5 stars
Not for men- highly visible flecks in a little bit of stubble",2,"I really don't like this product. It leaves a white cast, always bleeds into my eyes, and won't rub in if it touches my facial hair. It also has both chemical and physical sunblock- so you get the downsides of both. White cast from the physical, and strong sunscreen scent from the chemical. It also is not very moisturizing.I would recommend either using something higher end, or using a separate moisturizer and sunblock.On the plus side, it does block the sun very well and has never caused my acne-prone skin to break out.Difficult to capture in a photo, but I did my best.",5
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,30/12/2023,"2.0 out of 5 stars
You get what you pay for",2,Turns into a paste like substance as you rub on your face!,0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,27/11/2023,"2.0 out of 5 stars
Break out",2,I love all Cerave lotions but this one causes my face to break out. I think it’s the sun screen. Regular moisturize lotion didn’t break out my face.,0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,17/8/2023,"2.0 out of 5 stars
Blegh. Another greasy, impossible to rub in sunscreen",2,"I love CeraVe so I was blown away with how poorly this applies and just works in general. It will basically harden and crust onto your face if you either rub it in not enough, or too much, or just for no reason. I get lucky sometimes and it actually applies cleanly and I don’t have to pick a weird white residue off my face :/That, and holy cow do I look oily when I use this. Like really bad, like I haven’t washed my face in a month. It’s embarrassing…",2
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,2/12/2023,"2.0 out of 5 stars
Contains Parabens! PROPYLPARABEN",2,Thought I had found a better product. The main competitor of this brand had PEG in theirs. This contains PROPYLPARABEN. Just Google it. It's not good. :(,0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,28/8/2023,"2.0 out of 5 stars
Not Good!",2,"So I read that getting a moisturizer with a spf in it can benefit from a step in your routine and it’ll save money on buying one product instead of one. But when I put this on, my skin looks so oily and greasy! It made me breakout! My other products didn’t look bad on my skin and this is the last thing I do in my skincare AM routine. Plus, the white cast never really goes away. 2/5",0
