product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,12/8/2020,"5.0 out of 5 stars
This is unparalleled perfection",5,"**************************PRO TIP****************************I took the advice of another reviewer and cut off the bottom of the tube to see if I could get any more out, and sure enough, there was a treasure trove of extra moisturizer at the top near the opening that will last you another week at the minimum. When you reach the end of your bottle, definitely cut it open, because this stuff is expensive. I was able to carefully wrap the tube up and store it in a plastic baggie with all the air squeezed out. In total, this tiny bottle lasted from the beginning of August until mid-October for me.********************************************************Review:Previously, I've never in my 23 years of life ever been able to have clear skin (other than before puberty). I've always had acne. I always took great care of my face (washed twice a day, avoided touching it), but nothing ever worked. All of the other things on the market (even the supposed #1 dermatologist recommended) never did anything for me; none of the dermatological-prescribed creams, pills, or face washes could ever touch me. I have combination skin: oily/greasy city in some places, and dry as the Sahara in others. If you have it too, you have my sincere condolences, because I think that up to this point in my review, we have had the same experience.Until this brand. Unlike other moisturizers, it's not heavy. It doesn't feel like it's cake. It's light and my skin breathes. It moisturizes the dry spots and doesn't irritate or inflame the acne-prone oily spots. I live in Texas - AKA sweaty city - and I swear, this stuff still doesn't feel like it's heavy on my face, even when it's 105 out. I've never moisturized before because of my acne and my stupid combination skin, but after buying this, I can see that it's possible. You get what you pay for with this stuff.Now, price-wise, it is a little much. And the bottle is laughably small. But like other reviewers mentioned, a little bit really goes a long way. I do a tiny pea-sized dab for each cheek (which you can push to cover your nose and chin/upper lip) and another for my forehead and that's worked well for me. It spreads very, very easily. The smell doesn't bother me; other reviews mentioned a chemical smell, but I wouldn't really put it like that. It just smells like cream.I wish I'd had this stuff at 14. Maybe my life would've been different. Do yourself a favor and buy this. You will not be sorry.**edit**I wanted to come and edit this review to specifically mention the importance of using this moisturizer in combination with the face wash. The face wash I bought along with this is La Rochay Effaclar Purifying Gel. I am always so instinctively skeptical and wary about using anything that claims to ""moisturize"" my face, so after about 2 months I stopped applying this moisturizer after every wash and started only doing it a few times a week - bad, bad, BAD idea. My face in turn began producing oils to compensate for the drying effects of my face wash. After all, the face wash is more on the acidic side. After trial and error, I'm here to tell you that yes, you need to use this stuff every time you wash your face. It doesn't make me break out whatsoever unless I skip one of these two products. Do not skip this important step! Face wash alone is not enough to keep your face clear (if you have combo skin like me).",140
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,3/2/2024,"5.0 out of 5 stars
Non fragrant it’s a great product wish the content was more!",5,I like this hydrating cream it appears to be minimizing fine lines on my face especially around my mouth. Use small dots it goes a far way and  my skin is soft!,0
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,28/9/2016,"5.0 out of 5 stars
Fantastic Moisture for Oily Skin.  Controls Oil for Hours.",5,"Even in middle-age, my skin is still as oily as a teenager's.  While that may be great for keeping the wrinkles at bay, no one likes the shiny-faced look and the problems that go with it in putting on makeup.  After using a few other La Roche-Posay facial products, I gave this one a try and it's fabulous!  It looks a little ""frosted"" coming out of the tube...a little matte...not shiny like other moisturizers.  It goes on smoothly, is lightweight, and give a matte finish to your face IMMEDIATELY.  Does a good job of making your skin feel soft and smooth with no shine involved.  If you wanted to go out without makeup, you could very easily, and now I often do.  I simply couldn't do that before.  I always felt that I had to put on some powder to take away the shine from a moisturizer...but now there IS no shine to have to cover up.  Amazing.When I do apply makeup, there's no residue or oil that gets added to the mix.  Foundations go on beautifully without reacting with greasy moisturizer.  And like the other products in this line, it has been wonderful on my very sensitive and allergic skin...no breakouts and overall redness seems to be reduced.  I just love this stuff.One day, my teen daughter asked to use some.  She loves it and is now lobbying for her own supply.  I wish this had been around when I was a teen!  Highly recommend.  Pricey, but a little goes a long way, and you may save on all the makeup.  :)",18
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,14/12/2023,"5.0 out of 5 stars
Good for greasy face",5,Very good product Im usually have a greasy face so I didnt like to use moustirizer but with this everthing change my face looks mat finish,2
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,25/5/2021,"5.0 out of 5 stars
The BEST!",5,"I LOVE this moisturizer! I'm surprised I haven't reviewed it before! I've been using this product for years now and I'll never stop as long as they make it! This moisturizer is great for combination or oily skin. I use it every day after showering and washing my face. I have bad combination skin. My skin is extremely irritable. I break out and get rashes from almost everything, but not this! I have persistent adult acne and rashes. My skin also gets very dry and cracked, especially in the winter. Before using this product I'd get painful and embarrassing cracking and redness around my nose and mouth every winter and I haven't had it since! My skin can get painfully dry on top of having acne.If you frequently have to wash your face, or any skin, because of acne or irritation that can dry out your skin and your body can try to overcompensate for that dryness and produce more oil than needed, microscopic cracks can form in the skin and get irritated by this oil or dirt and clog pores and guess what? You're back where you started. This ends the cycle of combination skin!My face looks and feels smoother after every use! It visibly reduces pores and redness without making skin only. It's soothing and very effective. I'd recommend this product for everyone, not just those with sensitive or problem skin.It feels light on the skin and leaves you feeling fresh and perfectly moisturized all day. The matte finish won't over dry skin but also prevents break outs, and feels like you have nothing on, not oily at all!Its so unnoticeable I honestly don't realize how effective it is until I run out again and my skin starts feeling dry and breaking out.",6
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,30/11/2023,"5.0 out of 5 stars
I love this stuff!",5,This product keeps my face moisturized and oil free! This product is worth the $.  I apply to my nose first  then work my way out. I use this moisturizer twice a day. This moisturizer doesn’t smell.,5
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,14/2/2024,"5.0 out of 5 stars
My holy grail!!",5,"Best matte moisturizer ever!  I have super oily skin which throughout the day I would need to blot several times a day. I start my morning face routine at  6:30am, and usually have to start blotting at 10 am. Horrible I know!!  Since using this product I only had to blot once at around 2-3pm. This is my holy grail. I’ve tried other brands like este lauder day wear matte, Clinique, origins, caudalie, embrolysee, lerosset.. you named them, I’ve tried them.",0
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,10/1/2024,"5.0 out of 5 stars
Mi favorita",5,"Hasta ahora no he presentado alergias en mi rostro, es mi tercer compra y aun no me decepciona, espero seguir adquiriéndola. La primera vez senti que era muy elevado el precio pero valio la pena.",0
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,31/12/2023,"5.0 out of 5 stars
Very good",5,Gonna buy again,0
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,11/12/2023,"5.0 out of 5 stars
Keeps the shine off!",5,Love this product.  I purchased it once before and still works perfectly.  I put it on before work and hold up all day.,2
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,21/12/2023,"5.0 out of 5 stars
Buenísimo",5,No es grasoso,0
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,9/12/2023,"5.0 out of 5 stars
It works",5,"I have several different facial creams, but this one is truly oil controlling and matts well, I’ve noticed less oily build up and less sebum",5
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,9/12/2023,"5.0 out of 5 stars
Норм можно заказывать",5,Все гуд,0
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,30/11/2023,"5.0 out of 5 stars
This product, without a doubt, is the best product I have ever used for my oily skin.",5,"This product is magical, it controls my oily skin all day long.",2
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,23/10/2023,"5.0 out of 5 stars
This stuff is amazing!!",5,It is so hydrating and gentle!! It has a pleasant scent and does not leave your skin looking wet and oily,3
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,7/10/2023,"5.0 out of 5 stars
La mejor crema",5,Primera que la uso y los resultados comenzaron a notarse de inmediato me la apliqué. Excelente,2
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,22/9/2023,"5.0 out of 5 stars
Excellent for oily skin",5,This is an excellent product for oily skin; I use it every day under my foundation and it minimizes the shine tremendously.,6
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,24/10/2023,"5.0 out of 5 stars
😊",5,Excelente me encanta,0
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,29/9/2023,"5.0 out of 5 stars
Muy bueno",5,Compré una y me llegaron 3 no me quejo 🤣,3
