product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",17/02/2024,"2.0 out of 5 stars
Not Doing What It Says",2.0,I have used this product for one month now.  It has not lightened a few spots on my face.  Not even a little.  I expected to see some change due to the natural changing of skin cells but nope.  I'll finish this purchase just as a moisturizer but will not purchase it again.,0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",22/02/2024,"2.0 out of 5 stars
Not good",2.0,All this did was totally dry my skin out took me one week to get my skin back to normal with moisturizer do not waste your money on this product does absolutely nothing bottle is very tiny too so it's not worth anything,0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",11/02/2024,"2.0 out of 5 stars
Not so sure.",2.0,"Been using this product for about a month now, do not see much of a difference. Dark spots are still there, they don't even look lighter.  Will not buy again.",0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",13/01/2024,"2.0 out of 5 stars
Caused severe breakout",2.0,"I tried this for a couple weeks as the only change in my skin regimen, as I'm trying to reduce acne scarring. Unfortunately, it caused me to break out pretty impressively - i'm pretty disappointed. It seems like a nice moisturizing cream otherwise, might work for someone else. But for me, just causes breakouts.",0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",28/11/2023,"2.0 out of 5 stars
Dried my skin",2.0,"I appreciated the size of the container, the brand, and the consistency of the cream itself. It's not too thick or thin, it doesn't smell, and the applicator is easy to use. However, this product did dry out the areas of my face I used this on. I use CeraVe face wash daily and was hopeful this cream would just enhance the product, but unfortunately it did not work for my skin.",0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",25/11/2023,"2.0 out of 5 stars
Doctor told me to stop using it.",2.0,"I bought this product after I had a major breakout as a cheaper alternative to the expensive retinol I usually use on my face and neck. To be honest, I didn't use this product for very long; about a week. My doctor told me to stop using it because it was causing some skin damage and irritation and it was exacerbating a bacterial infection.",0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",21/11/2023,"2.0 out of 5 stars
It burned my face and broke me out",2.0,I used this product after I washed my face and immediately my face was burning real bad! but after applying it to my face I read the bottle and it said to use with sunscreen so after that I put sunscreen on and the next day my face broke out bad..it might work wonders for other but it didn’t really do to good for me,0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",12/02/2024,"2.0 out of 5 stars
There's a white cast",2.0,"This is a high quality moisturizer, but the white cast definitely means it's not invisible as advertised.",0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",15/10/2023,"2.0 out of 5 stars
Beware of allergic reaction",2.0,"I applied it to my face and neck then slept for 7 hrs. When I woke up, my face and neck were burning and started peeling all over … this is my second day with itchy, peeling face and neck 🫣 I used other retinol before and it made wonders to my acne scars, blemish, enlarged pores etc but I had a crazy allergic reaction to cerave retinol… Sooo beware and test your skin before applying it generously to your face like I did",0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",21/02/2024,"2.0 out of 5 stars
Doesn't list percent",2.0,"The media could not be loaded.
                



 It feels more like lotion. I wouldn't think this has enough retinol ( since it doesn't list percentage) to do anything. Don't recommend",0
