product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",20/12/2023,"1.0 out of 5 stars
So this doesn't work.",1.0,Waste of my money! What a bummer because I love their lotion. Did nothing.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",01/11/2023,"1.0 out of 5 stars
Pésimo",1.0,No viene la hoja de precauciones sin empaque de bolsa el gotero caja sucia no lo compren,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",05/02/2023,"1.0 out of 5 stars
Serum is cloudy....yuck!",1.0,"I have purchased this product from other retailers, it's supposed to be clear. I received this product two days ago and opened it and immediately noticed the serum is cloudy. I tried to initiate a refund, citing a defective product, and the seller said it can't be returned. I would not recommend buying this expensive serum from this seller at all as the product is contaminated and they refuse to allow a return two days after I bought it.",3
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",10/09/2023,"1.0 out of 5 stars
Gave me a rash",1.0,"Made my skin itchy and broke out in a rash. It’s non returnable, but I was able to get a refund & threw it away!!",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",19/10/2023,"1.0 out of 5 stars
No results",1.0,Used everyday and saw zero improvement. Waste of money .,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",27/05/2023,"1.0 out of 5 stars
Rash",1.0,I used this product on my back and the next day I woke up with a really bad rash all over my bad. It wasn’t itchy but it was very irritated and red and I had tiny little bumps all over my back. It took three days for them to finally disappear.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",31/01/2021,"1.0 out of 5 stars
it BURNS",1.0,"this stuff made my skin extremely sensitive. I only used it for 3 days and as soon as it makes contact with your skin it starts to burn. the sting doesn't go away either. it lingers all day. I couldn't even touch my face without it hurting. i couldn't rub my eyes because it felt like I was rubbing them after handling jalapenos. my skin started pealing as if i had a sunburn. this stuff was terrible and did nothing but mess up my skin. Also, i didn't apply this liquid on the skin around my eyes yet even my eye lids were pealing. be cautions of this product as they also do not offer returns and it is very expensive.",3
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",15/05/2023,"1.0 out of 5 stars
No funciona",1.0,No sirve para nada lo único que hace es poner roja la cara empeora el acné  en serio no gasten su dinero en esto no funciona el precio es Alto y solo perderán su dinero no lo compren,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",04/02/2023,"1.0 out of 5 stars
Not the same",1.0,"When I purchased this, I thought it was just new packaging, but this serum is very different from the original Effaclar Serum that was giving me such fantastic results.  I can’t find any information to show comparisons and differences.  Im not sure if I should be returning this for a refund and looking for something new or giving it a few weeks.  Im finding mixed reviews.",2
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",12/06/2023,"1.0 out of 5 stars
Falsoooo",1.0,No lo compren es falso de toda falsedad es jabón líquido,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",24/07/2022,"1.0 out of 5 stars
Don’t Buy it!!!",1.0,"I love La Roche Posay, but particularly this product is the worst: too much alcohol, my eyes were crying, caused me a breakout in my face... I tried it per 5 days to gave it an opportunity and was the worst decision. Glycolic B5 serum its by far so much better.",3
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",25/11/2022,"1.0 out of 5 stars
Not the same as prior",1.0,This is a completely different product than what it was before they changed it. It's sticky and does not spread. Also they made the dropper a cheaper thick plastic. Disappointed and would not buy again.,3
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",20/07/2022,"1.0 out of 5 stars
Not transparent",1.0,The product is not transparent. I order this product through here and I was concerned with the cloudy color so I checked double checked with Ulta to see if this was an ok color and they told me no.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",14/04/2023,"1.0 out of 5 stars
Fake",1.0,"No vino sellado, ni con la fecha de expiración",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",23/07/2020,"1.0 out of 5 stars
No me gusto se siente como alcohol",1.0,"A mi en lo personal no me gusto, me arde al aplicarlo y se siente como alcohol, no me había pasado nunca esto con otros productos de la marca pero es la primera vez que compre algo de la marca por aquí solo lo hago en la farmacia, yo personalmente recomiendo que si lo van a comprar lo hagan directamente en una farmacia que distribuya la marca y lo prueben antes que ahí tienen probadores.",2
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",24/09/2013,"1.0 out of 5 stars
My skin did not like this :(",1.0,"I really wanted to like this, after reading all the reviews. But immediately after using it my skin started breaking out. I have not experience breakout with the other La Roche products (effaclar cleanser, moisturizer, sunscreen). So I know this was the culprit. I got pretty bad breakouts from this. My skin is combination, with large pores and a tendency to break out. I have removed this from my routine, and no more breakouts. Also, reading the ingredients I found this has alcohol in it, which I didn't like too much.",7
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",22/10/2020,"1.0 out of 5 stars
Defective product",1.0,I ordered the product but when it came it was broken and there was nothing left in the bottle. Given how expensive it is I was very disappointed and unfortunately as the time lapse for a refund/replacement had past I could not get a new one.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",10/06/2021,"1.0 out of 5 stars
Broke me out",1.0,I broke out only in the places that I applied this stuff to. It's the only thing I've changed in my routine and I am getting white heads left and almost the day after using it.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",08/06/2021,"1.0 out of 5 stars
Irritated skin after use",1.0,I love this brand but This product is irritating  my skin. It’s the first time something like that happens to me with a product. I can not use it at all,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",20/02/2019,"1.0 out of 5 stars
Complications",1.0,"I have a lot of irritation on the face, a lot of itching, redness and peeling, a kind of lump in each area where I applied and deep wrinkles were marked. I am using the kit for 3 days, what do I do? Has something similar happened to someone?",27
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",25/04/2021,"1.0 out of 5 stars
No bueno!",1.0,"Demasiado aroma, contiene alcohol, es irritante, sientes que te quema el rostro, es una sensación de picazón. No apto para piel sensible. Esperará algo mucho mejor!",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",17/04/2017,"1.0 out of 5 stars
Disgruntled User",1.0,"I am really disappointed in this product as a savvy health and beauty care consumer.  The price is expensive, but not if the product performed effectively for pore-refining, anti-aging and clearing of acne.  I personally did not experience any of these with my skin and I was using the whole line of La Roche-Posay products.  Very discourage.",2
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",21/05/2020,"1.0 out of 5 stars
It is a bad product, it clogs pores and causing breakouts",1.0,"This product is horrible, it caused breakouts and my skin turned to very oily. I cannot return this item either, it is not under return policy.",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",25/08/2018,"1.0 out of 5 stars
Not for Sensitive Skin",1.0,I love La Roche Posay products as they are made in a Labarotory with natural products.  I have a very sensitive skin and this Serum I see too strong for my skin.  It burns and created a rash.,29
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",29/06/2016,"1.0 out of 5 stars
I would not recommend this product if you were ever prone to breakouts",1.0,Made my skin break out!  I haven't broken out in years and a week after using this my chin had 5 pimples on it.  It is the only product that I added to my skin care regime.  I would not recommend this product if you were ever prone to breakouts.,2
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",27/08/2020,"1.0 out of 5 stars
Engaño",1.0,"Entregaron un producto que no ordene, totalmente diferente y a un bajo costo en el mercado. Muy molesta por esto.",3
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",07/05/2020,"1.0 out of 5 stars
No ase nada su puesta mente es bueno para las manchas oscuras pero no ase nada",1.0,No sirve pensé que era y gual que otro que compre dela misma marca pero no 👎,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",26/11/2019,"1.0 out of 5 stars
contaminated",1.0,"Not clear as it should be,  milky color.  Does not work properly on face.A lot of Money wasted.",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",19/11/2019,"1.0 out of 5 stars
Caused break outs!",1.0,"Extremely irritating. Caused me to break out!  Will stick to sacylic acid, retinol",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",11/05/2016,"1.0 out of 5 stars
I DO NOT RECOMMEND",1.0,"This stuff stings, burns, and leaves my skin red! They're giving me hell about trying to do a return. I don't normally have sensitive skin. Would not recommend.",2
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",27/04/2020,"1.0 out of 5 stars
does not work :(",1.0,i gave this a shot for a while but i did not see any changes.,0
