product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",02/11/2023,"2.0 out of 5 stars
Good but..",2.0,The face wash itself is great however the bottle came with the pump completely broken off. It wasnt even in the box to try to be able to fix it. Luckily it was still sealed so nothing leaked but we had to remove the pump from an old face wash and put it in this one to be able to use it.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",18/09/2023,"2.0 out of 5 stars
I returned this…",2.0,Lathered well but was way too harsh for my sensitive skin. I broke out in red patches after using this only three times. It also smells like a men’s cologne…which I wasn’t expecting because it says it’s meant for sensitive skin. Maybe it was the fragrance that irritated my face but i wouldn’t recommend for those with reactive skin even tho it says it’s okay for that.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",27/06/2023,"2.0 out of 5 stars
Not a gentle face wash.",2.0,This is not a gentle face wash.While getting one pump wash is on the thicker side consistency. Applying a small amount and massaging lightly onto the skin the wash is very strong. Make sure mouth is closed because breathing in through mouth while cleansing face the wash is terribly strong if inhaled. The smell at first is pleasant but then had a terrible odor once rinsing. I thought odor was coming from my shower drain I even cleaned shower thoroughly but then noticed the terrible odor every time once rinsing off was. I’m so lost with this face wash.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",10/08/2023,"2.0 out of 5 stars
Dries skin",2.0,"The sodium Laureth sulfate ingredient used in here has been super drying to the skin to the point where I’m peeling like a sunburn. This surfactant should not be used in the cleanser. Super drying. Feels like it’s cleaning but leaves skin tight, dry, and flaky",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",18/05/2023,"2.0 out of 5 stars
not the best for acne",2.0,"I use this product every day and it hasn't really done anything at all to help my acne, in fact I think my acne may have gotten worse after switching to this cleanser.I guess this is an OK cleanser if you aren't prone to acne, but I don't recommend it if you do have problems with acne.",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",24/07/2023,"2.0 out of 5 stars
Broken top",2.0,This is my first time ordering this product (La Roche-Posay Effaclar purifying face wash). I'm very disappointed as it arrived with a broken pump and the top piece missing. I have not gotten a chance to try the product.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",09/04/2023,"2.0 out of 5 stars
It’s an average face wash",2.0,"It’s nothing special, not worth the price. Made no difference.no difference than any  no other drug store brand in my opinion",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",08/12/2022,"2.0 out of 5 stars
I gave it one more star because it makes bubbles",2.0,I I’ve so Siri what and dry skin and this is on the list of worse cleansers I I e tried. La Roche Pose is one of the best (lower priced) skincare brands out there and this product is not it. I’m not sure if it’s fragrance free or not but it sure doesn’t smell like it’s fragrance free.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",05/08/2022,"2.0 out of 5 stars
Extremely Scented",2.0,"Having used laroche before for facial cleansing, I was excited to buy this at an Amazon price. Unfortunately I’ve used it once and while washing my face, smelled what can only be described as an entire perfume bottle being sprayed into my nasal cavities. Literally this is so so so heavily scented, so if you’re used to a lighter or unscented cleanser…beware. I’ve returned the item because of the scent amount.",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",02/02/2023,"2.0 out of 5 stars
Not for sensitive skin",2.0,I have really sensitive and acne-prone skin and this made my skin burn. The scent is also kind of perfume like which was a little off-putting. Will stick with the original,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",28/05/2023,"2.0 out of 5 stars
Malo",2.0,Me vino asi,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",06/04/2021,"2.0 out of 5 stars
Irritation on sensitive skin",2.0,"I have acne prone sensitive skin and tried this gel wash which foams so well and has a light scent to it which I did't mind. However after using it twice or so, I broke out in a rash that was also kind of itchy all over my face almost looks like a heat rash...tried giving it about six days of use both morn and night but it got worse so I've ceased using it. I would not recommend it if you have the same skin type as mine however it may work for others just not for me.Waste of a purchase for me.",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",17/10/2022,"2.0 out of 5 stars
Intense, Not for Sensitive Skin",2.0,"My initial thought on this face wash was that it was doing a great job improving the texture of my skin. On inspection though, my skin was very red and irritated (feels and looks burnt). Disappointed. Need to go back to a more gentle cleanser.",2
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",12/10/2017,"2.0 out of 5 stars
I want to like it so much...",2.0,"I am very acne prone with oily skin, and I was hoping this would help without harsh acids or peroxides that are in acne-specific treatments.  I have been using this wash for about a month, and while it does have its benefits, I have only broken out in more acne than ever.  I will continue to use in hopes that my skin is simply adjusting. I will update my review to five stars if my skin clears up.Pros: good value. Very little is needed to wash face, and a lot is included in bottle. This will last a long time.I use it in conjunction with the effaclar mat lotion, and both together have really helped the oil build up on my skin. My skin feels fresh and clean after using this.Cons: my skin literally seems to hate this, even though I myself want to like it so much. More acne than ever. Ow. :(",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",21/03/2022,"2.0 out of 5 stars
Doesn't control only skin 😞",2.0,"I really had high hope's for this product,  but was disappointed once again. I have extremely oily skin and it did nothing to help reduce the oil on my skin. Maybe others will fare better, but I will not be purchasing it again.",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",01/09/2022,"2.0 out of 5 stars
Pésimo",2.0,No lo recomiendo este producto te provoca un ardor en tu cara y te la deja roja roja y áspera,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",29/10/2021,"2.0 out of 5 stars
No para mí tipo de piel",2.0,"Llevaba varios meses sin tener la cara roja, y apenas usé este producto, empecé a notar que me salían más granitos, tenía la cara roja y me la dejaba como muy tiesa y opaca. Definitivamente no me gustó para nada. Volveré a usar mi limpiador anterior",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily Skin, pH Balancing Daily Face Wash, Oil Free and Soap Free, 13.52 Fl Oz (Pack of 1)",21/08/2020,"2.0 out of 5 stars
So so product.",2.0,Have been using this for a few days and it's making my dry skin areas even dryer and also breaking me out.  Will try for another few days and then scrap it if it doesn't get better.  It leaves my oily areas less oily so that's a plus.  Was hoping for a miracle based on the comments but other than less oily skin..🤷 Will try with a moisturizer and see if that helps.,0
