product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,17/12/2023,"3.0 out of 5 stars
Damaged",3.0,product came damaged but love contents 👍🏾,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,29/09/2023,"3.0 out of 5 stars
No",3.0,Pensé que sería más eficaz,2
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,20/09/2022,"3.0 out of 5 stars
doesn't do much for those with oily skin",3.0,"a lot of skincare products are marketed towards those with dry skin. however, i have super oily skin and sebaceous filaments on my nose and bought this with the assumption that it would help subside those issues. upon putting the product on, it's thick and kind of tacky and it DOES have a scent and it smells really strong and bad. using some kind of fan to dry your face helps and once it dries it doesn't smell anymore. i've been using this product for about a month now. sometimes i'd use it up to three times a day, sometimes i'd use it every other day. i would always use it after washing my face with cerave face wash. however, it didn't do anything at all to help my oily skin. it didn't make it better nor did it make it worse. i'm neutral towards this product since i already bought it to try it out and will continue using it until it runs out (probably as a plaecbo effect) but i won't be rebuying. for those seeking to use this to control oily skin, i wouldn't recommend this product.",4
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,09/05/2023,"3.0 out of 5 stars
Not the Best",3.0,I’ve tried all the acne products on the market with little to no luck. As this brand his highly recommended by dermatologists I decided to give it a try. I used it in combination with the acne control face wash. After two months I noticed no change and moved to differin. I found that product more helpful.,2
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,20/02/2023,"3.0 out of 5 stars
Didn’t really help",3.0,I have bad pregnancy acne right now and it did not really help. I applied it all over and I wouldStill get new breakouts. It worked for the first few days but then stopped. It is gentle on my skin though and not over drying so I still try to mix it in with my face routine . Wouldn’t buy it again though .,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,24/03/2023,"3.0 out of 5 stars
Its okay",3.0,The product is okay. I haven't used it long enough to see if it works and its not very moisturizing,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,03/10/2022,"3.0 out of 5 stars
Very bad with my skin",3.0,"After reading everything about it, I thought it sounded great and would be perfect for my skin. I haven’t had problems with my face because I take really good care of it. However, maybe I am to blame because I was trying to save money. I’m guessing it was possibly an allergic reaction to it. I’ve never had this happen before. I hope it works for you if you choose to try it.",0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,31/05/2022,"3.0 out of 5 stars
Not sure",3.0,"Maybe, I didn’t use the product long enough to get results. I bought this on the name, and reviews. It’s clear, no smell, works for sensitive skin, it does not cause purging, it does not cause more acne bumps to form. I can’t say anything negative.  As this product appeared to work for many. I do not think it worked for me, and this review is based on using the product for one month.",2
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,27/08/2021,"3.0 out of 5 stars
Its ok",3.0,"I haven't used this long enough to see how well it works....but I will say this product will cause MAJOR skin purging. The ingredients in this (aha and bha) are skin resurfacing ingredients. So all the gunk in your skin will surface at once and will cause your acne to be WORSE. With that said, it takes about 2 weeks to 2 months for skin purging to end so try and stick it out to reap the benefits. I'm only 2 weeks in but hoping it gets better soon",105
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,30/10/2022,"3.0 out of 5 stars
Smells like brown sugar 🤔🤷😋",3.0,Seems to work? Doesn't burn or itch. Smells like brown sugar. I like that it's fragrance free. I don't like that it's not cruelty free. That's the whole reason for the 2 less stars.,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,23/10/2022,"3.0 out of 5 stars
It’s ok.",3.0,If you have cystic acne and your pimples bleed a lot this burns so bad didn’t really use it bc of that .,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,30/07/2022,"3.0 out of 5 stars
Think before buying",3.0,The product smell a bit weird and it dryer my oil skin. You will need you apply lotion before using it. I try to return it and on the website it say free return and when I click to return it require 4 dollar to return it.,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,17/03/2022,"3.0 out of 5 stars
Works well, but…",3.0,"This product works very well for my acne. I have sensitive skin and it does not bother my skin at all. The one thing that is a negative but also a positive is, it will pull ALL blackheads to the surface of your skin. It will look like you have dirt all over your skin. Just make sure you remove all the blackheads before going out in public!",3
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,14/07/2022,"3.0 out of 5 stars
Small bottle- slow to act",3.0,Really small bottle for the price. It does not really have a smell so I like that. It doesn’t hurt my skin but it will burn in open Acne.I just feel like it’s really slow to do anything and I’m developing  more before it fixed what I was putting it on!,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,13/08/2022,"3.0 out of 5 stars
Good for all skin types",3.0,I did not see a difference while using this product. I do have sensitive skin and it did not irritate my skin at all. It is worth a try but did not work for me.,3
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,27/07/2022,"3.0 out of 5 stars
Smell",3.0,I usually buy this from Walmart but was having a hard time finding it. I have never noticed a smell before but this tube smells like straight maple syrup. Works just the same but the smell throws me off.,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,08/03/2022,"3.0 out of 5 stars
Takes a long time work and dries face.",3.0,I was really excited for this product and happened to have a nasty pimple when it arrived. It took about a week for my pimple to go away even with using the spot treatment every single day. It did leave the skin around my pimple very dry and flaky.  I have used products that get rid of zits overnight. Very disappointed.,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,12/03/2022,"3.0 out of 5 stars
Didn’t work for my difficult skin",3.0,The product got three stars because it did seem to help prevent new acne. It did not even phase the acne I do have. It dies quick without noticeable residue. Differin gel treats my acne. I was just looking for a cheaper treatment. Good luck.,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,24/10/2021,"3.0 out of 5 stars
Not my favorite",3.0,"Product doesn't seem to be helping with my skin. I've been using it for about a month, and if anything, I see MORE pimples and breakouts than before using this product. I had such high hopes for this acne medication, especially when considering the price for this stuff.",2
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,02/09/2021,"3.0 out of 5 stars
Okay...But Not For Sensitive People However",3.0,Umm...the product was fine and all.But however it kinda took a long time tocure my acne.(it took up about 1-2 weeks)and also not for sensitive skinso don't buy this if you havesensitive skin,11
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,16/10/2021,"3.0 out of 5 stars
Helps sometimes.",3.0,My friend said this was amazing so i tried it. Sometimes it can help overnight but not always. Honestly the Walmart acne medicine is just as good.,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,13/01/2022,"3.0 out of 5 stars
It smells like musky maple syrup.... bleh",3.0,I really wanted to use and like this product but the smell is quite awful.,0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,18/12/2021,"3.0 out of 5 stars
Works",3.0,"Product works, however after about 3 weeks product wouldn’t dispense from tube even with shaking vigorously",0
Amazon.com: Customer reviews: CeraVe Salicylic Acid Acne Treatment with Glycolic Acid and Lactic Acid | AHA/BHA Acne Gel for Face to Control and Clear Breakouts |1.35 Ounce,21/12/2021,"3.0 out of 5 stars
Good but not instant results",3.0,"Good and works well for sensitive skin but, not instant results.",4
