product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Duo Dual Action Acne Spot Treatment Cream with Benzoyl Peroxide Acne Treatment for Acne and Blackheads, Lightweight Sheerness, Safe For Sensitive Skin ,0.7 Fl Oz",05/11/2023,"1.0 out of 5 stars
extremely irritating for those with sensitive skin.",1.0,"currently writing this with red, swollen cheeks thanks to this product, which is a SHOCKER because neither the toner nor the sunscreen moisturizer i’ve purchased from this company have irritated my skin so horribly before. unfortunately, this acne cream just isn’t it if you have sensitive skin like me. i have used it as both a spot corrector and on my cheek area, both to the same outcome of burning itchy discomfort. expect itching, drying, and red puffy skin. no idea how i’m going to fix this and i’m furious my cheeks are this way now after how beautiful my skin had gotten but suffice it to say i’m extremely disappointed.",2
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Duo Dual Action Acne Spot Treatment Cream with Benzoyl Peroxide Acne Treatment for Acne and Blackheads, Lightweight Sheerness, Safe For Sensitive Skin ,0.7 Fl Oz",15/10/2023,"1.0 out of 5 stars
DO NOT BUY",1.0,"I never write reviews but im not even kidding you please do not buy this product. I got super excited after buying this  and decided to try it and it went pretty well after the first few times. Then after a bit  MY FACE STARTED BURNING I DIDNT KNOW WHAT TO DO OMGG I HATE THIS PRODUCT. My face was burning and I tried putting on cream and ice which just aggravated it. My face was burned and left with a ton of pimples that hurt and ruined my sking. My skin has never been the same i was left with a bunch of pimpples, acne scarring and not just that but also indented scarring as well. If you do end up buying this product just be careful and do not do not use it more then they tell you.",4
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Duo Dual Action Acne Spot Treatment Cream with Benzoyl Peroxide Acne Treatment for Acne and Blackheads, Lightweight Sheerness, Safe For Sensitive Skin ,0.7 Fl Oz",04/07/2023,"1.0 out of 5 stars
DONT USE UNLESS UR GETTING HIGHER DOSE OF BENZOYL PEROXIDE",1.0,"if you got burned or got blisters or somthing happed to ur face read this and me too!! do not use this product unless u are used to it and need to get a lever higher but you aren’t really supposed to be using 5% more like 1-2.5% and this one is 5% but iv seen it work on people maybe you just need to work your way up and start with low dose. since i ddint do my research my face was completely fine once i put it on but i woke up next morning my face was swollen,itchy and red and felt like i burned i wasint having so much on an allergic reaction more like a irritation and i finnaly did my research and turns out u have to wait 1-3 days for it to calm down and make sure ur face if moisturized im bearly starting to heal i iced my face after location and stay out of the sun for a long period of time",2
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Duo Dual Action Acne Spot Treatment Cream with Benzoyl Peroxide Acne Treatment for Acne and Blackheads, Lightweight Sheerness, Safe For Sensitive Skin ,0.7 Fl Oz",14/12/2023,"1.0 out of 5 stars
Terrible! Rash! Burnt my skin!",1.0,This product is horrible. I’ve used other products from the skin line so I thought I would give this a try. I have red patches that itch and burn all over… literally anywhere that I put a dab at had a huge reaction that I’m still dealing with.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Duo Dual Action Acne Spot Treatment Cream with Benzoyl Peroxide Acne Treatment for Acne and Blackheads, Lightweight Sheerness, Safe For Sensitive Skin ,0.7 Fl Oz",05/03/2023,"1.0 out of 5 stars
Allergic reaction after two days of using.",1.0,"My skin is not sensitive and I’ve never had a reaction like this ever in my life. I started to get a rash on my chin and I used one of my makeup remover wipes then it got worse. The makeup remover wipe spread the product all over my face and now my whole face is swollen and itchy. Again, my face is not sensitive. I’ve used many products in my life. This product did some damage in two days and I’ve been treating for over a week now. My chin feels dry and hard. The rest of my face feels irritated and I have a rash all over. The heat and cold easily irritates my skin. Benadryl barely helps with the swelling and I feel like it’s healing slowly. I do not recommend. I have uploaded my face after using the product, before using the product and what it did to my towel after rubbing the product off my face. This cream is bleaching the pores and not actually minimizing them. Waste of money and not worth it. Do your skin a favor and purchase a different product that is safe.",9
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Duo Dual Action Acne Spot Treatment Cream with Benzoyl Peroxide Acne Treatment for Acne and Blackheads, Lightweight Sheerness, Safe For Sensitive Skin ,0.7 Fl Oz",15/12/2023,"1.0 out of 5 stars
Burns",1.0,This burned my face even after 3 days.Not for sensitive skin.It made it worse.I was in pain trying cool my face down with ice.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Duo Dual Action Acne Spot Treatment Cream with Benzoyl Peroxide Acne Treatment for Acne and Blackheads, Lightweight Sheerness, Safe For Sensitive Skin ,0.7 Fl Oz",26/07/2023,"1.0 out of 5 stars
My face is burned",1.0,"Please listen to the other 1 star reviews. I’ve be using it for 3 days and the other reviews said that it would burn at first. I didn’t see any irritation at first, only the burning. Day 3 I used it lightly like always. My face is BURNED and BRIGHT RED. I will never use it again and will be throwing it out. I’ve never in my life had something do this to my face. The places were I applied are painful, irritated, and feel like snake skin. I’m horrifed. Please pay attention to the other reviews, I saw them and didn’t listen. My face is ruined.",9
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Duo Dual Action Acne Spot Treatment Cream with Benzoyl Peroxide Acne Treatment for Acne and Blackheads, Lightweight Sheerness, Safe For Sensitive Skin ,0.7 Fl Oz",07/12/2023,"1.0 out of 5 stars
Chemical burns",1.0,This chemically burned both my sister and my skin. Small dabs on blemishes led to huge red patches in the morning.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Duo Dual Action Acne Spot Treatment Cream with Benzoyl Peroxide Acne Treatment for Acne and Blackheads, Lightweight Sheerness, Safe For Sensitive Skin ,0.7 Fl Oz",15/10/2023,"1.0 out of 5 stars
Waste of money",1.0,"I have very sensitive skin and I was hoping this product would help since I heard soo many good reviews about it but it did not work for me. It only made my acne worst, everyone has different skin types and how their skin reacts to things.",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Duo Dual Action Acne Spot Treatment Cream with Benzoyl Peroxide Acne Treatment for Acne and Blackheads, Lightweight Sheerness, Safe For Sensitive Skin ,0.7 Fl Oz",02/05/2023,"1.0 out of 5 stars
Did not meet my expectations and had to stop using this product",1.0,"I had a severe acne breakout recently and after researching many products, I decided to get this product based on the many positive reviews I read online.However, after trying the products for a few weeks, I had to stop using it completely as it almost left my face in a worse condition. To begin with, it caused severe dryness on my face even when I applied moisturizer. It always left my face burning severely as well and this made me so uncomfortable every time I used the product. In the process of treating the acne, this product also left big burnt scars on my face which would often not clear off until many days later.Therefore, I had to discontinue using the product.",0
