product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,29/10/2023,"2.0 out of 5 stars
Read The Ingredients! Make Sure You’re Not Allergic!",2.0,"I bought this because I was looking for a proper facial moisturizer, CeraVe is of course well known and this one specifically has spf30 so it seemed like a good option. Seemed okay at first but while i rubbed it in my skin it was.. clumping up? which i could tolerate as long as it did its job. later in the day after getting home I noticed my face was red which was strange but i ignored it. I put it on the next day and my face not only turned red but my face also burned, as well as a rash on my neck. Last time I checked I’m not allergic to anything, I’ve never had issues with trying new products before.",0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,01/12/2023,"2.0 out of 5 stars
Causes breakouts",2.0,I want to like this product because I’m happy with other Cerave products but this moisturizer makes my face break out. I think it’s the SPF 30 sunscreen that’s causing the issue. This is why I gave it only 1 star.,0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,13/11/2023,"2.0 out of 5 stars
Greasy and Doesn't Absorb well",2.0,"I was ""influenced"" to buy this. I switched from IT Cosmetics Day cream. Not even in the same ballpark of effective. It goes on greasy and doesn't absorb very well leaving me with a white film virtually making it impossible to put on under make up without wiping off my face with a dry cloth. Don't like it at all.",0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,04/12/2023,"2.0 out of 5 stars
Sticky and hard to spread",2.0,This has a really weird consistency - it's hard to spread and leaves my face feeling sticky and stiff. I have very dry skin so it could just not jive with my skin type.,0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,19/10/2023,"2.0 out of 5 stars
Just not good",2.0,"I really wanted to like this product. I stuck to it and gave it a chance but unfortunately it's just not good. It leaves a horrible white cast, and if it gets around your eyebrows they will stay white. It is difficult to spread around your face, and gets flaky. Feels like it just stays on your face, and for those with oily skin will just make you look oily with a horrible white cast. Avoid if possible.",0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,02/12/2023,"2.0 out of 5 stars
Contains Parabens! PROPYLPARABEN",2.0,Thought I had found a better product. The main competitor of this brand had PEG in theirs. This contains PROPYLPARABEN. Just Google it. It's not good. :(,0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,16/11/2023,"2.0 out of 5 stars
Disappointed",2.0,for some reason this moisturizer always peels. I’ve done about everything right to prevent it from peeling but it still does it. ( and no it’s not dry skin). Don’t buy unless you want white poop all over your face and then have people pointing it out 😀.,0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,12/05/2023,"2.0 out of 5 stars
Goes on super dry and white....",2.0,"UPDATE:  another star removed. I find that it leaves a peeling of white “stuff” on my face. Throwing it away.I had been using an Aveeno brand for years and they recently stopped making it...their new product has soy which I prefer not to use ever in or on my body.  I love the cerave night moisturizing cream so I thought this was going to be a win win but I really don't like it.  It goes on very white and very dry.  I would never call this a combined moisturizer/spf.  To me it does not moisturize at all.  I wore it last weekend and I did burn but to be honest I was out watching a softball game for about five hours so I expect it was just too long under my makeup to perform.  Overall, I will not buy this product again and I am back to purchase something different.",3
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,21/11/2023,"2.0 out of 5 stars
Clogs my pores and gives me zits",2.0,"Unfortunately this isn't for sensitive skin. I tried it several times and each time it gave me at least one painful zit the next day. I really wanted a good ""sensitive skin"" moisturizer but this is not it.",0
Amazon.com: Customer reviews: CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,30/06/2023,"2.0 out of 5 stars
Not for men- highly visible flecks in a little bit of stubble",2.0,"I really don't like this product. It leaves a white cast, always bleeds into my eyes, and won't rub in if it touches my facial hair. It also has both chemical and physical sunblock- so you get the downsides of both. White cast from the physical, and strong sunscreen scent from the chemical. It also is not very moisturizing.I would recommend either using something higher end, or using a separate moisturizer and sunblock.On the plus side, it does block the sun very well and has never caused my acne-prone skin to break out.Difficult to capture in a photo, but I did my best.",4
