product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,12/10/2023,"2.0 out of 5 stars
Still shiny, no matte",2.0,"I feel like a loner amid all of these raving reviews -- how did this work so well for everyone else?! I have combination oily/dry/sensitive skin + a lil' eczema for some razzle-dazzle. Though the moisturizer itself didn't irritate my eczema toooo much (just a tad) and felt nice to apply...it also didn't mattify my T-zone + chin shine. Within a couple of hours of applying, those spots were back to full-on shiny! Bummer -- especially given the cost.",0
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,19/03/2021,"2.0 out of 5 stars
Very interesting",2.0,"I pondered this moisturizer for some time due to the price & the size. I continued to come back to it. I decided to spend the most I ever had on a moisturizer which doesn’t really carry much of the great ingredients other moisturizers do but I have such oily skin & wanted something to control it. My skin is somewhat sensitive. Acne prone but mostly gone just oily with visible pores. Story? I couldn’t believe it honestly. This is so mattifying that it provided no moisture to my skin. Once applied it immediately was absorbed. Oil gone but within 15 minutes dry patches. Flaky. Drying somewhat for someone with oily skin is a wish but not like this. Around the drying I began to have red blotches appear. I was in disbelief. I set myself up for such great things with this experience & highly rated moisturizer & it didn’t turn out well for me. Really no moisture. It really does what it says. For me personally my skin reacted to it differently than others with oily skin. It’s unfortunate because heads up!! you can’t return this product. As with as facial products some things work & some don’t. Some are more costly than others. This was a costly didn’t work product for me. This is my story & I hope it helped in some way. My 3 star reflects the fact that it does do what it says, it is Mattifying.",7
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,13/08/2023,"2.0 out of 5 stars
Not the correct size",2.0,"I love this product. However, I purchased this product and received a small 1 oz package. So I requested a replacement and got the same size. The seller should reflect the correct size for purchase. $35 for 1 ish ounce is misleading.",0
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,04/03/2023,"2.0 out of 5 stars
Disappointed",2.0,"I purchased this after reading a review of the top oil control moisturizers for 2023. This one was rated the #Best, but it didn’t control my T-zone oil at all. I could feel that yucky greasy film on my nose an hour after using. I was prev using ELF matte, was in love with it! but the last cpl times it was hard to find and when I did find it, it didn’t work like it used to?!I use an oil free Clinique cleanser and it works great, just need to find that perfect matte moisturizer to pair it with.Sadly for me, the search goes on….",2
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,25/10/2021,"2.0 out of 5 stars
SMP (scalp micro pigmentation) headshine",2.0,"SMP (scalp micro pigmentation) headshineIf you have had SMP done (scalp micro pigmentation) and looking at this lotion to give you a matte look, my advise is to look elsewhere. This lotion knocks off the shine about 20-30% max. No real world difference. I did a full days test and waiting for 10-15 minutes to dry on my head each time after shower, middle of the day, nighttime etc. Same poor results each time.The best solution for SMP thus far is Peter Thomas Roth Mattifying Gel. It knocks the shine down 95%. Keep a bottle with you as you’ll have to re-apply every 6 hours but it’s the best solution I have found. The stuff just works.Others that did NOT kill the bald head shine- The Body Shop Tree Tea Mattifying Lotion- Headblade Lube Matte (get this for just the moisturizing properties)- Seriously Shine Free (Aloe Very + BambooI burned my cash buying and testing, no need to burn yours.",3
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,04/02/2022,"2.0 out of 5 stars
It might be great for some people but it's not for me.",2.0,"The problem that I have is I do like it, but the problem is after applying this to my face, my skin burns every time. I thought well maybe this will go away over time, so I tried it for 7 nights, and nope every time my face feels like it's burning.  For $34 with tax for tiny tiny tube of cream that makes my face burn, it just isn't worth it for me.",0
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,09/06/2022,"2.0 out of 5 stars
Disappointed",2.0,"It smells nice, however it does not last long and after an hour a white residue starts forming on the face and fall down. There are other and better products in the market. This is second and last chance that La Roche-Posay had to please my demands.",0
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,25/02/2023,"2.0 out of 5 stars
It flakes",2.0,It flakes on my skin. Too expensive for that.,0
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,09/04/2022,"2.0 out of 5 stars
Doesn't control facial oil. 😓",2.0,"I have VERY oily skin, and I was really excited to try this product to control the shine..at least for 1 hour...that's not too much to ask for, right?? Well evidently it is!  So my search will continue.  I did give it 2 stars for moisturizer and clean scent.",0
Amazon.com: Customer reviews: La Roche-Posay Mat Oil-Free Mattifying Moisturizer,14/03/2021,"2.0 out of 5 stars
Skip!",2.0,"This is not on par with high end moisturizers or even other la roche posay lotions. I’ve been using for over a month now. Doesn’t moisturize at all. Skin is still just as dry on my cheeks as if I didn’t put anything on at all. Doesn’t actually mattify. No long term benefit for oil production. A waste of a product really. There are so many better options for oily skin, dry skin, any skin period. Also this brand is not cruelty free.",0
