product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",30/10/2023,"1.0 out of 5 stars
I think it’s doing opposite of what it was supposed to do 🤦‍♀️",1.0,"I started using it to get rid of little closed comedons and red acne marks but now my face has a lot more acne and acne marks and more comedons on my cheeks and forehead then I started out with, I am using gentle skincare ( La roche posay sensitive fluid as moisturizer and the cream cleanser that’s it) I  blot my face completely dry after I wash it with a clean napkin not toilet paper, wait for my face to dry more to reduce irritation and apply Vaseline+cicaplast baumB5 around my nose cuz I get irritated rlly bad there and then apply the retinol to dry skin only a pea sized and use moisturizer after and spf in the morning. I did that 2x a week for the first 2 weeks and then worked my way up and my skin can’t take it anymore. I’m doing everything right so why? You can see the dates on top of my before and after are 3-4 months apart",3
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",07/10/2023,"1.0 out of 5 stars
Expired.",1.0,"I’ve been using this product for months now and I know what the texture is. Cerave does not put expiration dates on their products so I usually check the manufacture date when I’m concerned as they stated that their products have a shelf life of 3 years. The reason I got it from Amazon in the first place is that I got one from my local Walmart and it was expired. Manufactured sometime in 2020. I was upset about that one so I got this one from Amazon. Turns out this one is even worse. Manufactured in February of 2020. That is 3 years and 8 months ago. This is supposed to be a verified seller of Cerave. Customers should not worried about buying expired products from you. I’m going try to find out if it’s safe for use after such a long time. If it’s not then I’ll return it. But if you’re looking at this review wondering about buying expired products, don’t do it. Save yourself the stress. I’m extremely disappointed",7
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",06/12/2023,"1.0 out of 5 stars
‼️BURNED MY SKIN‼️",1.0,"Night 2 of trying this product I but it one and my face burned like crazy I only fanned my face because I struggle with acne and really wanted it to work the next day when it one up my whole face was peeling and i couldn’t even touch it or talk cause moving or anything hurt so bad! It completely dried my face out, never getting this product again!!",0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",20/11/2023,"1.0 out of 5 stars
BROKE ME OUT",1.0,"i had relatively clear skin and bought this retinol because i heard it was good for beginners and helped get rid of little bumps on the skin. after using it for a week i noticed my skin getting worse but choked it up to be hormonal acne. then after a few months it was the worse my skin had ever been. the two pictures only show my two cheeks but my forehead, chin, and jaw were all affected. I highly recommend you stay away from this product.",0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",09/12/2023,"1.0 out of 5 stars
Insanely drying",1.0,"I wish I had never purchased this product. I used it every third day, once a day, applied a good moisturizer after, and yet my skin is so dry it’s cracked, agonizingly painful, and peeling off in giant chunks. I can’t even leave the house. This is so embarrassing.",0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",21/12/2023,"1.0 out of 5 stars
Made oily skin worse!!!",1.0,I have some of the oiliest skin ever & this stuff made it worse as if that was even possible! I’ve had constant outbreaks that just don’t go away now!,0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",18/10/2023,"1.0 out of 5 stars
Poros de la piel cerrados",1.0,"Los poros de mi piel se cerraron por completo, como mi piel es grasa el cebo natural de la piel no tenía por dónde salir, resultó en que la piel se veían como burbujitas pequeñas que terminaron notandose...Luego de varias semanas sin usarlo mi piel volvió a la normalidadNO volvería a comprarlo!",0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",27/11/2023,"1.0 out of 5 stars
Too strong for sensitive skin",1.0,"This was wayyyy too strong for my sensitive skin, it burnt my skin and now my skin is red, dry and irritated. Do not use if you have sensitive skin.",0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",15/11/2023,"1.0 out of 5 stars
Irritating",1.0,I purchased this as well as the cleanser and moisturizers and my skin has been feeling horrible since switching to this product. My skin burns and feels raw.,2
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",28/10/2023,"1.0 out of 5 stars
No es saludable",1.0,"No tiene nada que ver a la version anterior a  esta, esta may Por debajo su calidad y tiene un Olor raro similar al del Petroleo eso no me lo aplicaria nunca",0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",25/10/2023,"1.0 out of 5 stars
No change",1.0,"Been using every day for the last 6 months, unfortunately have not noticed even a slight difference in post acne marks or even skin tone, no change at all",0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",01/12/2023,"1.0 out of 5 stars
Smaller than what I thought it was",1.0,I like the product but I’m not happy with the packaging of how it came.,0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",28/11/2023,"1.0 out of 5 stars
Didn’t help me :/",1.0,I’ve been using this product every day for 2 months now and see no difference.,0
"Amazon.com: Customer reviews: CeraVe Retinol Serum for Post-Acne Marks and Skin Texture | Pore Refining, Resurfacing, Brightening Facial Serum with Retinol and Niacinamide | Fragrance Free, Paraben Free &amp; Non-Comedogenic| 1 Oz",15/11/2023,"1.0 out of 5 stars
Could breakout your skin",1.0,It’s just bad on my skin and I don’t even have any skin issues,0
