product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",11/07/2023,"2.0 out of 5 stars
Sin sello",2.0,"El producto ni traía sello de seguridad, ni en la caja ni en el suero, lo que me hizo dudar mucho si era real o no, no lo volvería a comprar de aquí, prefiero ir a una farmacia",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",05/08/2023,"2.0 out of 5 stars
Item came open and made a mess",2.0,Made a mess as item seal broke open and leaked out. Ended up getting a refund but it’s still pretty annoying nonetheless.,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",02/05/2020,"2.0 out of 5 stars
La Roche-Posay, you can do better",2.0,"I really wanted to love this product, but denatured alcohol is way too high on this ingredient list and I could’ve told you that without looking through it. I can immediately smell it as soon as I open it. Alcohol of this nature is not good at all for your skin! Such a stripping ingredient is NOT helpful to get rid of fine lines and signs of aging. Everyone knows that hydration is key to reduce the look of fine lines. I love other products from this brand. The 3-step effaclar line for acne was my skin savior!...I will finish this out by applying to the oiliest part of my face because I don’t want to waste product and applying moisturizer soon after, but I will not be repurchasing until it is reformulated without Alcohol DN.",7
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",15/10/2021,"2.0 out of 5 stars
Me irrita mucho la piel ! Y tiene un olor muy fuerte",2.0,"Pedi este producto debido a que mi piel es mixta , necesitaba algo que me ayudara con eso pero la verdad esque me lo puse varios dias ya deje de usarlo debido a que me arte la cara y se me pone muy roja , el olor es demasiado fuerte si te acercas a los ojos te va arder! Cuidado con esto! Estoy muy desilusionada de esto ya que uso varios producto de esta marca y jamas había tenido problema!",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",09/05/2022,"2.0 out of 5 stars
Más o menos",2.0,Ok solo a manera de prueba lo use solo en la mitad de la casa para ver la diferencia pero la verdad ya tengo dos meses usándolo solo por la noches soy un hombre de 40 años y la verdad ni hay diferencia,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",02/09/2022,"2.0 out of 5 stars
No venía sellado ni trae fecha de caducidad",2.0,No trai sello ni fecha de caducidad,0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",16/07/2018,"2.0 out of 5 stars
... so much faith in this product after reading the great reviews. I feel like it worked the first ...",2.0,"I had so much faith in this product after reading the great reviews.  I feel like it worked the first 2 days and I was elated.  Now, over 2 weeks later, nothing.  I am more disappointed that I got my hopes up more than the cost of the product.  If anything changes, I will change my review.",10
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",14/08/2018,"2.0 out of 5 stars
Wanted to like it, but it burns...",2.0,"Unfortunately, this product burns when I put it on my face and continues to sting after long after applying. Not very comfortable. There are quite a few La Roche-Posay products I use daily, but this one is not right for me.",2
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",08/01/2020,"2.0 out of 5 stars
🙏🏼",2.0,"A mi, me resecó la piel tremendamente, mucho ardor, por lo tanto me dolía, pero sabiendo que mi piel es, extra sensible, creeré que el producto es bueno.",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",24/03/2023,"2.0 out of 5 stars
No noto mucha diferencia",2.0,"Es un producto considerablemente caro y realmente no funcionó para mi, llevo meses usándolo y la diferencia es muy mínima en mis marcas post-acne.",0
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",19/02/2017,"2.0 out of 5 stars
do a patch test because this stuff can burn real bad.",2.0,"I bought this at CVS. I have combination skin, large pores, and acne. This stuff gave me a chemical burn around my mouth. If you want to try it, do a patch test because this stuff can burn real bad.",5
"Amazon.com: Customer reviews: La Roche-Posay Effaclar Salicylic Acid Acne Treatment to Minimize Pores, Clear Acne Blemishes and Post Acne Marks",12/09/2014,"2.0 out of 5 stars
NOT FOR THOSE WITH OILY SKIN OR CLOGGED PORES",2.0,"I had mild acne before but now that I am beginning to go through menopause, my skin is really breaking out and pores are getting very clogged. This product is a real pore-clogger, so if you have the same tendency to have your pores clog up, beware! I looked at the ingredient panel and this product contains hydrogenated castor oil! Castor oil is very, very oily and in fact, is taken internally to produce bowel movements. Why on earth would anyone put castor oil in a product that is supposed to be used as part of the acne line? I had saved my receipt in case I had problems with this product (I do that with all cosmetic products) and I took it back to CVS and got my money back.  I would never use this again, but am seeking help from a dermatologist.  If you tend to break out and have clogged pores, I do not recommend using this product.",7
