product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",25/1/2024,"3.0 out of 5 stars
Doesn't play nice with other products",3,"I'm not sure how effective this is for sun protection.  I tossed the container after about three uses.  The problem I experienced is that it turns into a bunch of little white blobs when applied over other pre-moisturizing treatments.  I mostly use Dermelect products (I'm old.  Mama needs her anti-wrinkley stuffs), and this face cream just doesn't play nice with them.  The result is a completely unworkable base for makeup.  The first time I used it, I smoothed it over my face.  Big mistake.  Big, smeary, sticky blobs.  In the following applications, I patted it onto my face.  Also a mistake.  Small, sticky little blobs.  If this turns into blobs of product that stick to your face, I don't know how much SPF protection it really provides.",10
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",8/2/2024,"3.0 out of 5 stars
Super thick and the pump doesn't work",3,"This is a very heavy cream in a pump bottle.  The pump quit working on day two.  The cream is super hard to put on as it is thick and does not slide over my skin.  It feels like it dries out within seconds.  It does not make my skin feel soft or moisturized.  However it doesn't have any scent and doesn't aggravate my sensitive skin.  If you want a product that makes your skin feel soft and supple, this is not for you.",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",5/2/2024,"3.0 out of 5 stars
It is a great product but...",3,"I love CeraVe products and this is the 3rd bottle I've purchased. It works great overall. It provides good skin protection, goes on well considering it is an SPF as well, and doesn't irritate or dry out my skin.But... it does create the ""piling"" effect when I put on other products after and this new pump works like crap. I think I'm able to get a little squirter out after 20+ attempts. They definitely need a new pump for sure.",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",3/2/2024,"3.0 out of 5 stars
It's okay",3,"The cream is very thick and will clog your doors. I use a very small amount and apply to wet face which dilutes it so, I doubt if it's really blocking sun ray exposure.",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",19/2/2024,"3.0 out of 5 stars
Pills",3,Weird texture. It tends to pill funny with a white cast.,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",21/1/2024,"3.0 out of 5 stars
Good as moisturizing sunscreen and subtle retinol effect",3,Light and works well as base and for a daily sunscreen. My skin slightly improved texture/wrinkle/smile lines. I've also been using another lotion so hard to tell which one truly improved lines. Does leave slight white tint. I add regular cerave lotion over it and it all blends well.,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",16/11/2023,"3.0 out of 5 stars
i like it, could definitely be improved",3,"Pros- Doesn't break me out- Doesn't irritate my sensitive skin- Actually absorbs into my skin- Has retinol in addition to SPF, so a 2in1 combo, which is always a win for me- Has lasted awhile (I use once every morning, about 4 pumps)Cons- Can be hard to spread, be sure any previous product on your face is absolutely dry- Pills up sometimes, it's too thick. This has affected how my makeup lays on my face. I find that I sometimes have to go over with a thinner moisturizer after it has dried to get rid of it.- Takes a bit to fully absorb/dry. Nothing dramatic, maybe 2 minutes.Overall I do like this product, it's not perfect but it gets the job done as of now. Hoping there's a formulation improvement.",17
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",21/1/2024,"3.0 out of 5 stars
Bottle is terrible",3,Lotion itself is fine if it will pump from bottle. It’s so irritating to use I bought something else. The lotion is too thick to pump out so it was a waste of money. Won’t buy again in this packaging.Seller and delivery as expected,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",14/1/2024,"3.0 out of 5 stars
A little dry",3,"I will use this till it's gone but I think the amount of zinc in it causes it to feel a little dryer than I like. I'm mixing it with some oil those days I don't go out or it's rainy and sunscreen isn't as crucial. No amazing changes have resulted, but I really want it for the sunscreen anyway",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",11/2/2024,"3.0 out of 5 stars
Leaves white residue",3,The sunscreen works well but it leaves a white residue behind. I couldn't use it as a base under makeup.,0
