product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",25/12/2023,"2.0 out of 5 stars
Clumps and rubs off",2.0,Very disappointed. This eye cream is highly rated and I'm so disappointed. IT RUBS OFF and CLUMPS UP around the eyes. That means it's NOT absorbing into my skin. It's just caking up and sitting on top of it.I'm a big fan of CeraVe lotions & their bath bar but this is horrible. Save your money. Going back to my tried & true Clinique.,0
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",25/11/2023,"2.0 out of 5 stars
A disappointment for this brand.",2.0,"Recently I am noticed problem with popping as dark circles etc around my eyes. So trusting the brand, I ordered this. It did nothing to help me at all. Again very disappointed in a brand I've used for many years. Look elsewhere.",0
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",31/01/2024,"2.0 out of 5 stars
Wrong size description. 1.5oz size is actually 0.5oz.",2.0,1.5oz size is only 0.5oz.,0
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",20/02/2024,"2.0 out of 5 stars
Not the best eye crème .",2.0,Too dry,0
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",06/01/2024,"2.0 out of 5 stars
Didnt change a wrinkle or any puffines..",2.0,Might just be the wrong product for what I was looking for.,0
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",25/12/2023,"2.0 out of 5 stars
It's small",2.0,15 dollars for a small tube that comes not even half way. It has worked but I only wore it like 5 times and it's almost done,0
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",05/11/2023,"2.0 out of 5 stars
Cerave eye cream",2.0,"Thought I would try this since I have sensitive skin under and around my eyes, but after applying it burns and makes my under eye skin red. It feels moisturizing at first but then is very dry.",0
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",29/11/2023,"2.0 out of 5 stars
(((",2.0,"If you want it as a gift, better don't buy it. The box will come smashed.",2
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",26/01/2024,"2.0 out of 5 stars
Literal waste of money",2.0,Does nothing at allLiterally nothing,0
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",08/12/2023,"2.0 out of 5 stars
Its basic cream",2.0,It’s simply cream marketed for under eyes. It doesn’t actually do what it claims.,0
