product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",20/09/2023,"1.0 out of 5 stars
Product out of box",1.0,"When I opened the box, the eye cream was out of its box and the container was opened and really messed up. I'm nervous to use the product because it wasn't in the box. As seen in the photo, the box was laying right next to the cream.  How does that happen!? I'm not sure what to do...I was really excited about the product...",0
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",06/09/2023,"1.0 out of 5 stars
Does not get absorbed well. Yellow smears under the eyes after hours of application",1.0,"So after I applied this cream under the eyes per its instructions, few hours after I was “ complemented” and questioned why there is something under my eyes. I found yellowish patches ( sort of sour cream gets dried color) under my eyes. So it doesn’t absorb well. And having that metal prob on the tip of tube doesn’t make any difference. Poor quality I think for this price.",0
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",23/10/2023,"1.0 out of 5 stars
Didn’t work for me",1.0,This product irritated my eyes. The product itself leaves a residue that looks flakey. It does make your dark circles look lighter because it’s a tinted product. Just not what I’d hoped for. It’s going back.,2
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",20/10/2023,"1.0 out of 5 stars
So sick of the BS",1.0,Does not work doesn’t even think about working and I’m sick of all the hype for no results,2
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",30/04/2022,"1.0 out of 5 stars
Not for me",1.0,I bought this bc it said sensitive skin and it has raving reviews but i used it and my entire face broke out into a red rash and I’m still healing my skin 5 days after. I have Rea splotches everywhere. Beware. Please allergy test before using. Don’t be like me.,4
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",02/03/2023,"1.0 out of 5 stars
Not effective",1.0,I didn't notice a change at all after using the whole tube over a few months. It didn't absorb that well into my skin either.,2
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",02/06/2023,"1.0 out of 5 stars
Sin cambios",1.0,No he notado un cambio en casi dos meses de uso,0
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",03/03/2021,"1.0 out of 5 stars
not worth it at all",1.0,Never been so disappointed in an eye cream before and I've tried a lot due to my dark circles. Don't waste your money on this product. Its only like white paint and doesn't actually target the skins complexion. But what made me hate it the most is that it dries and starts peeling leaving your very dull,5
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",22/08/2022,"1.0 out of 5 stars
I got really bad allergy from using this!!!",1.0,"I applied the cream at night and the next morning my under eyes were swelling, my dark circles were worst, and itches. Really bad allergy! Do not buy this product!",5
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",12/11/2020,"1.0 out of 5 stars
DO NOT BUY THIS PRODUCT",1.0,"I bought the PIGMENTCLAR YEUX from LA ROCHE-POSAY through AMAZON, this is a bad product. It caused an allergy in my eyes, and I was about to lose them, my face was disfigured for four days. Due to COVID-19, I was unable to go to the hospital. DO NOT BUY THIS PRODUCT.",66
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",28/01/2023,"1.0 out of 5 stars
Bad product.",1.0,leaves the skin burning and the eyes too toxic for the skin. Be careful,4
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",10/04/2020,"1.0 out of 5 stars
Horrible",1.0,I have been using these products for years from my Dermatologist.  Decided to order due to COVID19.  Each of the three items were open when they arrived.  Appeared to have bee used and returned.,3
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",30/07/2021,"1.0 out of 5 stars
Waste of money",1.0,This product did nothing not help as advertised.,0
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",05/09/2019,"1.0 out of 5 stars
Did nothing",1.0,"This did nothing for my dark circles.  I used the entire tube, twice a day with no results.",2
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",06/05/2020,"1.0 out of 5 stars
I don’t see results",1.0,The product is very expensive and I don’t see results,4
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",28/10/2017,"1.0 out of 5 stars
One Star",1.0,"I received the product today and was opened. The package was ok, but the product was opened and used.",3
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",06/08/2017,"1.0 out of 5 stars
One Star",1.0,I see zero difference....no lightening of dark undereye circles.  If I could return this I would.,2
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",19/02/2019,"1.0 out of 5 stars
No good",1.0,This product didn't work for me.,0
"Amazon.com: Customer reviews: La Roche-Posay Pigmentclar Dark Circles Eye Cream with Caffeine, Brightens Under Eye Area and Targets Dark Circles",20/04/2017,"1.0 out of 5 stars
Doesn't help under eye cirlces",1.0,Did nothing for my under eye circles,16
