product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",04/01/2024,"4.0 out of 5 stars
Good!",4.0,"Ran out of one retinol and decided to switch to this and it's good. No major difference in skin. Moisturizes and is a good serum. Still had a retinol purge, but wasn't too bad. Do not use if you have eczema. Scent is neutral.",27
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",28/01/2024,"4.0 out of 5 stars
Bamboozled into buying this from a YouTube Influencer...",4.0,"I am getting older and my neck is getting a little wrinkly.  So I searched YouTube for ways to take care of it.  I found this Influencer who was a 57 years old man and did a helpful video on Face Yoga.  He recommended this cream as well.  I thought he looked so young for his age and was instantly willing to buy the cream.  I showed my husband the video and was raving about how young this guy looked, when my husband interrupted me and said that the guy was totally using a filter!  Lol!  The cream is nice and light.  It tightens up the skin a little, but didn't live up to the claim of the YouTuber I watched!  I use the CeraVe moisturizer cream and I probably could have just stuck with that.  Not convinced that the retinol helps much more than regular moisturizer.",3
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",14/02/2024,"4.0 out of 5 stars
Good product",4.0,This product is nice but it is very drying. I would say to def ease into using the product everyday. I started with once a week then twice and so on. I've been using it now for about 5 weeks and I wouldn't say I see any results. I'm going to continue to use it and I hope I can see a difference soon.,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",24/02/2024,"4.0 out of 5 stars
Help my smile lines a little",4.0,I used this retinol and notice my smile lines were less noticeable but that’s about it.,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",22/02/2024,"4.0 out of 5 stars
Doesn't moisturize as food.",4.0,Doesn't moisturize as good as the night cream.  I'll probably buy it again if I can't find another product.,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",04/01/2024,"4.0 out of 5 stars
Not a magic fix",4.0,"I starting using this retinol 6 months ago, and I definitely see a difference in my skin. My fine lines are less noticeable and my skin tone has evened out a little bit. It does take time for your skin to get used to using this (mine took almost two months before I stopped breaking out). I would recommend this to people who are looking for a long term product that will make a difference over a long period of time.",4
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",14/02/2024,"4.0 out of 5 stars
Good",4.0,My first time using this product,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",24/01/2024,"4.0 out of 5 stars
Good Retinol Serum",4.0,"I've used several retinol creams/serums, and I rank this as good but not great. There are better ones out there and less costly per unit. That said, you really can't go wrong with CeraVe.",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",12/02/2024,"4.0 out of 5 stars
El paquete venía cerrado el producto abierto no me gusta ese detalle",4.0,,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",21/01/2024,"4.0 out of 5 stars
Little goes a long way",4.0,When I first saw the product I thought it wasn’t going to last long. A little goes a long way! Not sure of effectiveness yet as it takes time to see results,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",31/12/2023,"4.0 out of 5 stars
Cerave Anti Aging Retinol Serum Really Does Work",4.0,"I noticed that the lines on my forehead and around my mouth were reduced as soon as I applied it compared to the previous product I was using. The retinol in this product doesn't irritate my skin like other products did. This serum was effective is diminishing lines by about a third, but not completely.",3
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",31/12/2023,"4.0 out of 5 stars
I think it's working",4.0,"Can't use every day because it's strong, but my skin looks pretty good",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",12/12/2023,"4.0 out of 5 stars
does not actually fix your wrinkles",4.0,"honestly, i don’t know of anything affordable that will improve your wrinkles. but i love this anyway and will probably buy it again, because it makes me feel fancy and like i am taking steps to try to be more attractive?",7
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",31/10/2023,"4.0 out of 5 stars
Not as expected",4.0,"I am in my 40’s and not new to retinol products. I like the CeraVe product line and just discovered it had a retinol option. If I use my regular amount of product it doesn’t feel like adequate coverage. If I use slightly more this will completely zap my face, over-drying it out. Could be I haven’t found that sweet spot of product amount for me, or it could be this is just not a good retinol for me. Regardless it is the first CeraVe product that doesn’t live up to stellar expectations. I’ll finish this bottle, but probably won’t be purchasing again.",6
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",20/11/2023,"4.0 out of 5 stars
Dermatologist Recommended",4.0,"I am older and told the dermatologist I was tired of using all sorts of different products and spending a lot of money on facial creams, lotions, serums, etc. that just waste my time and money. So other than a good moisturizer the only thing he recommended I use is retinol. He and I both like CeraVe and this meets our goals.",9
