product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",16/11/2023,"3.0 out of 5 stars
i like it, could definitely be improved",3.0,"Pros- Doesn't break me out- Doesn't irritate my sensitive skin- Actually absorbs into my skin- Has retinol in addition to SPF, so a 2in1 combo, which is always a win for me- Has lasted awhile (I use once every morning, about 4 pumps)Cons- Can be hard to spread, be sure any previous product on your face is absolutely dry- Pills up sometimes, it's too thick. This has affected how my makeup lays on my face. I find that I sometimes have to go over with a thinner moisturizer after it has dried to get rid of it.- Takes a bit to fully absorb/dry. Nothing dramatic, maybe 2 minutes.Overall I do like this product, it's not perfect but it gets the job done as of now. Hoping there's a formulation improvement.",10
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",02/12/2023,"3.0 out of 5 stars
Contains zinc as sunscreen so skin looks pasty white.",3.0,"Not a light ‘day cream’.  Actually a sun block.  Will probably be good in summer but I wanted a light moisturizer, day cream- not a sun block",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",28/11/2023,"3.0 out of 5 stars
Pills. A lot.",3.0,"Pills so much. Constantly finding product on my cheeks, along my hair and jawline. Ugh.Also, there’s no straw inside leading to the pump — so unless I leave it upside down nothing comes out.",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",30/10/2023,"3.0 out of 5 stars
Doesn’t work well with my CC cream foundation",3.0,"Although I like the cerave night cream, this day cream with sunscreen just doesn’t work for me. It seems to not sink in to my skin and it negatively affects the application of my Thrive CC cream. I will probably just use it as a sunscreen on my chest in the summer because it was not cheap enough to throw away. I would not buy this again.",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",06/12/2023,"3.0 out of 5 stars
Nice cream for skin plus spf  but",3.0,Like cream wish spf would be higher,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",06/11/2023,"3.0 out of 5 stars
Not for melanated people",3.0,"It leaves a white cast, I recommend buying a different product if you have some color to your skin and don’t like looking like a ghost.",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",19/11/2023,"3.0 out of 5 stars
Dis the job",3.0,I feel like this stuff is hard to rub in and set,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",19/10/2023,"3.0 out of 5 stars
Damaged package",3.0,"The brown envelope looks ok but the Cerave package is beaten up. The cap of the item was open ,Looks like a returned item ! This is the second time I have had this experience!",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",20/09/2023,"3.0 out of 5 stars
Inexpensive facial cream",3.0,I have used Clinique for about 30 years. Im sick of spending $70 on a jar of face cream to wear during the day. I thought because this was a name brand I would try it and was thrilled with the price. It goes on nicely and feels tight on your face but very dry. I have very sensitive skin so it may simply be my skin reacting. Im 75 years old if that helps.,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Face Cream with SPF 30 Sunscreen | Anti Wrinkle Cream for Face with Retinol, SPF 30 Sunscreen, Hyaluronic Acid, and Ceramides | White,1.76 Ounce (Pack of 1)",30/09/2023,"3.0 out of 5 stars
This more sunscreen than day cream",3.0,"Thought this was a day cream with sunscreen as an added bonus.  This is a sunscreen with a day cream as an added bonus.  It goes on your skin nicely, but leaves your skin with a white hue.  If  you try to rub it in, it flakes...like you would expect from a sun screen.",2
