product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Redermic R Anti Aging Retinol Cream, Reduces Wrinkles, Fine Lines, and Age Spots with Pure Retinol Face Cream, 1 Fl Oz",05/08/2021,"4.0 out of 5 stars
Too expensive but works",4.0,"Female, age 60: I have invested in facial care for 30 years and it shows. I now have people insist I must be many years younger. I have used many compounds, including retinols. FACT: you do not have to spend $50/tube for good retinol. Talk to a dermatologist and consider a combination of alpha-hydroxies, hyaluronic acid, salicylic acid, and retinol depending on your needs. FACT: it’s the chemical, not the brand, that matters. However, I will say this stuff works well and works fast. Don’t put too much on, a little goes a long way. I just wish I didn’t feel like a 1 percenter for spending this much. It’s really highway robbery, and I’ll swih to another brand hen I find a better priced option.",25
"Amazon.com: Customer reviews: La Roche-Posay Redermic R Anti Aging Retinol Cream, Reduces Wrinkles, Fine Lines, and Age Spots with Pure Retinol Face Cream, 1 Fl Oz",09/03/2019,"4.0 out of 5 stars
Visibly reduces pores within a week!",4.0,"Ok whoa. I bought this because I realized all of a sudden that I'm 33...blissfully ignorant of all that is vain...and then my husband  turned 40 and is aging like wine while I'm over here aging like an avocado. So maybe I should think about anti aging creams or serum or sorcery of that sort. So I got this to use at night, thinking maybe it'd fight off the fine lines. BUT WAIT! I've been using this since Monday (it's saturday) and my gigantic pores are VERY visibly reduced. I did not expect that! I've struggled with large pores since adolescence. I've tried sooo many things without any luck. I currently use a clarisonic daily and that has helped but not much. I had given up. But this stuff is seriously diminishing them! I can't wait to see How it does with a few months' use!I deducted one star bc omg the heavy fragrance in this stuff is something else! I'm practically suffocating from the fumes meandering off my face as I fall asleep at night! I hate that they perfume cosmetics so much. I'd honestly rather smell like whatever the ingredients are that they're trying to mask. Normally I'd refuse to use a product that smelled like this, but with what it's doing for my pores, I'll make an exception.",65
"Amazon.com: Customer reviews: La Roche-Posay Redermic R Anti Aging Retinol Cream, Reduces Wrinkles, Fine Lines, and Age Spots with Pure Retinol Face Cream, 1 Fl Oz",24/01/2023,"4.0 out of 5 stars
Anti Aging Retinol cream",4.0,Use every other night on face. Love the results,7
"Amazon.com: Customer reviews: La Roche-Posay Redermic R Anti Aging Retinol Cream, Reduces Wrinkles, Fine Lines, and Age Spots with Pure Retinol Face Cream, 1 Fl Oz",16/09/2012,"4.0 out of 5 stars
Impressed",4.0,I received a small sample and was so amazed I had to buy the full product. I accidentally used it morning AND night with immediate results after 2 days. Skin felt smoother and brighter. I am now using this in evening only and results are still seen although not as immediate as those first few days.Not sure how this compares with Boots No 7 Protect & Perfect intense serum since Redermic R contains retinol and the former does not but intend to try the Boots product after I finish this one.Only need a tiny amount of Redermic R when using it. Makes your skin sensitive to sunlight so be sure to use a sunscreen during the day. Amazon was the cheapest vendor that sold this product when comparing prices between online and physical drugstores in Canada and America. A good price is <$40. Average price in stores is ~$60.Update: La Roche Posay has great customer service. I had bought several products to help reduce the oil on my skin and none of the products worked (my skin got much worse). The drugstore I bought the products from wouldn't take the product back (don't blame them) but gave me the customer care number. LRP customer care took down the lot #'s over the phone and issued me a full refund. I was extremely impressed!,2
"Amazon.com: Customer reviews: La Roche-Posay Redermic R Anti Aging Retinol Cream, Reduces Wrinkles, Fine Lines, and Age Spots with Pure Retinol Face Cream, 1 Fl Oz",11/10/2022,"4.0 out of 5 stars
I haven’t seen a huge difference but it’s fine",4.0,I have had no issues with this yet. I just aren’t seen a change either.,4
"Amazon.com: Customer reviews: La Roche-Posay Redermic R Anti Aging Retinol Cream, Reduces Wrinkles, Fine Lines, and Age Spots with Pure Retinol Face Cream, 1 Fl Oz",18/07/2021,"4.0 out of 5 stars
Does the job!",4.0,"I really like this retinol. The texture is great and goes on smoothly. I do use a moisturizer afterward but I have not had any issues with irritation. At first I wasn't sure if this was really doing anything for me but I didn't use it for about a week and my skin looked more dull...once I started again, my skin was back to soft and glowing with a reduction in fine lines and pores. My only gripe is that I wish it was fragrance-free.",3
"Amazon.com: Customer reviews: La Roche-Posay Redermic R Anti Aging Retinol Cream, Reduces Wrinkles, Fine Lines, and Age Spots with Pure Retinol Face Cream, 1 Fl Oz",16/06/2021,"4.0 out of 5 stars
So far so good",4.0,This seems to work well.  I bought it to use instead of retin-A which dries my skin too much.  I have not used this long enough to evaluate it fully.,0
"Amazon.com: Customer reviews: La Roche-Posay Redermic R Anti Aging Retinol Cream, Reduces Wrinkles, Fine Lines, and Age Spots with Pure Retinol Face Cream, 1 Fl Oz",29/01/2012,"4.0 out of 5 stars
Even Tones your skin",4.0,This product really did even out my skin.  I gave it a 4 star since I have to use it every other day for 1 month so far.  Within the first week I noticed significant improvement on my skin.  I have rosacea and there's nothing good for my skin but this La Roche-Posay Redermic R does work to make your face look even toned.  Unfortunately it does not take away previous red marks from acne scars.  It does make them appear less red though.  Make sure you wear sunblock the following day after using this product at night.  I love my new sunblock from AVON Anew with SPF 45.  Found both of these products to be great products from Allure.  I highly recommend them.,13
"Amazon.com: Customer reviews: La Roche-Posay Redermic R Anti Aging Retinol Cream, Reduces Wrinkles, Fine Lines, and Age Spots with Pure Retinol Face Cream, 1 Fl Oz",30/07/2020,"4.0 out of 5 stars
Always like a ROC product",4.0,I find the ROC brand to be quality. This feels good on and absorbs in without feeling greasy. I hate when a moisturizer feels like a film on my face  and this one definitely does not.  Odor is pleasant but not overpowering.,0
"Amazon.com: Customer reviews: La Roche-Posay Redermic R Anti Aging Retinol Cream, Reduces Wrinkles, Fine Lines, and Age Spots with Pure Retinol Face Cream, 1 Fl Oz",04/06/2021,"4.0 out of 5 stars
Bueno",4.0,"La piel queda increíble pero hay que tener cuidado porque puede causar dermatites, no puedo utilizar todos los días.",0
