product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",21/11/2023,"4.0 out of 5 stars
Does the job",4.0,"I felt like it did the main job that I wanted from it; to moisturize my eyelids and the area around my eyes. I did find it to be very greasy compared to my old standby moisturizer. It did irritate one of my eyes, so I must have gotten some in my eye. That never happened before, even though I'm pretty sure that I got some of the old product in my eye a time or two as well. Because of this, I can't give it a five-star rating. It will do the job of moisturizing. I found the greasy nature of it to be rather annoying. The residue of grease stayed pretty much the whole day until I finally got irritated and rubbed what I could off. I wouldn't think that an eyelid cream should be like this.",3
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",20/11/2023,"4.0 out of 5 stars
Customer service",4.0,"More of a customer service rating than anything. My package was delivered to the wrong address in an apartment complex over the weekend, since people very rarely turn in wrong packages here. I placed a request for a replacement. They offered to send a replacement within a day. I wasn’t able to respond until Monday. In that time my package was turned in to our leasing office (much to my surprise). The seller was quick to respond, and very willing to make things right, even though not their fault. I very much appreciate that. As for the product itself, this is my third tube. I don’t know if it works any better than the expensive stuff, but I like it. Light, not oily, and easy on my sensitive eyes. Just what I needed.",0
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",17/12/2023,"4.0 out of 5 stars
CeraVe, I love your products",4.0,"Just like any other CeraVe products, this Eye cream is a good one too. My husband and I have using it, every alternate night and love the results. It’s eye brightening and moisturizing. We use different CeraVe products and recommend them to our family and friends, too👌💕",0
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",05/12/2023,"4.0 out of 5 stars
Does NOT irritate!",4.0,Love that it does not irritate my eye area. Anywhere. And they are super sensitive. Had lid surgery and used it after stitches removed. No problem. I’m not sure it’s made any difference as there’s alot going on 🙄but it can’t hurt and will repurchase. I need to give it some time.-No scent detected. Amen,0
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",18/12/2023,"4.0 out of 5 stars
No scent, lightly moisturizing",4.0,"Not sure that this eye cream is any better than my face creams, but, worth a try.",0
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",13/12/2023,"4.0 out of 5 stars
Works ok.",4.0,"It's ok, not great. Not super noticeable difference. But if I wear it during the day, it causes even my waterproof mascara to migrate and make it look like I have a black eye.",4
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",09/10/2023,"4.0 out of 5 stars
okay eye cream",4.0,"I purchased this after reading some reviews.  It's okay, but nothing earth shattering.  I see some improvement, but I also don't always remember eye cream.  I have had loose skin under my eyes for several decades and I was told loose skin would happen way back when I was 10 years old due to my ""bags"".  For the record, I have no other wrinkles (eyes, forehead or mouth), so maybe this isn't the best product for me, but I'm using it until the tube is completed and will maybe check out another eye cream that might help tighten my bags.  I don't feel over moisturized, and it doesn't take away my dark circles from rubbing my eyes due to allergies, but it may help someone with true crowfeet and what not.",4
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",27/11/2023,"4.0 out of 5 stars
Does Not burn my eyes",4.0,"Moisturizing, doesn't burn my eyes. The description is misleading it says 1.5ounce. this is not 1.5 ounces.",0
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",19/11/2023,"4.0 out of 5 stars
Caja del producto aplastada",4.0,La caja que guarda el artículo estaba aplastada dañada,0
"Amazon.com: Customer reviews: CeraVe Eye Cream for Wrinkles | Under Eye Cream with Caffeine, Peptides, Hyaluronic Acid, Niacinamide, and Ceramides for Fine Lines | Fragrance Free &amp; Ophthalmologist Tested |0.5 Ounces",20/10/2023,"4.0 out of 5 stars
Just ok",4.0,I switched to Cereve products but not impressed with eye cream. I was using Loreal and and prefer that over this. Doesn't seem to nourish as well. Probably won't purchase again...but the price point was good.,2
