product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",26/11/2023,"2.0 out of 5 stars
Too thick",2.0,"This product was too thick for me and I found it difficult to spread. I have a hard time even calling this a serum, it is definitely a thicker lotion consistency.  There are much better retinol serums at the same price point.",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",30/10/2023,"2.0 out of 5 stars
Didn't see much effect and RUBS/PEELS OFF!",2.0,"While the ingredients for this are not the worst, it does have PEG-40 and some other ""undesirables"".  The worst part, though, is that it doesn't soak into your skin, it just sits on top, dries, then rubs/peels off!  I've stopped using it in favor of more natural products.  I can't recommend this at all - I don't understand how it can get so many ""good"" reviews.",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",01/12/2023,"2.0 out of 5 stars
So far seems alright",2.0,"The box came pretty tore up/crushed in a way that almost makes it seem like it was opened and returned before. Luckily I gave sanitizing wipes but pretty disappointing for a beauty product. Haven't used it yet, plan to this week.",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",01/12/2023,"2.0 out of 5 stars
Just so so",2.0,Unfortunately it’s not very moisturizingI had switched from similar product yo gov ethos a try but seems to leave a bit of sticky feelingWish I could return but window has closed,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",15/11/2023,"2.0 out of 5 stars
Sad to say I didn't like it at all...",2.0,I used it a few times; it left my face feeling sticky/greasy and did nothing for me. I understand that it takes time to see any noticeable changes but I really didn't like how it felt on my face/left my face feeling. I use other CeraVe products but this one did not do it for me!,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",03/08/2023,"2.0 out of 5 stars
Not a fan",2.0,"This may work for others, but it broke out really really bad after wearing this.I've heard of the retinoid uglies, so I stayed consistent and even used the entire bottle.the second I stopped using it my skin cleared up. It's worth noting that my skin is better than ever, so maybe this product changed something for the better.Nonetheless, I won't be buying it again.",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",28/07/2023,"2.0 out of 5 stars
Pump doesn't work",2.0,"I love this product and use it all the time.  However, when I got ready to open this new bottle, the pump does not work. (the reason for 2 stars)  It pumps, but nothing comes out.  I can't find a way (yet) to get the product out.  I had bought this to have when my other bottle ran out.  When it came time to use it, I was already past the return by date.",0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",28/10/2023,"2.0 out of 5 stars
Sticky and pills up",2.0,The serum sits on my skin and isn't absorbed.  It's sticky and hasn't provided results.,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",26/11/2023,"2.0 out of 5 stars
Look out for burning skin",2.0,Burns my sensitive skin.,0
"Amazon.com: Customer reviews: CeraVe Anti Aging Retinol Serum | Cream Serum for Smoothing Fine Lines and Skin Brightening | With Retinol, Hyaluronic Acid, Niacinamide, and Ceramides | 1 Ounce",23/07/2023,"2.0 out of 5 stars
Unsure",2.0,I don't really know how to feel about this I was hoping that it would take my break out away. But it seems to not do the job .. I had high hopes for this cream.. I feel as tho it might actually be making it worse .. I really don't know😣💔,0
