product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Pure Retinol Face Serum with Vitamin B3. Anti Aging Face Serum for Lines, Wrinkles &amp; Premature Sun Damage to Resurface &amp; Hydrate. Suitable for Sensitive Skin, 1.0 Fl. Oz",27/09/2023,"4.0 out of 5 stars
MIRACLE",4.0,"La Roche-Posay is a renowned brand known for its dermatologist-recommended skincare products. Their Pure Retinol Face Serum with Vitamin B3 is designed to address multiple skincare concerns, including fine lines, wrinkles, uneven skin tone, and texture. Here's a review of this product:Pros:1. Effective Retinol: Retinol is a potent ingredient known for its ability to improve skin texture, reduce the appearance of fine lines and wrinkles, and promote cell turnover. La Roche-Posay uses pure retinol in this serum, making it an effective anti-aging product.2. Vitamin B3 (Niacinamide): Vitamin B3, or niacinamide, is an excellent addition to this serum. It helps to soothe and strengthen the skin's barrier, reduce redness, and even out skin tone. The combination of retinol and niacinamide can address a range of skin concerns, from signs of aging to discoloration.3. Lightweight and Non-Greasy: I appreciate the lightweight and non-greasy texture of this serum. It absorbs well into the skin, making it suitable for various skin types, including oily and combination skin.4. Fragrance-Free: La Roche-Posay is known for its commitment to fragrance-free skincare products, making this serum suitable for sensitive skin that might react negatively to added fragrances.5. Dermatologist-Tested: The brand's dermatologist-tested claim adds a layer of credibility to the product's safety and efficacy, assuring consumers that it has been evaluated by skincare professionals.Cons:1. Potential Irritation: Retinol, especially pure retinol, can be irritating to some individuals, especially when first introducing it into their skincare routine. It's recommended to start slowly and build up tolerance to minimize potential side effects like dryness, redness, or peeling.2. Price: La Roche-Posay is a premium skincare brand, and as such, their products tend to be more expensive compared to some drugstore alternatives. While the quality justifies the price for many users, it might not fit everyone's budget.3. Sun Sensitivity: Retinol can make the skin more sensitive to sunlight. It's crucial to use sunscreen daily when using this serum to protect your skin from UV damage.In conclusion, La Roche-Posay's Pure Retinol Face Serum with Vitamin B3 is a solid choice for those seeking an effective anti-aging and skin-renewing serum. Its combination of pure retinol and niacinamide addresses a wide range of skincare concerns, and its fragrance-free formula makes it suitable for sensitive skin. If you're looking to incorporate retinol into your skincare routine, this product is worth considering, especially if you value the quality and reliability of the La Roche-Posay brand.",27
"Amazon.com: Customer reviews: La Roche-Posay Pure Retinol Face Serum with Vitamin B3. Anti Aging Face Serum for Lines, Wrinkles &amp; Premature Sun Damage to Resurface &amp; Hydrate. Suitable for Sensitive Skin, 1.0 Fl. Oz",15/11/2023,"4.0 out of 5 stars
Excelente producto",4.0,"Value for the money,quality",0
"Amazon.com: Customer reviews: La Roche-Posay Pure Retinol Face Serum with Vitamin B3. Anti Aging Face Serum for Lines, Wrinkles &amp; Premature Sun Damage to Resurface &amp; Hydrate. Suitable for Sensitive Skin, 1.0 Fl. Oz",29/07/2023,"4.0 out of 5 stars
Product good/shipping not so good",4.0,"Product is fine. The only reason for the 4 stars is it arrived completely out of the package, a small box, inside an mailing/delivery envelope. This would not have been a problem but the bottle inside is glass and could have easily broken. No seal on the box whatsoever not keep secure.",5
"Amazon.com: Customer reviews: La Roche-Posay Pure Retinol Face Serum with Vitamin B3. Anti Aging Face Serum for Lines, Wrinkles &amp; Premature Sun Damage to Resurface &amp; Hydrate. Suitable for Sensitive Skin, 1.0 Fl. Oz",26/06/2023,"4.0 out of 5 stars
Great, but don’t over-use with sensitive skin",4.0,As the title says. I have sensitive skin and got retinol burn from using it every day for a week. I switched to using it every few days and now it’s working well!,7
"Amazon.com: Customer reviews: La Roche-Posay Pure Retinol Face Serum with Vitamin B3. Anti Aging Face Serum for Lines, Wrinkles &amp; Premature Sun Damage to Resurface &amp; Hydrate. Suitable for Sensitive Skin, 1.0 Fl. Oz",19/09/2022,"4.0 out of 5 stars
Seems to work well",4.0,"This product is pretty damn good to tell you the truth. I have purchased only one bottle. It is almost gone. I do see an improvement in my skin. And, it's not just my imagination. Very very easy to put on, very nice aroma etc. Slightly pricey but, if it works it's worth it. I wash my face well with a facial cleanser, are you set a fill – it's cheap and works great – and then put a small amount, dime size actually, of this product on my face. Try it",13
"Amazon.com: Customer reviews: La Roche-Posay Pure Retinol Face Serum with Vitamin B3. Anti Aging Face Serum for Lines, Wrinkles &amp; Premature Sun Damage to Resurface &amp; Hydrate. Suitable for Sensitive Skin, 1.0 Fl. Oz",09/09/2022,"4.0 out of 5 stars
Good one",4.0,"I have a sensitive skin and the last time I used Neutrogena retinol moisturizer, I experienced breakouts and got two huge pimples. It still hasn't cured 🥲. I slowly started introducing the skincare in my routine and waited so long to introduce retinol. After reading numerous reviews and research, bought this one. The only complaint is, the scent is a bit strong for me though it's mild generally. I have just used it for one day. Will update once I use continuously",12
"Amazon.com: Customer reviews: La Roche-Posay Pure Retinol Face Serum with Vitamin B3. Anti Aging Face Serum for Lines, Wrinkles &amp; Premature Sun Damage to Resurface &amp; Hydrate. Suitable for Sensitive Skin, 1.0 Fl. Oz",24/01/2023,"4.0 out of 5 stars
Buen producto",4.0,"Hasta ahora todo va muy bien con la aplicación, no irrita, no pica, mi tipo de piel sensible lo asimilo perfectamente. Ahora a esperar los resultados.",7
"Amazon.com: Customer reviews: La Roche-Posay Pure Retinol Face Serum with Vitamin B3. Anti Aging Face Serum for Lines, Wrinkles &amp; Premature Sun Damage to Resurface &amp; Hydrate. Suitable for Sensitive Skin, 1.0 Fl. Oz",06/08/2022,"4.0 out of 5 stars
Sastifecho",4.0,"Me ayudó mucho con las líneas alos lados de los ojos , el único incómodo que deja la cara demasiado grasosa,no sé si es por el tipo de piel de cada persona",5
"Amazon.com: Customer reviews: La Roche-Posay Pure Retinol Face Serum with Vitamin B3. Anti Aging Face Serum for Lines, Wrinkles &amp; Premature Sun Damage to Resurface &amp; Hydrate. Suitable for Sensitive Skin, 1.0 Fl. Oz",01/04/2022,"4.0 out of 5 stars
Works Well On My Sensitive Skin",4.0,"I started using this serum after I did a search for a retinol that was sensitive enough for my neck, but still provided anti-aging benefits. I feel fully assured when I'm using this that I'm using a safe product on my sensitive skin while still receiving benefits of Vit A, B3 and hyaluronic acid. I'll definitely be repurchasing.",2
"Amazon.com: Customer reviews: La Roche-Posay Pure Retinol Face Serum with Vitamin B3. Anti Aging Face Serum for Lines, Wrinkles &amp; Premature Sun Damage to Resurface &amp; Hydrate. Suitable for Sensitive Skin, 1.0 Fl. Oz",28/03/2022,"4.0 out of 5 stars
Improvement in skin texture",4.0,"I'm about halfway through the bottle now and I've seen improvement in skin texture, and fine lines. I have been breaking out some though and I have a bad feeling it's because of this product.",3
