product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",26/01/2024,"4.0 out of 5 stars
GREAT for its purpose",4.0,"This cleanser is exactly as it's advertised which is why I gave it a higher rating. That being said I also want to note that I am not the biggest fan of it because it is a GENTLE cleanser and I should've thought hard on that before purchasing since I use oils and serums for my skincare. The gentle cleanser is not the best for getting things cleared and cleaned up on the first wash unless you have a lite amount of products on your face so I usually have to double cleanse with one brand then finish it with La Roche-Posay. However that's a good thing because it will not leave your skin feeling stripped and dry. Again, great gentle cleanser I just know moving forward I need something stronger and may do like an oil double cleanse type of routine",5
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",22/02/2024,"4.0 out of 5 stars
It’s okay.",4.0,"I think it all depends on your skin type. I have combination skin, and typically use the cleanser for it, but in the winter my skin leans more dry. I thought I’d give this a shot and see if it helps, but it’s not the right one for me. This is a really gentle cleanser, and I think it would be great for someone with dry skin!",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",03/01/2024,"4.0 out of 5 stars
Great for sensitive dry/normal skin",4.0,"While on retinol my skin was dryer than normal and this cleanser did a good job to alleviate that tight and dry sensation. The product is a creamy consistency and doesn't foam up so, if you have dry sensitive skin -- this product is for you! There isn't much of a scent, if I had to guess it smells like an unscented lotion. Though, now that I am no longer using retinol my skin went back to being combination (dry and oily). In the summer I found it hard to us this product, my skin felt congested and more oily. So, if you have very oily skin I wouldn't recommend.",6
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",11/02/2024,"4.0 out of 5 stars
Sensitive skin",4.0,I have very sensitive skin and I love this brand. I use a couple of different things from them and I can’t complain.,0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",13/02/2024,"4.0 out of 5 stars
Great product but came damaged",4.0,"I love this cleanser, my face loves it too-but it arrived with a broken pump.",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",11/02/2024,"4.0 out of 5 stars
Jabon",4.0,Es bueno.  Pero nesecito otro no encuentro que me hidrata,0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",12/01/2024,"4.0 out of 5 stars
So far good !",4.0,"My face feels cleaner, and it doesn't appear to dry out the skin. Plus, I only need to use a small amount, so it will last a long time.",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",20/01/2024,"4.0 out of 5 stars
Hydrating cleanser.",4.0,Gets all of my make off up with easy. Doesn’t irritate my skin. Love this stuff,0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",23/01/2024,"4.0 out of 5 stars
Good product, bad delivery.",4.0,Face wash is great but I received it leaking.,0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Hydrating Gentle Face Cleanser, Daily Facial Cleanser with Niacinamide and Ceramides for Sensitive Skin, Moisturizing Face Wash for Normal to Dry Skin, Fragrance Free",18/01/2024,"4.0 out of 5 stars
Like it",4.0,It’s lightweight & rinses off easy,0
