product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,29/2/2024,"3.0 out of 5 stars
Unexpected problem with CeraVe",3,"Like the lotion, VERY disappointed with the packaging.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,7/3/2024,"3.0 out of 5 stars
Like the lotion, but the pump on the container is defective.",3,Pump mechanism does not work!,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,4/2/2024,"3.0 out of 5 stars
it's okay but…..",3,"The top of pump is missing, I tried to replace it but the Amazon have to let me shipped the original one back. The top is open, I have no idea how I can ship it back.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,5/2/2024,"3.0 out of 5 stars
Not smooth",3,I know it says it moisturizes but it doesn't feel like it,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,7/12/2023,"3.0 out of 5 stars
Good lotion for sensitive skin",3,"Works well for my skin but I've had a few of theses bottles give off a weird smell. When it's applied, it smells fishy. Not sure if it's where it's stored before I purchased it or a bad batch.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,3/2/2024,"3.0 out of 5 stars
cerave lotion",3,terrible! 😱,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,19/1/2024,"3.0 out of 5 stars
Does not come full",3,For the price this should be full to the brim.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,7/1/2024,"3.0 out of 5 stars
Good product, but pump doesn't work!",3,"LIKKE PRODUCT BUT PUMP DOES NOT WORK, VERY DIFFICULT TO  USE.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,22/11/2023,"3.0 out of 5 stars
Expensive",3,Too expensive,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,7/9/2023,"3.0 out of 5 stars
i know it’s unscented, but it leaves a funky smell on my skin.",3,"i really like how it leaves my skin feeling soft and looking healthy, but no for my face :( it got oily. i gave it three stars because of that and because it leaves a weird scent on my skin. the weird scent goes away some time after applying it, i hope.. because i usually put on a scented hand lotion afterwards , just in case ;)",0
