product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,11/2/2024,"5.0 out of 5 stars
Really nice lotion",5,"I love this lotion. It's lightweight,not greasy,dries quickly. Great for dry skin no scent . I will continue to buy.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,10/2/2024,"5.0 out of 5 stars
Wow! This stuff is fantastic!",5,"I have been extremely impressed with the items I have used from this company. I use their SA cream for my psoriasis patches and it works wonders, far better than anything else I have tried. When I got this lotion I never knew how luxurious a skin lotion could feel, but I am totally sold now. It is extremely light and soaks in quickly leaving my skin smooth and hydrated. I thought the price was high but after trying it is well worth the price.",2
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,13/1/2024,"5.0 out of 5 stars
My go to daily moisturizer.",5,"I have been using this for years. I love how moisturizing this lotion is! Also love that you can apply it to your face! It doesn’t just coat your skin and make you feel sticky or waxy. This lotion absorbs and moisturizers. It really heals the skin! I love that it has no fragrance. I have used so many lotions and creams and oils and none of them have been as gentle and nourishing! One application and I could tell a difference in multiple applications, and my skin is so smooth and less dry /itchy! I’m hooked thank you for making this product and please don’t ever stop. It is the best for us sensitive-skinned people!",4
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,2/3/2024,"5.0 out of 5 stars
Very very good lotion",5,I have very dry skin I tried this and it's amazing. My dry skin is about gone and it last my skin is so soft after I used this 3 days it was amazing,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,29/2/2024,"5.0 out of 5 stars
Great for sensitive skin!",5,Lightweight and fragrance free which is great if you are sensitive to artificial scents. I have very sensitive skin as well so I was beyond jazzed this lotion didn't give me the itchies. 10/10 will be adding to my subscribe and save list.,2
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,13/2/2024,"5.0 out of 5 stars
Perfect for my skin",5,"The consistency, formulation and packaging are perfect for my routine. I like how both moisturizing and lightweight it feels. If I need more moisture, I add a few drops of Ordinary Rose Hip Seed oil and it becomes thicker. I sometimes layer it twice. But as a single layer it is sufficient for my skin both in summer and in winter. I also enjoy the larger packaging for the use on my body.The only tiny issue I have is, my skin becomes sensitive to something in the formulation if my skin barrier is compromised. I use adapalene and every once in a while, I may feel slight burning sensation when I use CeraVe products in this case. Nothing else happens and it passes after a few minutes, so not really an issue.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,7/3/2024,"5.0 out of 5 stars
👍🏼",5,"Great product! Has skin feels soft and not heavy, def buy again.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,20/2/2024,"5.0 out of 5 stars
10/10 Moisturizer",5,"What I love most about this moisturizer is how fast it dries and doesn’t leave a lotion-like residue or stickiness to wherever I apply it. My pet peeve with most lotions is that it doesn’t dry down, so for this is soak in almost immediately and I can actually feel the softness, is amazing! I also appreciate the fact that this is actually fragrance free; it also doesn’t really even have a scent to it at all! A lot of lotions I have used in the past will claim to be fragrance-free, but they still have such a weird smell to them. This product doesn’t! I have been using this consistently since I purchased a small travel size (ended up buying this huge bottle because I loved it), and I have noticed a difference in the softness of my skin.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,21/2/2024,"5.0 out of 5 stars
Great for My Sensitive Skin!",5,"My skin gets angry about so many things….and even getting older did not stop acne on my oily skin. Using strong, topical acne products causes my skin to peel a lot of the time, but using this lotion keeps my skin hydrated and helps the peeling not be as visible. There is not much of a scent and my skin does not feel greasy after it soaks in. I also use it for my hands and the rest of my body, as needed. Definitely recommend!Item: CeraVe Daily Moisturizing Lotion",2
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,9/3/2024,"5.0 out of 5 stars
LOVE LOVE LOVE ME SOME CERVAE",5,I’ve been using this lotion on my face and body for about 5 to 6 years now I’m constantly told I look seven to eight years younger than actually I am. I give credit to Cerave for that.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,29/2/2024,"5.0 out of 5 stars
Packaged with care!",5,This is my first time trying out this lotion for my sensitive KP upper arms. I noticed a lot of people were mentioning that their bottle came opened or it was messy. This bottle came with a seal that pops off to prevent that from happening. Happy with my purchase. :),0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,8/3/2024,"5.0 out of 5 stars
I like how good it is.",5,This is so much better than regular lotion! Especially if you have problems itching. Very good stuff!,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,10/3/2024,"5.0 out of 5 stars
Smooth Skin",5,"For smooth Skin, CeraVe works well to hydrate your skin.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,29/2/2024,"5.0 out of 5 stars
CeraVe Daily Moisturizing Lotion for Dry Skin",5,Overall great lotion and would recommended for people who need the moisturizer but don't want the feel of 'heavy' lotion like other products. Lightweight and effective.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,5/2/2024,"5.0 out of 5 stars
Nice and lightweight, great for peeps with sensitive skin and sensitive smell",5,CeraVe does a great job with this lightweight product.  The lotion does not bother my sensitive skin and I've acutally used it on my face and still no problems.  There is no perfume to the lotion which is great for individuals with sensitive smell as perfumed products tend to cause headaches.  Overall I love the CeraVe line of products,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,7/3/2024,"5.0 out of 5 stars
Great",5,"Cerave is my favorite lotion, if you know you know!",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,14/1/2024,"5.0 out of 5 stars
Great Moisturizer at a good price",5,"I purchased this CeraVe to deal with thin and  dry skin on my arms. I began a twice a day regiment on my arms and legs. After one month of daily use, I have seen significant improvement in the health of my skin. I do not bruise or cut as easily as I used to. There are many products on the market that claim to do what this product does at significant increase in price. I am very happy with the results I have seen after using this product. I have since established a subscription to keep my skin care regiment going strong.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,7/3/2024,"5.0 out of 5 stars
Excellent product.",5,Easy to apply and smoothing to my skin.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,27/2/2024,"5.0 out of 5 stars
CERAVE Moisturizer Cream.",5,Use it as a moisturizer body cream.  Do not use it as a face cream.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,5/2/2024,"5.0 out of 5 stars
Best lotion but pump did not work.",5,The problem was I could not get the pump to work properly. I absolutely love Amazon but did not think a pump not working would warrant a return. Even though I never return as I buy ONLY WHAT I KNOW IS GOOD ONLY THIS BOTTLES PUMP DID NOT WORK AND DISAPPOINTED IN THAT.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,24/1/2024,"5.0 out of 5 stars
It really hydrates my dry skin!",5,"I was using Cetaphil prior, but got frustrated at how quickly my skin dried out the next dayI saw the positive reviews on CeraVe, so I decided to swapMy face gets dry and flaky if I don’t moisturize daily, and I used this after washing my face last night and woke up this morning to my face STILL hydratedNo dryness the day after like it was with CetaphilI’m satisfied with this purchase!",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,2/3/2024,"5.0 out of 5 stars
CeraVe",5,"Love  this lotion,  all is true as advertised.",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,7/3/2024,"5.0 out of 5 stars
Compras",5,Todo bien,0
