product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",01/03/2024,"5.0 out of 5 stars
DO NOT BUY THIS...",5.0,"UNLESS you want your skin to be AMAZING ✨️. I've tried so many moisturizers but they all feel super thick and heavy, but this... THIS! This product feels amazing on my skin. It works just as described and even though it's an SPF moisturizer, meaning it'll have a thicker consistency, it's so light, soft and blends really well. It leaves my skin happy the entire day.",18
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",04/03/2024,"5.0 out of 5 stars
Great",5.0,"This is a truly great moisturizer, especially for the price.  I like it better than the $80 one I use to use. Light weight, doesn’t break me out and have noticed just after using about a month that my skin is smoother and looks more evened out. Highly recommend.",5
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",25/02/2024,"5.0 out of 5 stars
Lightweight",5.0,Absorbs and moisturizes and isn’t heavy or greasy. No break outs. It’s nice. Feels good when you put it on. Decent price. Like this brand.,9
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",09/03/2024,"5.0 out of 5 stars
Never felt softer!",5.0,"Absolutely phenomenal for moisturizing. My face used to be dry and ashy when I used products like Ponds, but once I switched to this, I’ve never felt more hydrated. It’s a bit small, but the product is powerful! Leaves no scent!",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",29/02/2024,"5.0 out of 5 stars
A little covers a lot.",5.0,I will be using this product forever. It goes flawlessly over your skin and you can’t tell you have anything on. It is very light weight and a little goes a long way a really long long way. It helped my skin from the first time I put it on. I thought cause it was light weight it wouldn’t condition or sooth my dry sensitive skin well but I was wrong. I was blown away. It has solved my dry patches completely. After 1 week my barrier is back strong. It’s incredible.,3
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",25/02/2024,"5.0 out of 5 stars
A Hydration Hero for Sensitive Skin - La Roche-Posay Toleriane Double Repair Face Moisturizer",5.0,"As someone with sensitive skin, finding the perfect daily moisturizer has often felt like a daunting task. La Roche-Posay Toleriane Double Repair Face Moisturizer has proven to be a game-changer, providing the ideal balance of hydration and skin-loving ingredients.What sets this moisturizer apart is its commitment to catering to sensitive skin needs. The fragrance-free formula is a breath of fresh air, especially for those prone to irritation. The lightweight texture absorbs effortlessly into the skin, leaving no greasy residue behind. This makes it perfect for both morning and evening use, seamlessly integrating into my skincare routine.The inclusion of ceramides and niacinamide in the formulation is a standout feature. These ingredients not only hydrate the skin but also work to strengthen its natural barrier. Over time, I've noticed a significant improvement in the overall health of my skin. It feels more resilient, and I've experienced a noticeable reduction in redness and sensitivity.The moisturizer's versatility makes it suitable for all seasons. During colder months, it provides a comforting layer of hydration, while in the warmer months, it doesn't feel heavy or clog pores. The pump dispenser ensures a hygienic application, and a little goes a long way, making the product cost-effective.One of the most impressive aspects of this moisturizer is its compatibility with other skincare products. It plays well with serums, sunscreen, and makeup, making it an excellent base for a layered skincare routine. I appreciate that it doesn't pill or cause any product interference.In terms of packaging, the sleek tube is not only aesthetically pleasing but also practical. It's travel-friendly, and the secure cap prevents any accidental spills or leaks.La Roche-Posay Toleriane Double Repair Face Moisturizer has become my holy grail for daily hydration. Its gentle yet effective formula has transformed my sensitive skin, leaving it supple, calm, and well-nourished. If you're on the hunt for a reliable daily moisturizer that caters to sensitive skin, look no further – this one is a winner. Highly recommended.",9
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",01/07/2023,"5.0 out of 5 stars
It's next-level good",5.0,"I've heard about this for a while now & finally decided to give it a try. The very first time, I put it on my face, I could tell it was a different kind of moisturizer.(BTW, if you are experiencing ""pilling"" and flaking with this, I would verify the authenticity. I had no problems like that and my face was clean but not freshly washed. The next time I used it, I used sunscreen over it and had no problems either. Try checking with La Roche online to see if you can verify by the markings on the container.)PROS:--The texture is light but not thin. I didn't have to use but a pea-sized amount for each half of my face and another for my neck.-- No fragrance at all.-- It glides very easily onto the skin. After I applied it and let it rest for about a full minute, my skin was so soft that it felt a bit ""padded"". I couldn't feel the moisturizer because it had completely absorbed. BTW, the first time I used this, I purposely used nothing else - no Hyaluronic or toner or anything.-- The results are pretty incredible and I can use the phrase about my skin feeling soft as a baby's bottom!My face did have a very slight tingling after the first application. It wasn't unpleasant but I kept an eye on it just in case. It abated after a while. I was reading somewhere that the tingling could be due to either a sensitivity to the level of niacinamide or because my skin barrier is compromised. In any case, I did not have this problem with the next application.CON:--The outer box was unsealed and there was no foil or plastic seal protecting the lotion. This made me hesitate and I wonder if other users had a seal or not. My tube seemed a bit flat also - like there might be some cream missing.OVERALL: This is a straight win & I will even call it a holy grail product. Even in between applying this moisturizer, I feel like I have had a fresh facial, an exfoliation, some serum, and a moisturizer. Since this worked so well, the only other thing I wanted to test was how long the hydration lasts. On the first day, I put it on as soon as I got the package (at about 5 pm) and decided to see if my face was still moisturized when waking the next morning. The result? Yes, my face was just as supple and hydrated as when I went to sleep. It's humid here and I usually end up wiping moisturizers and sunscreens off while constantly patting my face dry. I am not having to reapply this, no matter how many times I blot my face during the day.I have already ordered the version with SPF but went direct to the U.S. site. I don't like that my tube seemed not to be quite full. There was no safety seal so I have no idea if it was used or what. Plus, I get samples if I buy from the official site.My 62nd birthday is today and while I have good skin, I am getting those little dark ""freckles"" (aka age spots! LOL), and just after a few days of using this, my skin looks and feels more supple and healthy. I can almost swear the age spots are getting less noticeable!",214
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",10/05/2020,"5.0 out of 5 stars
Magic in a bottle: I’m 33- 4th update at bottom",5.0,"There I was.It was a Tuesday, mid October, 2018. I’m pacing Walgreens skin care aisle, reading labels up & down. Sweaty & hormonal, pregnant & confused.There she was; the esthetician angel hired by Walgreens. She approaches me.“How can I help you?” I look at her, she looks at me. She must be in her 60s? But her skin looks flawless. (Seriously do pores just disappear at her age?) She doesn’t even have wrinkles, except for some beautifully placed smile lines.“Sure,” I mumble; clearly disheartened. “My face is freaking out. I’ve spent $100+ these last few months trying to fix it. I’ve never had an issue-before this pregnancy- & I don’t know what’s wrong with my skin!” I continue to vent hormonally, “Breaking out, greasy one moment & dry & flaky the next-“She nods her head up & down as I speak, eyes shimmering in understanding behind her rimless glasses. She’s been here before.“Have you tried La Roche moisturizer? It’s probiotic thermal water works miracles.”I haven’t of course.My fairy godmother (for who else could this angel be?) hands me the unsuspecting bottle. $20 dollars? I scoff inwardly at the high price tag, not fully understanding yet what a gift this is.SPF or no spf? (It doesn’t matter I later find out, they both were made by the beautiful witches of the west & represent it.)It worked that very night. My face literally healed in 24 hours. (Read the back of the bottle. It does what it says)18 months later, I’m on my 5th bottle. My face is supple, even, and I barely wear makeup. (cc cream by it, & that’s it.)It’s magical. Whats in this bottle? Sorcery perhaps?“ANY SUFFICIENTLY ADVANCED TECHNOLOGY IS INDISTINGUISHABLE FROM MAGIC”My only wish is it came in a bigger bottle.*ive added a photo with myself wearing it cc cream, but you can see my face looks lovely. Thank you fairy god mother of science. THANK YOU**Update: 2022Just ordered another bottle. Read some reviews & wanted to comment about the “pilling”. The pilling is dead skin….exfoliate before. I’m on my, like 10th? bottle or something. From personal experience I’ve noticed if I don’t exfoliate & just “put it on” without properly cleaning & taking care of my face-pilling WILL happen. I actually take it as an indication I need to take better care of my face.I wasn’t paid anything for this review.Not even a “give us a good review & you get a free bottle” discount. WHICH I AM cool with.I personally take those little postcards as offensive little star-grabbing buggards messing with the review system.Anywho. My hair is longer in the 2nd photo…that’s how long I’ve been using this lotion. My kid is a toddler & we’re looking for baby #2…Never going without this stuff as I can tell when I don’t moisturize & maintain my “protective layer” on my skin with this magic lotion. Cheers to less blotchy, angry, skin peeps.WINTER 2024 Update:I have a problem- it’s too darn dry and this (while I still love it)- isn’t combatting the extreme dryness of Wisconsin. I needed a solution.I found the “triple repair moisturizing cream for face & body”. It’s basically the same stuff but thicker and creamier for extreme dry skin.As I’ve aged, my skin has been very hormonal.I’ve incorporated snail mucin cosRx as well. It’s been helping and my acne (scattered painful bumps that I pick at and then they become cystic & hyperpigmentatied because I never learn my lesson) has improved.So- this product, snail mucin w/ a red light therapy tool called solawave, with the thicker cream version of this at night. It’s definitely helping. More updates to come.",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",28/02/2024,"5.0 out of 5 stars
Amazing!",5.0,"I’ve tried quite a few moisturizers, but none compare to this one. It is without a doubt the best one I’ve ever gotten and will be buying again. I have super sensitive skin and struggle with hormonal breakouts so I am very wary of what I decide to try on my skin. Due to breakouts I’d use topical creams and they caused dry, flaky patches that wouldn’t go away no matter how many times I moisturized. I have a La Roche Posay cleanser so I took a leap of faith and it has been everything for my skin. It’s hydrating, light and my face feels amazing. Truly worth every penny.",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",02/03/2024,"5.0 out of 5 stars
Great daily Sun protection",5.0,"I live in Florida and use this on my face every day. I often get compliments on my skin and I’m sure some of that is genetics, but some of it is because I have used sunscreen on my face every day since I was 16. There were times I ended up at the beach unexpectedly and only had this with me and used it on my arms and legs too, and did not burn. (I was not playing in the water, and I’m very pale skinned.) I recently tried a competitor’s product, but it left terrible white cast on my skin. I’ll stick with this!",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",07/03/2024,"5.0 out of 5 stars
Superior Product",5.0,"I had been using a face moisturizer for years from a retailer and never wanted to switch brands until the price jumped out of reach. I was forced to look for an alternative and I must say I am thrilled about this product. Not only does it moisturize without leaving my face greasy but a small amount goes much farther than my former moisturizer, although maybe I shouldn’t post this for fear of price increases. I highly recommend trying this.",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",27/02/2024,"5.0 out of 5 stars
my favorite moisturizer!",5.0,"I've been using this for about two years now and it's the absolute best. I have EXTRA sensitive skin and I couldn't find a sunblock or moisturizer that wouldn't irritate me or give me acne. THIS here,game changer. My face looks healthier than ever.. doesn't feel oily or anything like that. Goes on perfectly under my makeup. I now use mostly this brand in my skin routine. I've had two dermatologist tell me to keep using these products because they are good with sensitive skin. I won't be throwing my money over fads anymore!",2
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",08/03/2024,"5.0 out of 5 stars
Breakout Free",5.0,Love this product. I struggle to find moisturizers that keep my face moisturized enough in the winter without going overboard and breaking me out. This one is perfect. Absorbs fairly quickly and makes my skin soft and smooth. May switch to a lighter moisturizer in the summer but this one will be my go to for colder months from now on.,0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",09/03/2024,"5.0 out of 5 stars
Great lotion",5.0,I got this because I wanted to try something new. I had seen it a few times on ads so I went for it. This lotion is thick and goes on your face like silky butter. However there is NO greasy residue at all. It just soaks right into the skin.I couldn’t skip a review on this product!,0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",10/03/2024,"5.0 out of 5 stars
Love it!",5.0,"I rarely use moisturizer on my face because everything I tried either was too oily, was scented, or altered the color of my skin. But this moisturizer is AMAZING!  it's silky, not oily. It blends into my skin perfectly. And it is unscented. I love it!",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",29/02/2024,"5.0 out of 5 stars
Great for combo skin",5.0,"This is one of the only face products I’ve ever used completely and repurchased because I’m that satisfied with the results. It gives a light, moisturized feeling without any fragrance or oily feeling. It immediately gets rid of any tight feeling in the skin after washing. I use it both morning and night. I apply it over a serum and my skin has been very glowy",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",03/03/2024,"5.0 out of 5 stars
Exactly what I was looking for!",5.0,"I have sensitive skin and I've tried many moisturizers over the years to wear with or without makeup and this is the best one I've found! It's very similar in consistency to Elta Clear tinted which I also love. It's not greasy, super light and makes my skin look radiant and you can't beat the price!",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",01/03/2024,"5.0 out of 5 stars
Perfect under makeup!",5.0,I am someone who often forgoes SPF because it would always cause my makeup to pill. I tried this and did not have that issue. Didn’t make my skin feel greasy or with a white film. Absorbs really well and allows my skin to feel like skin. Does have the SPF smell but did not irritate my sensitive skin. I would repurchase this again.,0
