product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,14/02/2024,"4.0 out of 5 stars
Nice serum!",4.0,This is soft and it is  absorbed into the skin without being sticky. It moisturizes dry skin and fine lines. It doesn’t work as well on deep wrinkles. Good price to try the product and good shipping time.,3
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,28/01/2024,"4.0 out of 5 stars
Good, but please stop raising the price.",4.0,"The serum itself is a good product.  It absorbs fast, is not too oily, and has no smell.  The problem is, when I bought this in 2022 it was $11 per bottle.  Then in 2023 it was $18.  Now, just within the past few months it went to $19.  In addition to the soft skin that results from this serum, I cannot help but also feel the smooth sensation of getting ripped off.  Why raise the price so high?  Anyway, just get the Amazon Basics version, it's just as good.  Maybe if enough people reject their pricing strategy they will change course.",6
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,29/02/2024,"4.0 out of 5 stars
Creo que no se usarlo",4.0,"No sé si mi piel es muy delicada, lo cierto es que luego de echarmelo al colocar la crema hidratante siento como se me escama la piel, no sé si es piel muerte o es el efecto del producto que va limpiando",0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,20/01/2024,"4.0 out of 5 stars
Nice",4.0,"This is creamy, goes on well, & soaks in.  As for any visible effect on 75 year old skin…well, I use hyaluronic acid because “experts “ say it is good for your skin.",5
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,28/01/2024,"4.0 out of 5 stars
Nice moisturizer",4.0,This is a nice light moisturizer. I wish it had a spf,0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,10/01/2024,"4.0 out of 5 stars
It works",4.0,I have extremely dry skin at my age (87) and this product helps me the best of anything I have used,2
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,05/01/2024,"4.0 out of 5 stars
Good Product",4.0,very expensive for 1oz. Do not realize it was only 1oz.  This won't last along. Other than that the ingredients are good and it seems to be a good serum.,0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,02/12/2023,"4.0 out of 5 stars
Lightweight good serum",4.0,"Really like this serum, only negative is if I apply before going outside in heat/sun my face sweats so much and need to constantly wipe face (I assume until it’s gone sadly)",0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,21/11/2023,"4.0 out of 5 stars
Cerave",4.0,It’s a good moisturizing product similar to the licorice retinol serum from cerave. It’s appears like the picture with the pump! Easy to apply on the skin/hand. Super hydrating as well not drying the skin.,0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,17/11/2023,"4.0 out of 5 stars
Varies",4.0,I’ve used it before but i’m using it again and it broke me out… i could say it honestly depends on your age and skin type bcs i’m a freshman in college and i’ve been GOING THROUGH IT.,0
