product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",7/3/2024,"4.0 out of 5 stars
Smooth and refreshing",4,"Decided to give this serum a try for my dry skin even though the price was very hesitant for me to purchased it. So far I like it and leaves my skin feel hydrated and plump, and does leave you with a little glow. It does have a smell to it but it's not too strong and does not linger around. After applying it on my face it does leave a sticky/tacky residue, but after apply the La Roche-Posay moisturizer it's gone.",0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",11/3/2024,"4.0 out of 5 stars
takes a bit to dry but works well!",4,"has a bit of a scent of i enjoy the clean scent a lot, it goes on very wet and sometimes runny if not stored well so be aware, the dropper is too short but it's fine, and it's very good for my skin personally",0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",10/3/2024,"4.0 out of 5 stars
Love hate",4,"Love the product, hate the bottle. The product is think so when you try to recap it the product will run down the outside of the bottle making a sticky mess at the top.",0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",8/3/2024,"4.0 out of 5 stars
Makes skin glow",4,Love this product it really moisturizes my skin and it's great for my sensitive skin as well I'm on my second bottle and I feel it makes my skin look healthy and hydrated.,0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",5/3/2024,"4.0 out of 5 stars
Hidratación",4,"El producto hidrata mi cara, pero no he visto ningún cambio. Llevo un mes",0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",12/2/2024,"4.0 out of 5 stars
Strong fragrance",4,This is a nice serum but it has very strong floral  fragrance that does not go away. If you don’t like strong floral fragrance on your face I would recommend not to get this one.. I like the serum but will it repurchase due to the smell.,9
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",29/2/2024,"4.0 out of 5 stars
Lo rápido que llegan las cosas",4,No tocan el timbre o la puerta .,0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",5/2/2024,"4.0 out of 5 stars
Effective but dislike the dropper",4,Effective product but the dropper is too bulky and leads to either accidental overuse or product waste. Does not last as long as a 1 Oz bottle of serum should last. If the dropper changes I'd repurchase but not as it is.,0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",1/12/2023,"4.0 out of 5 stars
Does really good job of hydrating skin.",4,I've tried many skin moisturizing products. My face has several areas that get dry and burn or itch. Not sure if it is rosacia(sp) or not. This product really does hydrate very well. My red spots calm down and stop burning and itching within minutes of using this. So for my sensitive skin issues this works well. Not so sure about removing lines but that was not my concern. It does feel sticky and tacky when you first put it on. It's fine after it dries and absorbs into your skin. The fragance I could do without and that's why I downgraded my review. Make it fragrance free and I would say 5 stars.,18
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",2/2/2024,"4.0 out of 5 stars
Muy bueno",4,Es fácil de usar,0
