product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,16/12/2023,"4.0 out of 5 stars
Bad packing",4.0,"The product itself is great; however, when I picked up the box from Whole Foods it was rattling around in the box...no paper, no plastic, no bubble wrap just a  plastic container rolling around in a big box.  When I opened it the pump was off and when I tried to put it back on, I noticed the cap was chipped so the pump would not stay on.  It would have been quite messy to return it so I bought a new screw pump.  As I said, the lotion itself is great!!!",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,11/12/2023,"4.0 out of 5 stars
good but not if you have really dry skin",4.0,it lasted me about 8 months and it’s a good lightweight moisturizer. Doesn’t bother sensitive skin. I think it’s better for oily skin tho.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,03/12/2023,"4.0 out of 5 stars
Seems to do what it says",4.0,Keep skin from drying,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,14/11/2023,"4.0 out of 5 stars
Fine product, weird smell",4.0,I’m not super impressed with this lotion but it does what I need it to. Nothing spectacular about it but it is fine. It does have a gross smell though. Not sure if it’s just mine in particular or if all of them have a weird smell,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,06/12/2023,"4.0 out of 5 stars
Doesn't have any odor",4.0,I love that it leaves my skin moisturize,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,19/11/2023,"4.0 out of 5 stars
Good product",4.0,Will order this product again.  Use product on my face after I shave and has really helped keeping my skin soft and looking better.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,09/10/2023,"4.0 out of 5 stars
Product fine",4.0,Great moisturizer. However the pump did not work. Not a deal breaker but a pain,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,12/10/2023,"4.0 out of 5 stars
Loving this lotion",4.0,"been using this moisturizing lotion for hands and face.Not too thick, no greasy, loving it !",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,27/05/2023,"4.0 out of 5 stars
Effective",4.0,"Senior here with thinning, itchy, allergy/dermatitis prone skin.  After a month of using Cera Ve Daily Moisturizing Lotion for Dry Skin I’ve had no major itchy skin episodes.  The product does a relatively good job of retaining moisture in the skin.  The formula is easily spread and contains no discernible fragrance.  Used in combination with a small amount of Cera Ve’s Itch Relief Oil Cream it adequately relieves localized itchy skin flareups.  Like most of the brand’s eczema and itch relief products, it's best absorbed on damp skin immediately following bath or shower, otherwise it tends to feels like it’s just sitting on the surface of the skin.  I recommend this product to help lock in moisture to relieve dry, itchy skin.",11
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,30/07/2023,"4.0 out of 5 stars
Lightweight and long lasting",4.0,"This is a great moisturizer for someone that wants a really simple routine. It’s not irritating at all and scent-free. I have sensitive and oily skin and this doesn’t make it worse or interfere in any way. However, the price is what I’m not ecstatic about. It’s gotten more and more expensive over the years, so I might possibly consider looking for a new alternative if it keeps increasing in price. For now, it is and has been my most reliable option. A little goes a long way when applying as well!",7
