product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",16/12/2023,"4.0 out of 5 stars
hydrates without feeling greasy!",4.0,"I'm impressed! It effectively hydrates my skin without feeling greasy. The triple-action formula seems to have improved my skin's texture, leaving it smoother. I appreciate the subtle fragrance, and a little goes a long way, making it a great value! Overall, a top-notch moisturizer that lives up to its triple repair promise!",2
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",14/12/2023,"4.0 out of 5 stars
Good product",4.0,"This works very well for me. I have very  dry/sensitive skin.I don’t really understand why they are giving you a small travel size face wash when the main product is a moisturizer. I was under the impression the “included travel size bottle” was going to be more moisturizer, but it’s face wash?It does specify it in the description about the face wash, so that was kinda my bad. One of my main selling points to this product was the travel sized bottle it comes with, so I was a little disappointed when it was soap.Overall good product, just beware the travel sized container is face wash",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",18/12/2023,"4.0 out of 5 stars
Is the best",4.0,"I definitely love this cream, it is excellent, my skin is combination to oily, but with the change in climate, certain parts of my face become dull. It is excellent, it is not comedogenic, which is perfect for me since I tend to have invisible closed comedones, but with it I don't They have come back, the skin feels hydrated, but not oily, this is definitely my favorite facial care cream.",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",12/12/2023,"4.0 out of 5 stars
Decent Sunscreen",4.0,"This product was referred to me through a group chat.  It works pretty good.  Due to my sensitive skin it stings a little, but overall it works ok.  I won't say I'll order it again, because it's a little pricey for the results.  Since I have to ware sunscreen, I'm still searching for ""THE ONE"".  It's clear and I'm able to blend it into my skin without it being white and I do appreciate that.",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",04/12/2023,"4.0 out of 5 stars
This is sun protection though",4.0,"I realized that this cream is sun protection instead of moisturizing with high SPF only by looking at the the packaging whilst holding it. I guess it will still work for me since here is a lot of sun, but yeah it is a bit off the goal I had for a new cream. With the rest I am happy and would prefer this as sun protection more than what I have because it is lghtweight, not greasy and has a nice smell. I dont have sensitive skin, so cannot rate the impact of this cream for this factor.",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",16/11/2023,"4.0 out of 5 stars
Great moisturizer, but…",4.0,"I’ve had problems with some moisturizers not doing enough for my skin and some feeling really heavy and giving me milia. This is an amazing moisturizer,  it feels great on my face and is very moisturizing without being too much, and I’m being honest when I say a little goes a long way. Just a little squeeze the size of a nickel maybe and your done. There’s a good amount of product and I know it will last me bit. Sadly la roche posay is not animal cruelty free, either they as a brand animal tests or their suppliers/third party do. Hopefully I will find an alternative that is just as good until they can be cruelty free",5
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",05/12/2023,"4.0 out of 5 stars
Nice SPF product….But…",4.0,I do like this moisturizer but I have been noticing lately that it does start peeling by the end of the day. I wouldn’t recommend this for those who have super dry skin. I find too that the texture of my skin is more noticeable and peeling too. Super annoying. I will try to use less and maybe that will help. I think this would be nice for those who have oily skin. I’m more combination skin.,0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",12/12/2023,"4.0 out of 5 stars
pretty nice",4.0,"i do love this moisturizer. i’ve got sensitive skin and have had no issues with it. it is too pricy, though, i can’t say i like it that much more than the off-brand oil free stuff from walm. A little better, but twice the price? i dunno. i am torn on repurchasing.",0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",22/12/2023,"4.0 out of 5 stars
Simple& Effective",4.0,Love that a little goes a long ;warm up/rub your hands together BEFORE squeezing any product out onto them for you to use,0
"Amazon.com: Customer reviews: La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide and Niacinamide for All Skin Types, Oil Free, Fragrance Free",09/12/2023,"4.0 out of 5 stars
Pretty good product",4.0,"I like this and will probably buy it again. I like it except the smell, but the smell isn't terrible or too strong so that's okay.",0
