product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,27/11/2023,"3.0 out of 5 stars
Very drying",3.0,I bought this product expecting it to hydrate my skin. It did the opposite. It dried out my already dry skin so much that it hurt.Maybe others have had success with this product but I certainly did not.,0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,27/11/2023,"3.0 out of 5 stars
Not seeing any changes",3.0,It smells good. I have used almost the whole bottle and have seen few changes to my skin,0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,09/11/2023,"3.0 out of 5 stars
Not impressed",3.0,Do not care for pump application. Need a lot of product to obtain coverage. Doesn’t feel like a regular serum and doesn’t feel at all hydrating,0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,30/10/2023,"3.0 out of 5 stars
Not a serum",3.0,"While CeraVe is known for its quality, the description of this product is misleading. This is not a serum; it is a lotion.If you are looking for a serum, keep looking.",2
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,07/10/2023,"3.0 out of 5 stars
cream goes on smooth",3.0,"Cream spreads smooth, appears to provide some moisture.  Difficult to notice any improvement in skintexture in older woman. Not that I expected any super improvement.  Possibly helpful to keep young skin moisturized.  However will continue to use, as feels nice on skin.",0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,29/11/2023,"3.0 out of 5 stars
Destroyed package will not work as present",3.0,"The media could not be loaded.
                



 I would like to get new to be able to gift it",0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,17/08/2023,"3.0 out of 5 stars
So so product",3.0,"I’ve been using Cera Ve facial cleanser and moisturizer for years.  I have rosacea and sensitive skin.  I thought this would be worth a try.  This product goes on smoothly, sinks in immediately, is never sticky, and is a good moisturizer.  It stings a little for the first few minutes, then settles in.  I haven’t noticed any great change in the redness, but it doesn’t irritate my skin.  I probably won’t purchase it again because of the price, especially for the small bottle that you get.",0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,19/08/2023,"3.0 out of 5 stars
Very nice and light",3.0,I use it on top of my acne regime and it’s super lightweight and nice. Will buy again.,0
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,24/03/2023,"3.0 out of 5 stars
Ridiculous Price Increases",3.0,"I have used this product for several years with great success. In fact in my experience, all Cerave products are excellent. That said, I think that this company is following the lead of many other US corporations by raising prices ""just because we can"". In Feb of 2022, I purchased this cream from Amazon for $12.60 (a few months before that for even less at Walmart). Here we are in March of 2023 and the price has risen to $18.28 (more at Walmart). Does anyone think that  ALL  of this price increase can be attributed to inflation?I gave this product 3 stars - 5 stars for the product and 1 star for marketing.",2
Amazon.com: Customer reviews: Cerave Hyaluronic Acid Serum for Face with Vitamin B5 and Ceramides | Hydrating Face Serum for Dry Skin | Fragrance Free | 1 Ounce,30/08/2023,"3.0 out of 5 stars
Ordinary",3.0,No miracles.,0
