product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",16/11/2023,"2.0 out of 5 stars
Not impressed",2.0,"The smell is too strong. It leaves my face greasy. I read the reviews before purchasing, so I was really hoping I would love this stuff. It’s only been a few days since I got it. I will continue to use it in smaller amounts and not as often, I wanted to use 1x daily for best results. Will update after several more weeks of use.",0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",26/11/2023,"2.0 out of 5 stars
Made my face itch",2.0,"My dermatologist recommended this, so I got it, tried it for several days. I didn't notice any difference, but my face became red and itchy. Stopped immediately. Very disappointed.",0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",10/06/2023,"2.0 out of 5 stars
Not good for sensitive rosacea skin.",2.0,"First, I’d like to start by saying I love other La-Roche Posay products  in fact, I use their gentle hydrating cleanser and double repair moisturizer every single day.. However, my skin could not tolerate this serum. My skin burned, itched and even became so irritated that my neck broke out into a rash. I loved the texture of this product and honestly I wanted to love it but after minutes of applying it,  my skin was so itchy and irritated. I have rosacea and have been looking for a hyaluronic acid that is not irritating. Unfortunately I will have to keep experimenting with other brands for a hyaluronic acid. I am very disappointed as this is one of my favorite brands. If you are sensitive to fragrance, or have the super sensitive type 2 rosacea, I do not recommend. I seen others who have rosacea mentioned this worked for them, however it does not work for everyone. I will be retuning.",4
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",15/08/2023,"2.0 out of 5 stars
Allergy",2.0,It didn’t work so great for me.. it says sensitive skin but it gave me a rash on my face and had to go to the dermatologist.. what hurts is spending that money and now it’s gone to waste..,0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",07/09/2023,"2.0 out of 5 stars
So far",2.0,"Just received this product. Of course no visible improvement yet to my skin because I have just started using it. The product smells nice just a little too strong. Also, it leaves your skin feeling tacky/sticky.",0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",28/08/2023,"2.0 out of 5 stars
Too Tacky",2.0,Unfortunately this product did not absorb into my skin. It also made my skin oily then tacky … had to wash off.,0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",08/08/2023,"2.0 out of 5 stars
Very strong perfume smell",2.0,I have extremely dry skin and it’s definitely helping resolve that issue quickly. However my biggest issue with this is how strong the smell is. I don’t recommend it if you are sensitive to smell,0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",19/08/2023,"2.0 out of 5 stars
Did not meet my expectations",2.0,I didn't like that it is scented. I purchased this product to use on my face. I will use on other parts of my body til gone. Very disappointing because it was pricey!,0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",04/07/2023,"2.0 out of 5 stars
Instructions not included",2.0,I received my package very timely but the main part of it was missing. I need to see how and when to use this product it’s  not written on the bottle label or the box  no inside instructions included.,0
"Amazon.com: Customer reviews: La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, with Vitamin B5, Anti-Aging Serum for Fine Lines and Wrinkles, Hydrating Serum to Plump and Repair Dry Skin, Safe on Sensitive Skin",13/04/2023,"2.0 out of 5 stars
Not for sensitive skin",2.0,"The media could not be loaded.
                



 I do not recommend this for sensitive skin, after a week of use I got a rash with mini pimples (see video). The pimples went away ~3-4 days after I discontinue the serum.  I wanted to love this because the HA I usually use is very expensive. I think the culprit might be the fragrance use for the serum. So beware. I don’t even know what to do with the reminders.",13
