product,title,rating,body
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
Don't ever want to go without it!",5.0,"Love love love this! I put it on after my toner, and it keeps my face from getting overly oily, and stops ALOT of would be breakouts! It's become a staple in my routine for sure!"
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
Es único",5.0,"Recomiendo este producto,el cambio que tengo en mi piel es increíble"
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
Works wonderfully",5.0,Best product of Niacinamide. Works wonderfully
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
The perfect cheer",5.0,"I have been using TO's 10% niacinamide on and off for the last 4 years. I stopped several months ago, and I noticed my facial and back skin breaking out more, feeling very thin and fragile, breaking easily from scratches, and getting burst blood vessels. Once I started re-using this serum, all of that stopped. I noticed the difference overnight. I feel the niacinamide strengthens my skin. I was ready to change everything in my routine but this is what I was missing.I have to work fast to spread this because it aborbs into skin very quickly. I do 3-4 small applications to cover my face. I have been diluting it by directly spreading it over the water that is still on my face after cleansing. That makes it easier to spread as opposed to when applying to completely dry skin. I estimate this brings down the niacinamide concentration closer to 5% which is sufficient and reduces irritation from high niacinamide percentage. I apply it after every cleanse, twice per day. I also use it under tretinoin, azelaic acid, lactic acid,  moisturizer, sunscreen. It works well with every thing. At my rate of usage, less than 1/4 tsp per application, this will last me about three months."
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
Really good",5.0,It has controlled my greasy skin
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
Better Than I Hoped For",5.0,"I purchased this B3 gel in desperation. I am 70 years old, have rosacea, facial eczema, and rosacea-related acne, redness and sensitivity, and very congested pores. Also, the age-related sagging and wrinkling that most women have. My complexion was very nice when I was younger, so all these problems have been challenging to say the least. Most creams, etc. make me break out or redden. A rosacea website suggested B3. In the past, I used a B3 cream which made me break out badly from the added coconut oil to which I am very sensitive. However, this brand has fewer ingredients,  no penetrants to inflame my eczema, and comes well-reviewed. It was also not terribly expensive. Most web reviewers note one must use B3 10% faithfully for three months to get full benefits. On the third day of use, however, I noted the redness of my facial skin subsiding, including my acne scars. By the end of seven days, my pores appeared smaller, even on my nose, and the overactive sebum glands in my T-Zone were shrinking. White heads were either coming to the surface and easily extracted after a shower, or shrinking below the skin. I started using this on my neck and noted increasing firmness (which I badly need). I am not much concerned with wrinkles, as I had oily skin until menopause, and have not yet noticed any difference. Because this gel is thick, I first spray with a non-alcohol toner, and then put one or two drops on my fingers and spray three times with the toner before applying. This amount covers my whole face, neck and eye area. I then apply a lightweight moisturizer  after the B-3gel has sunk in. At first, I only did this one time a day There is a very tiny bit of flaking from this gel--it is drying a little. That, I think, is why the acne scars improve. However, this flaking is not noticeable after I apply the moisturizer. I can use mineral powder makeup with no difficulty. I now use the B3 two times a day. The Zinc in this gel appears to prevent my acne from forming like any antibiotic. I will have an undersign cyst begin to form, but by the next day it is gone. I plan to keep using this product and have ordered oral B3 vitamins, also, but have not yet begun taking them. I feel I must be deficient in this vitamin to have such a positive response topically. I should add that I usually have to take extra oral zinc when I break out badly, because I had a bad, life-threatening staph infection six years ago. The breakouts I have from rosacea often become infected now and scar badly. This Topical treatment, however, means I no longer have to take zinc orally, which is much better for my system. I hope this very detailed review helps someone else who suffers from demagogical problems as I do. PS: I also may begin using this gel on the tops of my hands at night, under my hand cream, just to see if my aging skin improves there, too. Retin A appears to thin my skin, but this B3 seems to thicken the protective layer even when the gel is not applied. Try it!! UPDATE:  April 19, 2019. I am on my third or fourth bottle, buying them now for friends. I regret this review is so long, but so afraid the company will go out of business since their founder died. These are wonderful formulations--especially this one. I've not found anything as effective at any price. Started using the caffeine eye gel last night and saw a difference immediately."
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
Made my skin radiant and cleared my pimples",5.0,Really worked to clear and brighten my skin.
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
YES YES YOU NEED IT",5.0,"My skin tone was so uneven and my pores we HUGE!! I’ve been using this for a little over 4 months & the results have been EXTRAORDINARY!! My skin is even, tight, and the best it’s ever been!"
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
Face",5.0,Worked like magic...use it everyday
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
Great",5.0,Great
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
Excelente",5.0,El producto vino intacto en su caja y original
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
Cleared My Acne And Improved Eczema",5.0,"This stuff's amazing! I have struggled all my adult life with acne, nothing horrible, just about 4-6 cystic acne here or there along with 3-4 regular pimples. I developed eczema during my pregnancy with my 2nd baby, and it just never went away afterwards no matter what I did. After using the niacinamide for 1.5 months nearly all my acne went away and I noticed a drastic change in the amount of redness and flakyness of my eczema. I only had an odd pimple or two after this stuff, all my cystic pimples ceased to ever happen again! The first two weeks I used it only once a day, 2x a week and increased by one more day a week after that, my skin ""purged"" during the first two weeks and I had a few small pimples, but those went away after my skin adjusted. I highly recommend to use this if you have acne, just make sure you only use 3-4 drops when applying, you do not need anymore than that! And I only use it once a day at night, and it has been amazing.If you have eczema on your face like I did, I also started using the ordinary's Marine Hyaluronics two months after the niacinimide, applying it 2x a week, 1x a day for the first two weeks, then gradually increased the days to where I apply it 2x a day in the morning and night, and as the first layer in my skin routine. Using it almost completely made my eczema go away, it really helped keep the skin hydrated so that there was hardly any redness and very little itching. Then after that I started using CeraVe's Moisturizing cream just on my eczema as my finishing layer 1x a day in the morning, and it went completely away!"
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
Game changer for oily skin",5.0,Consistent use of this product has DRAMATICALLY change the oiliness and pore size of my skin. These are my hardest working product dollars
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
What a great product!",5.0,This product cleared up all my blackheads.  I love this I use it twice a day.  It's the best product I have tried.
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
Works wonders",5.0,I have been using this product for 7 years I stopped and had a really bad breakout and when I went right back with this product it works wonders on my skin
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
Wow",5.0,"I have been wasting my money for YEARS on retinol creams trying to reduce the wrinkles on my forehead... This serum has not only minimized my fine lines everywhere, but I noticed it helps my face retain the moisture from my moisturizer more. I wish someone would have told me about this product 20 years ago. Now I'm curious to try other Ordinary products"
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
Nice",5.0,I like this serum. It’s is an excellent value for the money. I’ve never used niacinamide serum before. I’m also new to using serums so I don’t really know how to rate serums.
"Amazon.com: Customer reviews: THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)","5.0 out of 5 stars
My favorite beauty product",5.0,"I best thing about this product is that it works! I've been using it regularly for about a year and notice an improvement in my 69-year-old skin. Smoother texture, and fine lines are less visible."
